learner,algorithm,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1NN,full,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001
1NN,random,0.73524,0.7976800000000001,0.8266649999999999,0.847545,0.8599249999999999,0.8686349999999999,0.874405,0.878825,0.8839250000000002,0.88641,0.8892000000000001,0.891745,0.8941500000000001,0.8950250000000001,0.8969950000000001,0.8985400000000002,0.9003650000000001,0.899925,0.9017550000000002,0.9034950000000002,0.90364,0.9047850000000002,0.90625,0.906845,0.9073100000000002,0.9073500000000001,0.9077449999999999,0.9091450000000002,0.909575,0.909365,0.910295,0.9110250000000001,0.9106349999999999,0.911655,0.9121400000000002,0.9130849999999999,0.91288,0.9135200000000001,0.9144,0.9143450000000002
1NN,MMD,0.8425,0.8925000000000001,0.9025000000000002,0.9075,0.9075,0.9149999999999998,0.9175000000000001,0.915,0.9175000000000001,0.9200000000000002,0.9175000000000001,0.9150000000000003,0.9199999999999999,0.9225000000000001,0.9200000000000002,0.9175000000000001,0.915,0.9200000000000002,0.9225000000000001,0.9175000000000001,0.9175000000000001,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9225000000000001,0.9175000000000001,0.9200000000000002,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9174999999999999,0.9174999999999999,0.9174999999999999,0.9174999999999999,0.915
1NN,MMD_ste,0.060822867736333164,0.025361843335760224,0.025916266080367834,0.02238469000419136,0.02238469000419136,0.02557116058566634,0.022384690004191347,0.02099193005638326,0.02391963047343528,0.025009088418756008,0.026726344171801593,0.02262157162740989,0.027705653833487758,0.023010956015440207,0.018470435888991832,0.018945331767478896,0.01727751072024521,0.016434190777991117,0.017784289992537665,0.020736440658459077,0.020736440658459077,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.017784289992537665,0.018945331767478896,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.018945331767478896,0.018945331767478896,0.018945331767478896,0.018945331767478896,0.02099193005638326
exemplar,full,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001
exemplar,random,0.762535,0.8063600000000001,0.8285800000000002,0.8491500000000001,0.8598750000000001,0.8689599999999998,0.87469,0.88039,0.884125,0.8879449999999999,0.8897299999999999,0.89307,0.895435,0.89665,0.898655,0.900025,0.9006450000000001,0.9029,0.9021800000000001,0.9047450000000001,0.9045200000000001,0.9060600000000001,0.90729,0.908005,0.9075200000000002,0.9094099999999999,0.9090999999999999,0.9092900000000002,0.9109700000000001,0.9108,0.911445,0.9121,0.9127850000000001,0.9131,0.9133799999999999,0.9141800000000002,0.913735,0.9154,0.91529,0.9153499999999999
exemplar,MMD,0.8474999999999999,0.8925000000000001,0.9025000000000002,0.9099999999999999,0.9099999999999998,0.9175000000000001,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9225000000000001,0.9200000000000002,0.9150000000000003,0.9225000000000001,0.9225000000000001,0.9200000000000002,0.9175000000000001,0.915,0.9200000000000002,0.9225000000000001,0.9175000000000001,0.9175000000000001,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9225000000000001,0.9175000000000001,0.9225000000000001,0.9225,0.9225,0.9199999999999999,0.9225,0.9225,0.9225,0.9225,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9174999999999999
exemplar,MMD_ste,0.06220932197537728,0.025361843335760224,0.025916266080367834,0.020991930056383272,0.020991930056383272,0.023919630473435278,0.021984215990870738,0.018470435888991832,0.02030348190166671,0.021410971985002792,0.02354527825563348,0.02099193005638326,0.02725302227185771,0.023010956015440207,0.018470435888991832,0.018945331767478896,0.01727751072024521,0.016434190777991117,0.017784289992537665,0.020736440658459077,0.020736440658459077,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.017784289992537665,0.018945331767478896,0.01565907389141279,0.015659073891412786,0.015659073891412786,0.018470435888991832,0.01968134512528615,0.01968134512528615,0.01968134512528615,0.01968134512528615,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.020736440658459077
CV,full,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002
CV,random,0.7626200000000001,0.763035,0.8253999999999999,0.8260500000000001,0.85379,0.8518300000000002,0.867615,0.8681650000000001,0.8772400000000001,0.8771700000000001,0.8828900000000001,0.881855,0.8871099999999998,0.8867800000000001,0.89007,0.8900850000000002,0.89133,0.8917249999999999,0.8943300000000001,0.8940299999999999,0.896495,0.8957700000000001,0.8969050000000001,0.89693,0.8983900000000002,0.8975950000000001,0.89875,0.8984700000000002,0.8988650000000001,0.8991,0.8999550000000003,0.9006899999999998,0.9015799999999998,0.90076,0.90151,0.9016650000000002,0.9012350000000001,0.9014650000000002,0.9018950000000002,0.9017750000000001
