weights,aligns
"(0, 0, 0, 0)",0.5025125628140703
"(0, 0, 0, 1)",0.5050251256281407
"(0, 0, 0, 2)",0.5050251256281407
"(0, 0, 0, 4)",0.5050251256281407
"(0, 0, 0, 8)",0.5050251256281407
"(0, 0, 0, 16)",0.5050251256281407
"(0, 0, 0, 32)",0.5050251256281407
"(0, 0, 0, 64)",0.5050251256281407
"(0, 0, 1, 0)",0.4949748743718593
"(0, 0, 1, 1)",0.4849246231155779
"(0, 0, 1, 2)",0.46984924623115576
"(0, 0, 1, 4)",0.4748743718592965
"(0, 0, 1, 8)",0.46733668341708545
"(0, 0, 1, 16)",0.48743718592964824
"(0, 0, 1, 32)",0.48743718592964824
"(0, 0, 1, 64)",0.4949748743718593
"(0, 0, 2, 0)",0.4949748743718593
"(0, 0, 2, 1)",0.46733668341708545
"(0, 0, 2, 2)",0.4849246231155779
"(0, 0, 2, 4)",0.46984924623115576
"(0, 0, 2, 8)",0.4748743718592965
"(0, 0, 2, 16)",0.46733668341708545
"(0, 0, 2, 32)",0.48743718592964824
"(0, 0, 2, 64)",0.48743718592964824
"(0, 0, 4, 0)",0.4949748743718593
"(0, 0, 4, 1)",0.4723618090452261
"(0, 0, 4, 2)",0.46733668341708545
"(0, 0, 4, 4)",0.4849246231155779
"(0, 0, 4, 8)",0.46984924623115576
"(0, 0, 4, 16)",0.4748743718592965
"(0, 0, 4, 32)",0.46733668341708545
"(0, 0, 4, 64)",0.48743718592964824
"(0, 0, 8, 0)",0.4949748743718593
"(0, 0, 8, 1)",0.49246231155778897
"(0, 0, 8, 2)",0.4723618090452261
"(0, 0, 8, 4)",0.46733668341708545
"(0, 0, 8, 8)",0.4849246231155779
"(0, 0, 8, 16)",0.46984924623115576
"(0, 0, 8, 32)",0.4748743718592965
"(0, 0, 8, 64)",0.46733668341708545
"(0, 0, 16, 0)",0.4949748743718593
"(0, 0, 16, 1)",0.49748743718592964
"(0, 0, 16, 2)",0.49246231155778897
"(0, 0, 16, 4)",0.4723618090452261
"(0, 0, 16, 8)",0.46733668341708545
"(0, 0, 16, 16)",0.4849246231155779
"(0, 0, 16, 32)",0.46984924623115576
"(0, 0, 16, 64)",0.4748743718592965
"(0, 0, 32, 0)",0.4949748743718593
"(0, 0, 32, 1)",0.48743718592964824
"(0, 0, 32, 2)",0.49748743718592964
"(0, 0, 32, 4)",0.49246231155778897
"(0, 0, 32, 8)",0.4723618090452261
"(0, 0, 32, 16)",0.46733668341708545
"(0, 0, 32, 32)",0.4849246231155779
"(0, 0, 32, 64)",0.46984924623115576
"(0, 0, 64, 0)",0.4949748743718593
"(0, 0, 64, 1)",0.49748743718592964
"(0, 0, 64, 2)",0.48743718592964824
"(0, 0, 64, 4)",0.49748743718592964
"(0, 0, 64, 8)",0.49246231155778897
"(0, 0, 64, 16)",0.4723618090452261
"(0, 0, 64, 32)",0.46733668341708545
"(0, 0, 64, 64)",0.4849246231155779
"(0, 1, 0, 0)",0.6482412060301508
"(0, 1, 0, 1)",0.6758793969849246
"(0, 1, 0, 2)",0.6708542713567839
"(0, 1, 0, 4)",0.6683417085427136
"(0, 1, 0, 8)",0.6658291457286433
"(0, 1, 0, 16)",0.6658291457286433
"(0, 1, 0, 32)",0.6683417085427136
"(0, 1, 0, 64)",0.678391959798995
"(0, 1, 1, 0)",0.6909547738693468
"(0, 1, 1, 1)",0.7110552763819096
"(0, 1, 1, 2)",0.7110552763819096
"(0, 1, 1, 4)",0.7010050251256281
"(0, 1, 1, 8)",0.6708542713567839
"(0, 1, 1, 16)",0.6733668341708543
"(0, 1, 1, 32)",0.6582914572864321
"(0, 1, 1, 64)",0.6633165829145728
"(0, 1, 2, 0)",0.7085427135678392
"(0, 1, 2, 1)",0.7010050251256281
"(0, 1, 2, 2)",0.6859296482412061
"(0, 1, 2, 4)",0.6859296482412061
"(0, 1, 2, 8)",0.6633165829145728
"(0, 1, 2, 16)",0.6557788944723618
"(0, 1, 2, 32)",0.6582914572864321
"(0, 1, 2, 64)",0.6582914572864321
"(0, 1, 4, 0)",0.6884422110552764
"(0, 1, 4, 1)",0.7135678391959799
"(0, 1, 4, 2)",0.6859296482412061
"(0, 1, 4, 4)",0.6859296482412061
"(0, 1, 4, 8)",0.6633165829145728
"(0, 1, 4, 16)",0.6582914572864321
"(0, 1, 4, 32)",0.6482412060301508
"(0, 1, 4, 64)",0.6407035175879398
"(0, 1, 8, 0)",0.6934673366834171
"(0, 1, 8, 1)",0.7060301507537688
"(0, 1, 8, 2)",0.6884422110552764
"(0, 1, 8, 4)",0.6859296482412061
"(0, 1, 8, 8)",0.6758793969849246
"(0, 1, 8, 16)",0.6658291457286433
"(0, 1, 8, 32)",0.6407035175879398
"(0, 1, 8, 64)",0.6582914572864321
"(0, 1, 16, 0)",0.6859296482412061
"(0, 1, 16, 1)",0.6884422110552764
"(0, 1, 16, 2)",0.6909547738693468
"(0, 1, 16, 4)",0.678391959798995
"(0, 1, 16, 8)",0.6733668341708543
"(0, 1, 16, 16)",0.6608040201005025
"(0, 1, 16, 32)",0.6507537688442211
"(0, 1, 16, 64)",0.6507537688442211
"(0, 1, 32, 0)",0.6758793969849246
"(0, 1, 32, 1)",0.6884422110552764
"(0, 1, 32, 2)",0.7035175879396985
"(0, 1, 32, 4)",0.6884422110552764
"(0, 1, 32, 8)",0.6633165829145728
"(0, 1, 32, 16)",0.6532663316582915
"(0, 1, 32, 32)",0.6432160804020101
"(0, 1, 32, 64)",0.635678391959799
"(0, 1, 64, 0)",0.6934673366834171
"(0, 1, 64, 1)",0.6959798994974874
"(0, 1, 64, 2)",0.7010050251256281
"(0, 1, 64, 4)",0.6834170854271356
"(0, 1, 64, 8)",0.6708542713567839
"(0, 1, 64, 16)",0.6482412060301508
"(0, 1, 64, 32)",0.6507537688442211
"(0, 1, 64, 64)",0.6381909547738693
"(0, 2, 0, 0)",0.6482412060301508
"(0, 2, 0, 1)",0.6859296482412061
"(0, 2, 0, 2)",0.6758793969849246
"(0, 2, 0, 4)",0.6708542713567839
"(0, 2, 0, 8)",0.6683417085427136
"(0, 2, 0, 16)",0.6658291457286433
"(0, 2, 0, 32)",0.6658291457286433
"(0, 2, 0, 64)",0.6683417085427136
"(0, 2, 1, 0)",0.7060301507537688
"(0, 2, 1, 1)",0.7211055276381909
"(0, 2, 1, 2)",0.7286432160804021
"(0, 2, 1, 4)",0.7135678391959799
"(0, 2, 1, 8)",0.6934673366834171
"(0, 2, 1, 16)",0.6859296482412061
"(0, 2, 1, 32)",0.678391959798995
"(0, 2, 1, 64)",0.6683417085427136
"(0, 2, 2, 0)",0.6909547738693468
"(0, 2, 2, 1)",0.7160804020100503
"(0, 2, 2, 2)",0.7110552763819096
"(0, 2, 2, 4)",0.7110552763819096
"(0, 2, 2, 8)",0.7010050251256281
"(0, 2, 2, 16)",0.6708542713567839
"(0, 2, 2, 32)",0.6733668341708543
"(0, 2, 2, 64)",0.6582914572864321
"(0, 2, 4, 0)",0.7085427135678392
"(0, 2, 4, 1)",0.7035175879396985
"(0, 2, 4, 2)",0.7010050251256281
"(0, 2, 4, 4)",0.6859296482412061
"(0, 2, 4, 8)",0.6859296482412061
