,weights,aligns
0,0.0,0.475
1,3.0303030303030305e-08,0.4825
2,6.060606060606061e-08,0.4825
3,9.090909090909091e-08,0.48
4,1.2121212121212122e-07,0.48
5,1.5151515151515152e-07,0.4825
6,1.8181818181818183e-07,0.49
7,2.1212121212121213e-07,0.4975
8,2.4242424242424244e-07,0.4975
9,2.7272727272727274e-07,0.5
10,3.0303030303030305e-07,0.5025
11,3.3333333333333335e-07,0.5025
12,3.6363636363636366e-07,0.5
13,3.9393939393939396e-07,0.5
14,4.2424242424242427e-07,0.5025
15,4.5454545454545457e-07,0.505
16,4.848484848484849e-07,0.5075
17,5.151515151515152e-07,0.5125
18,5.454545454545455e-07,0.5125
19,5.757575757575758e-07,0.51
20,6.060606060606061e-07,0.5125
21,6.363636363636364e-07,0.5125
22,6.666666666666667e-07,0.5125
23,6.96969696969697e-07,0.5075
24,7.272727272727273e-07,0.5075
25,7.575757575757576e-07,0.5125
26,7.878787878787879e-07,0.5125
27,8.181818181818182e-07,0.5125
28,8.484848484848485e-07,0.5125
29,8.787878787878788e-07,0.5125
30,9.090909090909091e-07,0.515
31,9.393939393939395e-07,0.5175
32,9.696969696969698e-07,0.5175
33,1.0000000000000002e-06,0.52
34,1.0303030303030304e-06,0.5225
35,1.0606060606060606e-06,0.5225
36,1.090909090909091e-06,0.52
37,1.1212121212121214e-06,0.52
38,1.1515151515151516e-06,0.5175
39,1.1818181818181818e-06,0.515
40,1.2121212121212122e-06,0.515
41,1.2424242424242426e-06,0.515
42,1.2727272727272728e-06,0.5175
43,1.303030303030303e-06,0.52
44,1.3333333333333334e-06,0.52
45,1.3636363636363638e-06,0.52
46,1.393939393939394e-06,0.5225
47,1.4242424242424242e-06,0.525
48,1.4545454545454546e-06,0.525
49,1.484848484848485e-06,0.5275
50,1.5151515151515152e-06,0.5275
51,1.5454545454545454e-06,0.5275
52,1.5757575757575759e-06,0.5325
53,1.6060606060606063e-06,0.5325
54,1.6363636363636365e-06,0.535
55,1.6666666666666667e-06,0.535
56,1.696969696969697e-06,0.535
57,1.7272727272727275e-06,0.535
58,1.7575757575757577e-06,0.5375
59,1.7878787878787879e-06,0.54
60,1.8181818181818183e-06,0.54
61,1.8484848484848487e-06,0.54
62,1.878787878787879e-06,0.5425
63,1.909090909090909e-06,0.545
64,1.9393939393939395e-06,0.5475
65,1.96969696969697e-06,0.5475
66,2.0000000000000003e-06,0.545
67,2.0303030303030303e-06,0.5475
68,2.0606060606060607e-06,0.5475
69,2.090909090909091e-06,0.55
70,2.121212121212121e-06,0.55
71,2.1515151515151515e-06,0.55
72,2.181818181818182e-06,0.55
73,2.2121212121212124e-06,0.5525
74,2.2424242424242428e-06,0.5525
75,2.2727272727272728e-06,0.5525
76,2.303030303030303e-06,0.555
77,2.3333333333333336e-06,0.555
78,2.3636363636363636e-06,0.5525
79,2.393939393939394e-06,0.5525
80,2.4242424242424244e-06,0.5525
81,2.454545454545455e-06,0.5525
82,2.484848484848485e-06,0.5525
83,2.515151515151515e-06,0.555
84,2.5454545454545456e-06,0.5525
85,2.575757575757576e-06,0.5525
86,2.606060606060606e-06,0.5525
87,2.6363636363636364e-06,0.55
88,2.666666666666667e-06,0.555
89,2.6969696969696972e-06,0.555
90,2.7272727272727276e-06,0.555
91,2.7575757575757576e-06,0.555
92,2.787878787878788e-06,0.555
93,2.8181818181818185e-06,0.555
94,2.8484848484848484e-06,0.555
95,2.878787878787879e-06,0.5525
96,2.9090909090909093e-06,0.5525
97,2.9393939393939397e-06,0.5525
98,2.96969696969697e-06,0.5525
99,3e-06,0.5525
