group,seed,weights,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc
align=0.98,0,"[1, 128, 0, 0]",0.8969849246231156,0.8969849246231156,0.957286432160804
align=0.98,1,"[1, 128, 0, 0]",0.9346733668341709,0.9371859296482412,0.9020100502512562
align=0.98,2,"[1, 128, 0, 0]",0.9371859296482412,0.9371859296482412,0.9623115577889447
align=0.67,0,"[1, 0, 0, 0]",0.9422110552763819,0.9422110552763819,0.9321608040201005
align=0.67,1,"[1, 0, 0, 0]",0.8869346733668342,0.8894472361809045,0.9673366834170855
align=0.67,2,"[1, 0, 0, 0]",0.8844221105527639,0.8844221105527639,0.9170854271356784
align=0.96,0,"[1, 2048, 0, 0]",0.8492462311557789,0.8492462311557789,0.9472361809045227
align=0.96,1,"[1, 2048, 0, 0]",0.9296482412060302,0.9321608040201005,0.8618090452261307
align=0.96,2,"[1, 2048, 0, 0]",0.9246231155778895,0.9246231155778895,0.9346733668341709
align=0.97,0,"[128, 1, 0, 0]",0.9447236180904522,0.9447236180904522,0.9597989949748744
align=0.97,1,"[128, 1, 0, 0]",0.9246231155778895,0.9271356783919598,0.9748743718592965
align=0.97,2,"[128, 1, 0, 0]",0.9246231155778895,0.9246231155778895,0.9522613065326633
align=0.95,0,"[2048, 1, 0, 0]",0.9422110552763819,0.9422110552763819,0.9371859296482412
align=0.95,1,"[2048, 1, 0, 0]",0.8894472361809045,0.8919597989949749,0.9698492462311558
align=0.95,2,"[2048, 1, 0, 0]",0.8894472361809045,0.8894472361809045,0.9195979899497487
align=0.62,0,"[0, 1, 0, 0]",0.8391959798994975,0.8391959798994975,0.9422110552763819
align=0.62,1,"[0, 1, 0, 0]",0.9296482412060302,0.9321608040201005,0.8542713567839196
align=0.62,2,"[0, 1, 0, 0]",0.9221105527638191,0.9221105527638191,0.9321608040201005
align=0.97,0,"[128, 1, 0, 0]",0.9447236180904522,0.9447236180904522,0.9597989949748744
align=0.97,1,"[128, 1, 0, 0]",0.9246231155778895,0.9271356783919598,0.9748743718592965
align=0.97,2,"[128, 1, 0, 0]",0.9246231155778895,0.9246231155778895,0.9522613065326633
align=1,0,"[1, 1, 0, 0]",0.964824120603015,0.964824120603015,0.9824120603015075
align=1,1,"[1, 1, 0, 0]",0.9723618090452262,0.9748743718592965,0.9824120603015075
align=1,2,"[1, 1, 0, 0]",0.9849246231155779,0.9849246231155779,0.9849246231155779
align=1,0,"[1, 1, 0, 0]",0.964824120603015,0.964824120603015,0.9824120603015075
align=1,1,"[1, 1, 0, 0]",0.9723618090452262,0.9748743718592965,0.9824120603015075
align=1,2,"[1, 1, 0, 0]",0.9849246231155779,0.9849246231155779,0.9849246231155779
align=0.95,0,"[2048, 1, 0, 0]",0.9422110552763819,0.9422110552763819,0.9371859296482412
align=0.95,1,"[2048, 1, 0, 0]",0.8894472361809045,0.8919597989949749,0.9698492462311558
align=0.95,2,"[2048, 1, 0, 0]",0.8894472361809045,0.8894472361809045,0.9195979899497487
align=0.96,0,"[1, 2048, 0, 0]",0.8492462311557789,0.8492462311557789,0.9472361809045227
align=0.96,1,"[1, 2048, 0, 0]",0.9296482412060302,0.9321608040201005,0.8618090452261307
align=0.96,2,"[1, 2048, 0, 0]",0.9246231155778895,0.9246231155778895,0.9346733668341709
align=0.62,0,"[0, 1, 0, 0]",0.8391959798994975,0.8391959798994975,0.9422110552763819
align=0.62,1,"[0, 1, 0, 0]",0.9296482412060302,0.9321608040201005,0.8542713567839196
align=0.62,2,"[0, 1, 0, 0]",0.9221105527638191,0.9221105527638191,0.9321608040201005
align=0.98,0,"[1, 128, 0, 0]",0.8969849246231156,0.8969849246231156,0.957286432160804
align=0.98,1,"[1, 128, 0, 0]",0.9346733668341709,0.9371859296482412,0.9020100502512562
align=0.98,2,"[1, 128, 0, 0]",0.9371859296482412,0.9371859296482412,0.9623115577889447
align=0.67,0,"[1, 0, 0, 0]",0.9422110552763819,0.9422110552763819,0.9321608040201005
align=0.67,1,"[1, 0, 0, 0]",0.8869346733668342,0.8894472361809045,0.9673366834170855
align=0.67,2,"[1, 0, 0, 0]",0.8844221105527639,0.8844221105527639,0.9170854271356784
