agent,name,model,seed,test_clf_acc,test_1nn_acc,test_triplet_acc,NINO_ds_acc,NIFO_ds_acc,NI_acc,NO_acc,FO_acc
MTL0s0,MTL0s0,MTL0,0,0.675000011920929,0.95,0.7212499976158142,0.95,1.0,0.6625,0.925,0.175
MTL0s0,MTL0s1,MTL0,1,0.3000000119209289,0.975,0.6974999904632568,0.8,1.0,0.575,0.975,0.125
MTL0s0,MTL0s2,MTL0,2,0.625,0.975,0.6962499618530273,0.8,0.975,0.6,0.95,0.1
MTL0s0,MTL0s3,MTL0,3,0.5,0.95,0.7162500023841858,0.825,1.0,0.5375,0.95,0.1
MTL0s0,MTL0s4,MTL0,4,0.675000011920929,0.95,0.7124999761581421,0.9,1.0,0.45,0.875,0.325
MTL0s0,MTL0.2s0,MTL0.2,0,0.925000011920929,0.925,0.6912499666213989,0.925,1.0,0.7,0.875,0.1
MTL0s0,MTL0.2s1,MTL0.2,1,0.949999988079071,0.95,0.7087500095367432,0.7,1.0,0.4875,1.0,0.15
MTL0s0,MTL0.2s2,MTL0.2,2,0.875,0.975,0.6974999904632568,0.925,1.0,0.6375,0.975,0.175
MTL0s0,MTL0.2s3,MTL0.2,3,0.949999988079071,0.95,0.6987499594688416,0.9,1.0,0.6125,0.775,0.1
MTL0s0,MTL0.2s4,MTL0.2,4,0.975000023841858,0.95,0.6949999928474426,0.825,1.0,0.6375,0.925,0.15
MTL0s0,MTL0.5s0,MTL0.5,0,0.925000011920929,0.925,0.6812499761581421,0.925,1.0,0.675,0.9,0.175
MTL0s0,MTL0.5s1,MTL0.5,1,0.925000011920929,0.925,0.699999988079071,0.9,1.0,0.575,0.9,0.1
MTL0s0,MTL0.5s2,MTL0.5,2,0.975000023841858,0.975,0.6862499713897705,0.925,1.0,0.6,0.95,0.1
MTL0s0,MTL0.5s3,MTL0.5,3,0.949999988079071,0.95,0.6937499642372131,0.9,1.0,0.6375,0.85,0.15
MTL0s0,MTL0.5s4,MTL0.5,4,0.975000023841858,0.95,0.7074999809265137,0.875,1.0,0.7,0.975,0.2
MTL0s0,MTL0.8s0,MTL0.8,0,0.925000011920929,0.925,0.699999988079071,0.9,1.0,0.6,0.9,0.125
MTL0s0,MTL0.8s1,MTL0.8,1,0.975000023841858,0.975,0.699999988079071,0.85,1.0,0.5625,0.9,0.1875
MTL0s0,MTL0.8s2,MTL0.8,2,0.975000023841858,0.975,0.6787499785423279,0.9,1.0,0.6125,0.875,0.1
MTL0s0,MTL0.8s3,MTL0.8,3,0.949999988079071,0.95,0.6912499666213989,0.875,1.0,0.55,0.925,0.125
MTL0s0,MTL0.8s4,MTL0.8,4,0.949999988079071,0.95,0.7049999833106995,0.875,1.0,0.625,0.875,0.05
MTL0s0,MTL1s0,MTL1,0,0.925000011920929,0.925,0.581250011920929,0.65,0.575,0.3,0.8,0.8125
MTL0s0,MTL1s1,MTL1,1,0.949999988079071,0.925,0.5737499594688416,0.775,0.45,0.2,0.65,0.85
MTL0s0,MTL1s2,MTL1,2,0.975000023841858,0.975,0.5987499952316284,0.725,0.75,0.2125,0.8,0.4375
MTL0s0,MTL1s3,MTL1,3,0.949999988079071,0.95,0.5962499976158142,0.75,0.725,0.2375,0.825,0.725
MTL0s0,MTL1s4,MTL1,4,0.975000023841858,0.975,0.6150000095367432,0.675,0.825,0.1625,0.775,0.575
