agent,name,model,seed,test_clf_acc,test_1nn_acc,test_triplet_acc,NINO_ds_acc,NIFO_ds_acc,NI_acc,NO_acc,FO_acc
MTL0s0,MTL0s0,MTL0,0,0.675000011920929,0.95,0.7587499618530273,0.95,1.0,0.9125,1.0,0.0
MTL0s0,MTL0s1,MTL0,1,0.4749999940395355,0.9,0.7299999594688416,0.8,1.0,0.55,0.975,0.075
MTL0s0,MTL0s2,MTL0,2,0.550000011920929,0.95,0.7137500047683716,0.9,1.0,0.55,0.925,0.125
MTL0s0,MTL0s3,MTL0,3,0.5,0.9,0.7212499976158142,0.825,1.0,0.625,1.0,0.1
MTL0s0,MTL0s4,MTL0,4,0.675000011920929,0.85,0.7249999642372131,0.9,1.0,0.6125,0.925,0.075
MTL0s0,MTL0.2s0,MTL0.2,0,0.949999988079071,0.95,0.7475000023841858,0.925,1.0,0.8125,0.975,0.0125
MTL0s0,MTL0.2s1,MTL0.2,1,0.949999988079071,0.9,0.75,0.8,1.0,0.55,1.0,0.125
MTL0s0,MTL0.2s2,MTL0.2,2,0.949999988079071,0.925,0.7274999618530273,0.9,1.0,0.625,0.975,0.1
MTL0s0,MTL0.2s3,MTL0.2,3,0.949999988079071,0.9,0.7450000047683716,0.8,1.0,0.6,0.9,0.1
MTL0s0,MTL0.2s4,MTL0.2,4,0.949999988079071,0.95,0.7362499833106995,0.875,1.0,0.575,0.925,0.075
MTL0s0,MTL0.5s0,MTL0.5,0,0.925000011920929,0.95,0.762499988079071,0.95,1.0,0.7375,0.975,0.0
MTL0s0,MTL0.5s1,MTL0.5,1,0.949999988079071,0.925,0.7462499737739563,0.825,1.0,0.5375,1.0,0.075
MTL0s0,MTL0.5s2,MTL0.5,2,0.975000023841858,0.975,0.7337499856948853,0.85,1.0,0.5375,0.95,0.025
MTL0s0,MTL0.5s3,MTL0.5,3,0.949999988079071,0.95,0.7337499856948853,0.925,1.0,0.65,0.925,0.2
MTL0s0,MTL0.5s4,MTL0.5,4,0.975000023841858,0.95,0.731249988079071,0.925,1.0,0.7,0.975,0.025
MTL0s0,MTL0.8s0,MTL0.8,0,0.949999988079071,0.925,0.7462499737739563,0.875,1.0,0.725,0.975,0.075
MTL0s0,MTL0.8s1,MTL0.8,1,0.925000011920929,0.925,0.7237499952316284,0.775,1.0,0.525,0.975,0.125
MTL0s0,MTL0.8s2,MTL0.8,2,1.0,0.95,0.7274999618530273,0.825,1.0,0.6375,0.975,0.125
MTL0s0,MTL0.8s3,MTL0.8,3,0.949999988079071,0.925,0.7299999594688416,0.925,1.0,0.6375,0.9,0.3
MTL0s0,MTL0.8s4,MTL0.8,4,0.975000023841858,0.95,0.762499988079071,0.9,1.0,0.5625,1.0,0.05
MTL0s0,MTL1s0,MTL1,0,0.925000011920929,0.925,0.59375,0.775,0.8,0.2125,0.75,0.55
MTL0s0,MTL1s1,MTL1,1,0.949999988079071,0.925,0.5649999976158142,0.625,0.475,0.2125,0.975,0.85
MTL0s0,MTL1s2,MTL1,2,0.975000023841858,0.975,0.6100000143051147,0.55,0.65,0.275,0.825,0.575
MTL0s0,MTL1s3,MTL1,3,0.949999988079071,0.95,0.5774999856948853,0.85,0.6,0.225,0.625,0.65
MTL0s0,MTL1s4,MTL1,4,0.975000023841858,0.975,0.5999999642372131,0.575,0.85,0.2625,0.7625,0.575
MTL0s1,MTL0s0,MTL0,0,0.675000011920929,0.95,0.7587499618530273,0.85,1.0,0.6875,1.0,0.2
MTL0s1,MTL0s1,MTL0,1,0.4749999940395355,0.9,0.7299999594688416,0.9,1.0,0.925,1.0,0.0
MTL0s1,MTL0s2,MTL0,2,0.550000011920929,0.95,0.7137500047683716,0.925,1.0,0.6,0.9,0.125
MTL0s1,MTL0s3,MTL0,3,0.5,0.9,0.7212499976158142,0.8,1.0,0.675,0.975,0.175
MTL0s1,MTL0s4,MTL0,4,0.675000011920929,0.85,0.7249999642372131,0.8,1.0,0.7375,0.95,0.075
MTL0s1,MTL0.2s0,MTL0.2,0,0.949999988079071,0.95,0.7475000023841858,0.775,1.0,0.7125,0.975,0.2375
MTL0s1,MTL0.2s1,MTL0.2,1,0.949999988079071,0.9,0.75,0.775,1.0,0.675,1.0,0.075
MTL0s1,MTL0.2s2,MTL0.2,2,0.949999988079071,0.925,0.7274999618530273,0.85,1.0,0.6,0.975,0.025
MTL0s1,MTL0.2s3,MTL0.2,3,0.949999988079071,0.9,0.7450000047683716,0.875,1.0,0.725,0.95,0.075
MTL0s1,MTL0.2s4,MTL0.2,4,0.949999988079071,0.95,0.7362499833106995,0.8,1.0,0.75,0.975,0.075
MTL0s1,MTL0.5s0,MTL0.5,0,0.925000011920929,0.95,0.762499988079071,0.9,1.0,0.7125,1.0,0.05
MTL0s1,MTL0.5s1,MTL0.5,1,0.949999988079071,0.925,0.7462499737739563,0.8,1.0,0.7375,1.0,0.0
