agent,name,model,seed,test_clf_acc,test_1nn_acc,test_triplet_acc,NINO_ds_acc,NIFO_ds_acc,rNINO_ds_acc,NINO_ds_err,NIFO_ds_err,rNINO_ds_err,NIs,NI_acc
MTL0s0,MTL0s0,MTL0,0,0.675000011920929,0.95,0.7587499618530273,0.95,1.0,1.0,"[[7, 5, 91], [24, 91, 5]]",[],[],"[ 19   5  19   5  49  25   5   5  10  10  25  29  29  29  36  29  25  29
  46  58  91  79  69  91  91  91  91  69  77  91  93 109 109  93 109 109
 110 109 116 109]",1.0
MTL0s0,MTL0s1,MTL0,1,0.4749999940395355,0.9,0.7299999594688416,0.8,1.0,0.825,"[[7, 49, 91], [11, 52, 110], [17, 58, 110], [22, 75, 19], [23, 79, 19], [24, 90, 19], [34, 99, 58], [38, 110, 58]]",[],"[[7, 49, 85], [11, 52, 110], [17, 58, 110], [22, 75, 19], [23, 79, 19], [34, 99, 58], [38, 110, 58]]","[  5  19  49  10  49  25  19  49  49  49  25  52  25  58  52  42  25  58
  42  58  91  71  75  79  90  81  75  62  62  90  94  99 114  99  99 110
  99  97 110 114]",0.8
MTL0s0,MTL0s2,MTL0,2,0.550000011920929,0.95,0.7137500047683716,0.9,1.0,0.875,"[[6, 1, 91], [24, 60, 1], [32, 86, 40], [39, 102, 29]]",[],"[[1, 12, 87], [6, 1, 91], [24, 60, 1], [32, 86, 40], [39, 102, 29]]","[ 19  12   1  20  19  49   1   5  19  19  53  48  48  47  36  34  48  29
  42  48  67  70  82  67  60  73  82  63  70  70 101 117  86 101  94  99
 101 117  99 102]",0.85
MTL0s0,MTL0s3,MTL0,3,0.5,0.9,0.7212499976158142,0.825,1.0,0.85,"[[0, 21, 91], [2, 21, 91], [3, 21, 91], [7, 10, 90], [9, 21, 91], [23, 60, 19], [24, 60, 5]]",[],"[[0, 21, 91], [2, 21, 91], [3, 21, 91], [7, 10, 90], [9, 21, 91], [23, 60, 19]]","[ 21  49  21  21  49  10  19  10  49  21  43  53  53  33  53  53  53  44
  53  42  91  71  79  60  60  71  91  77  83  86 109 109 109 109 109 109
 109  93  99 109]",0.775
MTL0s0,MTL0s4,MTL0,4,0.675000011920929,0.85,0.7249999642372131,0.9,1.0,0.925,"[[7, 10, 90], [19, 41, 103], [23, 60, 19], [24, 60, 19]]",[],"[[19, 41, 103], [23, 60, 19], [24, 60, 19]]","[ 19  19  19  19  19  19  19  10  19  19  48  42  29  42  40  53  25  28
  42  41  91  91  91  60  60  71  62  91  75  82  97 103 114 103 103  92
 117 103 103  92]",0.8
MTL0s0,MTL0.2s0,MTL0.2,0,0.949999988079071,0.95,0.7475000023841858,0.925,1.0,0.975,"[[7, 5, 91], [23, 71, 19], [24, 91, 5]]",[],"[[23, 71, 19]]","[  2   5  19   5  49  10  10   5  10  10  25  34  25  54  36  29  25  47
  36  58  71  79  62  71  91  64  70  69  77  75  93 113 109  93 109 109
 110 109  94  94]",0.95
MTL0s0,MTL0.2s1,MTL0.2,1,0.949999988079071,0.9,0.75,0.8,1.0,0.85,"[[2, 20, 87], [4, 20, 81], [5, 48, 91], [7, 20, 81], [8, 18, 81], [29, 60, 49], [34, 111, 29], [39, 117, 29]]",[],"[[2, 20, 87], [4, 20, 81], [7, 20, 60], [29, 60, 49], [34, 111, 29], [39, 117, 29]]","[  5  19  20  59  20  48  19  20  18   5  25  40  42  29  36  42  42  47
  36  29  89  71  91  60  60  80  91  91  80  60 109 109 109 109 111 117
  99 109 111 117]",0.85
MTL0s0,MTL0.2s2,MTL0.2,2,0.949999988079071,0.925,0.7274999618530273,0.9,1.0,0.9,"[[1, 12, 91], [7, 19, 87], [19, 48, 114], [23, 60, 19]]",[],"[[1, 12, 81], [7, 19, 87], [19, 48, 114], [23, 60, 19]]","[ 19  12  19  19  19  19  19  19  19  19  19  48  48  36  36  36  48  29
  29  48  67  82  82  60  91  66  82  70  70  82  95 109 109 114 102 117
 101 117  99 102]",0.85
MTL0s0,MTL0.2s3,MTL0.2,3,0.949999988079071,0.9,0.7450000047683716,0.8,1.0,0.85,"[[2, 21, 89], [7, 19, 90], [23, 87, 19], [24, 60, 5], [29, 71, 29], [34, 106, 29], [38, 99, 29], [39, 102, 29]]",[],"[[2, 21, 89], [23, 87, 19], [24, 60, 5], [34, 106, 29], [38, 99, 29], [39, 102, 29]]","[ 17  19  21  19  19  19  19  19  19  49  19  53  29  41  42  53  53  29
  53  29  91  79  79  87  60  79  91  77  70  71 109 109 109 109 106 109
  99  99  99 102]",0.85
MTL0s0,MTL0.2s4,MTL0.2,4,0.949999988079071,0.95,0.7362499833106995,0.875,1.0,0.875,"[[1, 21, 81], [2, 1, 81], [7, 22, 87], [24, 60, 1], [31, 97, 29]]",[],"[[1, 21, 81], [2, 1, 81], [7, 22, 87], [24, 60, 1], [31, 97, 29]]","[  1  21   1   1  19  22  19  22  49  19  48  42  29  42  42  53  25  29
  42  58  91  89  91  91  60  91  89  91  82  82  92  97 114 114 103  97
  99  97 103 114]",0.85
MTL0s0,MTL0.5s0,MTL0.5,0,0.925000011920929,0.95,0.762499988079071,0.95,1.0,0.975,"[[19, 41, 114], [24, 91, 5]]",[],"[[19, 41, 114]]","[ 19  18  49  10  49  25  19   5  19  17  25  36  36  36  54  54  25  44
  36  41  71  67  67  71  91  81  88  70  77  91 114 109 109 112 109 109
 110  94 109  94]",0.925
