agent,name,model,seed,test_clf_acc,test_1nn_acc,test_triplet_acc,NINO_ds_acc,NIFO_ds_acc,rNINO_ds_acc,NINO_ds_err,NIFO_ds_err,rNINO_ds_err,NIs,NI_acc
MTL0s0,MTL0s0,MTL0,0,0.4749999940395355,0.85,0.706250011920929,0.85,1.0,1.0,"[[4, 3, 71], [5, 5, 84], [7, 1, 84], [8, 22, 72], [34, 119, 29], [38, 119, 29]]",[],[],"[ 39  19  39  16   3   5   6   1  22  35  25  29  25  42  36  29  36  34
  42  58  71  71  79  71  60  69  69  69  69  79  95 113 109  95 119  92
 103 117 119 119]",0.875
MTL0s0,MTL0s1,MTL0,1,0.4749999940395355,0.9,0.7099999785423279,0.775,1.0,0.8,"[[0, 21, 74], [5, 59, 90], [7, 5, 90], [8, 21, 72], [9, 21, 70], [12, 27, 91], [24, 64, 25], [31, 110, 48], [34, 118, 48]]",[],"[[0, 21, 74], [5, 59, 69], [7, 5, 88], [8, 21, 72], [9, 21, 70], [12, 27, 91], [31, 110, 48], [34, 118, 48]]","[ 21  19  14  59  25  59  19   5  21  21  25  42  27  41  36  44  25  44
  42  46  91  71  62  81  64  81  69  69  81  71  95 110  93  93 118 110
  95  92  99 114]",0.4375
MTL0s0,MTL0s2,MTL0,2,0.4749999940395355,0.85,0.70374995470047,0.725,1.0,0.75,"[[0, 21, 91], [1, 12, 91], [3, 21, 63], [4, 21, 81], [5, 1, 91], [7, 5, 90], [8, 20, 90], [9, 21, 63], [12, 48, 91], [32, 97, 40], [38, 99, 29]]",[],"[[0, 21, 91], [1, 12, 67], [3, 21, 63], [4, 21, 81], [7, 5, 84], [8, 20, 90], [9, 21, 63], [12, 48, 91], [32, 97, 40], [38, 99, 29]]","[ 21  12  23  21  21   1  18   5  20  21  53  29  48  42  29  29  29  29
  42  46  91  89  70  89  91  75  76  63  91  70  95 113  97  97  99  99
 101  97  99 102]",0.4
MTL0s0,MTL0s3,MTL0,3,0.550000011920929,0.9,0.7274999618530273,0.75,1.0,0.775,"[[2, 10, 81], [4, 10, 84], [5, 10, 91], [7, 5, 90], [8, 19, 72], [9, 21, 91], [12, 30, 107], [16, 53, 91], [17, 53, 99], [24, 61, 5]]",[],"[[2, 10, 81], [4, 10, 84], [5, 10, 61], [7, 5, 60], [8, 19, 72], [9, 21, 91], [12, 30, 107], [16, 53, 91], [17, 53, 97]]","[ 18  19  10  59  10  10  17   5  19  21  43  53  30  58  53  53  53  53
  42  46  91  79  79  60  61  74  61  79  79  70 101  93 117 117  99 117
 117  93 117 102]",0.3125
MTL0s0,MTL0s4,MTL0,4,0.5250000357627869,0.875,0.7162500023841858,0.775,1.0,0.8,"[[1, 21, 88], [2, 20, 63], [4, 21, 60], [5, 39, 71], [7, 7, 90], [8, 20, 62], [9, 23, 91], [31, 110, 48], [35, 103, 48]]",[],"[[1, 21, 90], [2, 20, 63], [4, 21, 86], [5, 39, 60], [7, 7, 60], [8, 20, 62], [31, 110, 48], [35, 103, 48]]","[  0  21  20  20  21  39  19   7  20  23  25  48  48  58  29  41  25  42
  42  48  85  89  79  60  62  91  91  69  91  69  92 110 111 103 103 103
 117  92  99 103]",0.4125
MTL0s0,MTL0.2s0,MTL0.2,0,0.949999988079071,0.875,0.7162500023841858,0.85,1.0,0.95,"[[5, 33, 61], [7, 1, 84], [8, 17, 72], [34, 117, 29], [35, 106, 58], [38, 119, 29]]",[],"[[34, 117, 29], [35, 106, 58]]","[ 39  20  39  16  48  33   6   1  17  19  25  29  25  42  36  29  25  34
  42  58  67  79  79  71  60  69  69  69  61  79  95 109 111  95 117 106
 103 117 119 119]",0.75
MTL0s0,MTL0.2s1,MTL0.2,1,0.9000000357627869,0.875,0.7224999666213989,0.825,1.0,0.825,"[[0, 21, 74], [6, 49, 67], [7, 17, 90], [8, 10, 89], [19, 46, 114], [24, 91, 25], [38, 111, 44]]",[],"[[0, 21, 74], [5, 43, 88], [6, 49, 67], [8, 10, 89], [19, 46, 114], [24, 91, 3], [38, 111, 50]]","[ 21  20  18  59  25  43  49  17  10  49  25  42  36  36  36  44  25  44
  42  46  91  79  79  67  91  64  77  69  81  71  95 110  93 111 114 110
  95  92 111 114]",0.375
MTL0s0,MTL0.2s2,MTL0.2,2,0.925000011920929,0.9,0.6962499618530273,0.8,1.0,0.825,"[[1, 12, 81], [2, 12, 91], [3, 12, 88], [4, 18, 81], [7, 19, 90], [8, 20, 61], [9, 21, 88], [13, 51, 117]]",[],"[[1, 12, 67], [2, 12, 91], [3, 12, 88], [4, 18, 81], [8, 20, 61], [9, 21, 88], [13, 51, 117]]","[ 19  12  12  12  18  42  18  19  20  21  53  29  48  51  29  29  29  42
  42  29  89  89  70  89  60  60  61  63  61  70  95  99 109  97  99  99
  95  97  99  97]",0.475
MTL0s0,MTL0.2s3,MTL0.2,3,0.925000011920929,0.925,0.7124999761581421,0.8,1.0,0.85,"[[2, 10, 81], [4, 10, 81], [5, 10, 91], [7, 19, 90], [8, 19, 72], [9, 21, 91], [12, 30, 109], [24, 61, 5]]",[],"[[2, 10, 81], [4, 10, 81], [5, 10, 91], [9, 21, 91], [12, 30, 109], [24, 61, 5]]","[ 18  19  10  59  10  10  18  19  19  21  43  42  30  42  53  53  25  42
  42  46  91  79  79  87  61  64  61  82  79  70 117 109 117 102 102 102
 101  93 117 102]",0.375
MTL0s0,MTL0.2s4,MTL0.2,4,0.975000023841858,0.925,0.71875,0.85,1.0,0.85,"[[1, 21, 88], [2, 1, 89], [4, 21, 89], [5, 39, 71], [8, 20, 102], [35, 103, 48]]",[],"[[1, 21, 88], [2, 1, 89], [4, 21, 87], [5, 39, 60], [8, 20, 102], [35, 103, 48]]","[ 39  21   1  20  21  39  19   7  20  49  53  48  48  42  36  29  25  42
  42  48  89  89  79  89  66  91  75  69  69  69 111 113 111 103 103 103
 117  92  99 103]",0.55
