"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_content.aug","_content.check_val_every_n_epoch","_content.checkpoint_callback","_content.dataloader_num_workers","_content.deterministic","_content.do_test","_content.do_train","_content.embed_dim","_content.embeds_output_dir","_content.enable_progress_bar","_content.gpus","_content.lamda","_content.learning_rate","_content.log_every_n_steps","_content.max_epochs","_content.model","_content.num_class","_content.pretrained","_content.seed","_content.syn","_content.test_ckpt_path","_content.test_dir","_content.test_triplets","_content.train_batch_size","_content.train_dir","_content.train_triplets","_content.transform","_content.triplet_batch_size","_content.valid_dir","_content.valid_triplets","_content.wandb_entity","_content.wandb_group","_content.wandb_mode","_content.wandb_name","_content.wandb_project","_metadata","aug","check_val_every_n_epoch","checkpoint_callback","dataloader_num_workers","deterministic","do_test","do_train","embed_dim","embeds_output_dir","enable_progress_bar","gpus","lamda","learning_rate","log_every_n_steps","max_epochs","model","num_class","pretrained","profiler","seed","syn","test_ckpt_path","test_dir","test_triplets","train_batch_size","train_dir","train_triplets","transform","triplet_batch_size","valid_dir","valid_triplets","wandb_entity","wandb_group","wandb_mode","wandb_name","wandb_project","epoch","test_1nn_acc","test_clf_acc","test_clf_loss","test_total_loss","test_triplet_acc","test_triplet_loss","train_clf_acc","train_clf_loss","train_total_loss","train_triplet_acc","train_triplet_loss","trainer/global_step","valid_clf_acc","valid_clf_loss","valid_total_loss","valid_triplet_acc","valid_triplet_loss"
"MTL0.8s4","finished","-","mrsata","","2022-05-13T21:29:12.000Z","147","","False","1","True","4","True","True","True","50","../embeds/bm/prolific","False","1","0.8","0.0001","50","50","MTL","2","True","4","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.8s4","bm_filtered_d50_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","50","../embeds/bm/prolific","false","1","0.8","0.0001","50","50","MTL","2","true","None","4","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.8s4","bm_filtered_d50_e50","48","0.95","0.949999988079071","0.15178394317626953","0.29662731289863586","0.7049999833106995","0.876000702381134","1","0.0354280099272728","0.031496383249759674","0.9950000047683716","0.015769872814416885","500","0.925000011920929","0.1905791014432907","0.24345895648002625","0.8179059028625488","0.4549783170223236"
"MTL0.8s3","finished","-","mrsata","","2022-05-13T21:26:24.000Z","160","","False","1","True","4","True","True","True","50","../embeds/bm/prolific","False","1","0.8","0.0001","50","50","MTL","2","True","3","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.8s3","bm_filtered_d50_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","50","../embeds/bm/prolific","false","1","0.8","0.0001","50","50","MTL","2","true","None","3","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.8s3","bm_filtered_d50_e50","47","0.95","0.949999988079071","0.2253398597240448","0.3701350688934326","0.6912499666213989","0.9493157863616944","1","0.02522171288728714","0.02361001819372177","1","0.017163243144750595","500","0.925000011920929","0.21889285743236545","0.2696101665496826","0.8057662844657898","0.47247934341430664"
"MTL0.8s2","finished","-","mrsata","","2022-05-13T21:23:45.000Z","152","","False","1","True","4","True","True","True","50","../embeds/bm/prolific","False","1","0.8","0.0001","50","50","MTL","2","True","2","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.8s2","bm_filtered_d50_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","50","../embeds/bm/prolific","false","1","0.8","0.0001","50","50","MTL","2","true","None","2","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.8s2","bm_filtered_d50_e50","48","0.975","0.975000023841858","0.1535894125699997","0.33040428161621094","0.6787499785423279","1.037663817405701","1","0.01886133663356304","0.018993500620126724","1","0.019522156566381454","500","0.925000011920929","0.2342711240053177","0.28262192010879517","0.7996965050697327","0.47602513432502747"
"MTL0.8s1","finished","-","mrsata","","2022-05-13T21:21:07.000Z","151","","False","1","True","4","True","True","True","50","../embeds/bm/prolific","False","1","0.8","0.0001","50","50","MTL","2","True","1","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.8s1","bm_filtered_d50_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","50","../embeds/bm/prolific","false","1","0.8","0.0001","50","50","MTL","2","true","None","1","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.8s1","bm_filtered_d50_e50","48","0.975","0.975000023841858","0.17597728967666626","0.3208200931549072","0.699999988079071","0.9001911878585815","1","0.022726546972990036","0.02165665104985237","1","0.017377061769366264","500","0.949999988079071","0.19862821698188785","0.2538061738014221","0.7996965050697327","0.47451797127723694"
"MTL0.8s0","finished","-","mrsata","","2022-05-13T21:18:24.000Z","156","","False","1","True","4","True","True","True","50","../embeds/bm/prolific","False","1","0.8","0.0001","50","50","MTL","2","True","0","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.8s0","bm_filtered_d50_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","50","../embeds/bm/prolific","false","1","0.8","0.0001","50","50","MTL","2","true","None","0","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.8s0","bm_filtered_d50_e50","46","0.925","0.925000011920929","0.22186879813671112","0.3650630116462707","0.699999988079071","0.9378398060798644","1","0.026080725714564323","0.02360333874821663","1","0.013693785294890404","500","0.8999999761581421","0.22066351771354675","0.270731121301651","0.798179030418396","0.4710014760494232"
"MTL0.2s4","finished","-","mrsata","","2022-05-13T21:15:51.000Z","146","","False","1","True","4","True","True","True","50","../embeds/bm/prolific","False","1","0.2","0.0001","50","50","MTL","2","True","4","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.2s4","bm_filtered_d50_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","50","../embeds/bm/prolific","false","1","0.2","0.0001","50","50","MTL","2","true","None","4","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.2s4","bm_filtered_d50_e50","44","0.95","0.975000023841858","0.21852803230285645","0.7145925164222717","0.6949999928474426","0.8386086821556091","1","0.07045822590589523","0.025114454329013824","1","0.013778509572148325","500","0.925000011920929","0.2306081056594849","0.4224383533000946","0.8042488694190979","0.4703958928585053"
"MTL0.2s3","finished","-","mrsata","","2022-05-13T21:13:16.000Z","148","","False","1","True","4","True","True","True","50","../embeds/bm/prolific","False","1","0.2","0.0001","50","50","MTL","2","True","3","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.2s3","bm_filtered_d50_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","50","../embeds/bm/prolific","false","1","0.2","0.0001","50","50","MTL","2","true","None","3","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.2s3","bm_filtered_d50_e50","48","0.95","0.949999988079071","0.2385882139205933","0.7641235589981079","0.6987499594688416","0.8955073952674866","1","0.04789376258850098","0.017830926924943924","1","0.01031521800905466","500","0.949999988079071","0.21686848998069763","0.4150693714618683","0.7996965050697327","0.46461957693099976"
"MTL0.2s2","finished","-","mrsata","","2022-05-13T21:10:27.000Z","162","","False","1","True","4","True","True","True","50","../embeds/bm/prolific","False","1","0.2","0.0001","50","50","MTL","2","True","2","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.2s2","bm_filtered_d50_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","50","../embeds/bm/prolific","false","1","0.2","0.0001","50","50","MTL","2","true","None","2","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.2s2","bm_filtered_d50_e50","3","0.975","0.875","0.3274451494216919","0.7455000281333923","0.6974999904632568","0.8500137329101562","1","0.04371722787618637","0.016380198299884796","1","0.009545940905809402","500","0.875","0.2770889103412628","0.4439891874790192","0.8088012337684631","0.48571425676345825"
"MTL0.2s1","finished","-","mrsata","","2022-05-13T21:07:32.000Z","168","","False","1","True","4","True","True","True","50","../embeds/bm/prolific","False","1","0.2","0.0001","50","50","MTL","2","True","1","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.2s1","bm_filtered_d50_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","50","../embeds/bm/prolific","false","1","0.2","0.0001","50","50","MTL","2","true","None","1","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.2s1","bm_filtered_d50_e50","35","0.95","0.949999988079071","0.2534763813018799","0.6817554831504822","0.7087500095367432","0.7888252139091492","1","0.04752858728170395","0.01914249360561371","0.9950000047683716","0.012045969255268574","500","0.949999988079071","0.24169330298900604","0.4394824206829071","0.8042488694190979","0.48892971873283386"
"MTL0.2s0","finished","-","mrsata","","2022-05-13T21:04:37.000Z","168","","False","1","True","4","True","True","True","50","../embeds/bm/prolific","False","1","0.2","0.0001","50","50","MTL","2","True","0","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.2s0","bm_filtered_d50_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","50","../embeds/bm/prolific","false","1","0.2","0.0001","50","50","MTL","2","true","None","0","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_3","online","MTL0.2s0","bm_filtered_d50_e50","27","0.925","0.925000011920929","0.30242931842803955","0.7391462326049805","0.6912499666213989","0.8483254909515381","1","0.05405310168862343","0.012743279337882996","1","0.002415823983028531","500","0.949999988079071","0.27444297075271606","0.4222377836704254","0.8072837591171265","0.45918646454811096"
