"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_content.aug","_content.check_val_every_n_epoch","_content.checkpoint_callback","_content.dataloader_num_workers","_content.deterministic","_content.do_test","_content.do_train","_content.embed_dim","_content.embeds_output_dir","_content.enable_progress_bar","_content.gpus","_content.lamda","_content.learning_rate","_content.log_every_n_steps","_content.max_epochs","_content.model","_content.num_class","_content.pretrained","_content.seed","_content.syn","_content.test_ckpt_path","_content.test_dir","_content.test_triplets","_content.train_batch_size","_content.train_dir","_content.train_triplets","_content.transform","_content.triplet_batch_size","_content.valid_dir","_content.valid_triplets","_content.wandb_entity","_content.wandb_group","_content.wandb_mode","_content.wandb_name","_content.wandb_project","_metadata","aug","check_val_every_n_epoch","checkpoint_callback","dataloader_num_workers","deterministic","do_test","do_train","embed_dim","embeds_output_dir","enable_progress_bar","gpus","lamda","learning_rate","log_every_n_steps","max_epochs","model","num_class","pretrained","profiler","seed","syn","test_ckpt_path","test_dir","test_triplets","train_batch_size","train_dir","train_triplets","transform","triplet_batch_size","valid_dir","valid_triplets","wandb_entity","wandb_group","wandb_mode","wandb_name","wandb_project","epoch","test_1nn_acc","test_clf_acc","test_clf_loss","test_total_loss","test_triplet_acc","test_triplet_loss","train_clf_acc","train_clf_loss","train_total_loss","train_triplet_acc","train_triplet_loss","trainer/global_step","valid_1nn_acc","valid_clf_acc","valid_clf_loss","valid_total_loss","valid_triplet_acc","valid_triplet_loss"
"MTL0.8s4","finished","-","mrsata","","2022-05-13T21:09:36.000Z","163","","False","1","True","4","True","True","True","512","../embeds/bm/prolific","False","1","0.8","0.0001","50","50","MTL","2","True","4","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.8s4","bm_filtered_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","512","../embeds/bm/prolific","false","1","0.8","0.0001","50","50","MTL","2","true","None","4","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.8s4","bm_filtered_d512_e50","32","0.95","0.949999988079071","0.09071210771799088","0.28138723969459534","0.7087500095367432","1.0440877676010132","1","0.0007421759655699134","0.0006682780804112554","1","0.0003726863651536405","500","","0.949999988079071","0.10546700656414032","0.18507421016693115","0.8163884878158569","0.5035030245780945"
"MTL0.8s3","finished","-","mrsata","","2022-05-13T21:06:37.000Z","172","","False","1","True","4","True","True","True","512","../embeds/bm/prolific","False","1","0.8","0.0001","50","50","MTL","2","True","3","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.8s3","bm_filtered_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","512","../embeds/bm/prolific","false","1","0.8","0.0001","50","50","MTL","2","true","None","3","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.8s3","bm_filtered_d512_e50","18","0.925","0.925000011920929","0.13209548592567444","0.2864982783794403","0.7099999785423279","0.9041094183921814","1","0.001071624574251473","0.004470141604542732","0.9950000047683716","0.018064208328723907","500","","0.925000011920929","0.1314157098531723","0.21418380737304688","0.7905917763710022","0.5452561974525452"
"MTL0.8s2","finished","-","mrsata","","2022-05-13T21:03:39.000Z","171","","False","1","True","4","True","True","True","512","../embeds/bm/prolific","False","1","0.8","0.0001","50","50","MTL","2","True","2","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.8s2","bm_filtered_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","512","../embeds/bm/prolific","false","1","0.8","0.0001","50","50","MTL","2","true","None","2","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.8s2","bm_filtered_d512_e50","15","0.925","0.949999988079071","0.10578956454992294","0.27669185400009155","0.6962499618530273","0.9603010416030884","1","0.0006099226302467287","0.0020119191613048315","0.9950000047683716","0.007619905285537243","500","","0.949999988079071","0.11635643243789671","0.19839397072792053","0.7860394716262817","0.5265440940856934"
"MTL0.8s1","finished","-","mrsata","","2022-05-13T21:00:37.000Z","175","","False","1","True","4","True","True","True","512","../embeds/bm/prolific","False","1","0.8","0.0001","50","50","MTL","2","True","1","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.8s1","bm_filtered_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","512","../embeds/bm/prolific","false","1","0.8","0.0001","50","50","MTL","2","true","None","1","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.8s1","bm_filtered_d512_e50","31","0.925","0.949999988079071","0.1509222537279129","0.31608784198760986","0.70374995470047","0.9767502546310424","1","0.0008103643194772303","0.0013848637463524938","1","0.0036828613374382257","500","","0.975000023841858","0.09802605211734772","0.17821291089057922","0.810318648815155","0.49896031618118286"
"MTL0.8s0","finished","-","mrsata","","2022-05-13T20:57:45.000Z","165","","False","1","True","4","True","True","True","512","../embeds/bm/prolific","False","1","0.8","0.0001","50","50","MTL","2","True","0","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.8s0","bm_filtered_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","512","../embeds/bm/prolific","false","1","0.8","0.0001","50","50","MTL","2","true","None","0","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.8s0","bm_filtered_d512_e50","14","0.95","0.925000011920929","0.11820822954177856","0.27853214740753174","0.71875","0.9198276996612548","1","0.0008928751922212541","0.002178932074457407","1","0.007323159836232662","500","","0.925000011920929","0.20756420493125916","0.2757367491722107","0.7996965050697327","0.5484269261360168"
"MTL0.2s4","finished","-","mrsata","","2022-05-13T20:54:53.000Z","165","","False","1","True","4","True","True","True","512","../embeds/bm/prolific","False","1","0.2","0.0001","50","50","MTL","2","True","4","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.2s4","bm_filtered_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","512","../embeds/bm/prolific","false","1","0.2","0.0001","50","50","MTL","2","true","None","4","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.2s4","bm_filtered_d512_e50","16","0.925","0.949999988079071","0.13984273374080658","0.770911693572998","0.7174999713897705","0.9286789298057556","1","0.0029470245353877544","0.0005894048954360187","1","0","500","","0.949999988079071","0.13399045169353485","0.5214530229568481","0.7860394716262817","0.6183186769485474"
"MTL0.2s3","finished","-","mrsata","","2022-05-13T20:52:02.000Z","164","","False","1","True","4","True","True","True","512","../embeds/bm/prolific","False","1","0.2","0.0001","50","50","MTL","2","True","3","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.2s3","bm_filtered_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","512","../embeds/bm/prolific","false","1","0.2","0.0001","50","50","MTL","2","true","None","3","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.2s3","bm_filtered_d512_e50","8","0.925","0.925000011920929","0.17986562848091123","0.6491482257843018","0.737500011920929","0.76646888256073","1","0.004063520114868879","0.001168363494798541","1","0.0004445743397809565","500","","0.949999988079071","0.1424814015626907","0.4242045283317566","0.8194233775138855","0.49463528394699097"
"MTL0.2s2","finished","-","mrsata","","2022-05-13T20:49:10.000Z","165","","False","1","True","4","True","True","True","512","../embeds/bm/prolific","False","1","0.2","0.0001","50","50","MTL","2","True","2","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.2s2","bm_filtered_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","512","../embeds/bm/prolific","false","1","0.2","0.0001","50","50","MTL","2","true","None","2","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.2s2","bm_filtered_d512_e50","10","0.95","0.949999988079071","0.1706327497959137","0.7610080242156982","0.6974999904632568","0.9086017608642578","1","0.002617130288854242","0.0050081294029951096","0.9950000047683716","0.0056058787740767","500","","0.949999988079071","0.14005234837532043","0.4960647225379944","0.8012139797210693","0.5850678086280823"
"MTL0.2s1","finished","-","mrsata","","2022-05-13T20:46:31.000Z","152","","False","1","True","4","True","True","True","512","../embeds/bm/prolific","False","1","0.2","0.0001","50","50","MTL","2","True","1","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.2s1","bm_filtered_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","512","../embeds/bm/prolific","false","1","0.2","0.0001","50","50","MTL","2","true","None","1","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.2s1","bm_filtered_d512_e50","37","0.925","0.949999988079071","0.13717350363731384","0.7203869819641113","0.7174999713897705","0.8661903142929077","1","0.00286591867916286","0.005465357564389706","1","0.006115217227488756","500","","0.975000023841858","0.1307828426361084","0.5013481378555298","0.8027313947677612","0.5939894318580627"
"MTL0.2s0","finished","-","mrsata","","2022-05-13T20:43:42.000Z","162","","False","1","True","4","True","True","True","512","../embeds/bm/prolific","False","1","0.2","0.0001","50","50","MTL","2","True","0","False","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.2s0","bm_filtered_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","1","true","4","true","true","true","512","../embeds/bm/prolific","false","1","0.2","0.0001","50","50","MTL","2","true","None","0","false","best","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets_filtered.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets_filtered.pkl","ai-driven-tutorial","pre_no_aug_2","online","MTL0.2s0","bm_filtered_d512_e50","20","0.9","0.925000011920929","0.1461557149887085","0.7465194463729858","0.7099999785423279","0.8966103792190552","1","0.003649745834991336","0.004262610804289579","1","0.0044158268719911575","500","","0.8999999761581421","0.2665700614452362","0.5527798533439636","0.7936267256736755","0.6243323087692261"
