"Name","test_clf_acc","test_1nn_acc","test_triplet_acc","State","Notes","User","Tags","Created","Runtime","Sweep","_content.aug","_content.dataloader_num_workers","_content.do_test","_content.do_train","_content.embed_dim","_content.embeds_output_dir","_content.gpus","_content.lamda","_content.learning_rate","_content.max_epochs","_content.model","_content.num_class","_content.pretrained","_content.seed","_content.syn","_content.test_dir","_content.test_triplets","_content.train_batch_size","_content.train_dir","_content.train_triplets","_content.transform","_content.triplet_batch_size","_content.valid_dir","_content.valid_triplets","_content.wandb_entity","_content.wandb_group","_content.wandb_mode","_content.wandb_name","_content.wandb_project","_metadata","aug","dataloader_num_workers","do_test","do_train","embed_dim","embeds_output_dir","gpus","lamda","learning_rate","max_epochs","model","num_class","pretrained","profiler","seed","syn","test_dir","test_triplets","train_batch_size","train_dir","train_triplets","transform","triplet_batch_size","valid_dir","valid_triplets","wandb_entity","wandb_group","wandb_mode","wandb_name","wandb_project","epoch","test_clf_loss","test_total_loss","test_triplet_loss","train_clf_acc","train_clf_loss","train_total_loss","train_triplet_acc","train_triplet_loss","trainer/global_step","valid_1nn_acc","valid_clf_acc","valid_clf_loss","valid_total_loss","valid_triplet_acc","valid_triplet_loss"
"MTL0.8s4","0.949999988079071","0.925","0.7400000095367432","finished","-","mrsata","","2022-05-11T23:51:17.000Z","204","","False","4","True","True","512","../embeds/bm/prolific","1","0.8","1e-05","50","MTL","2","True","4","False","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.8s4","bm_prolific_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","4","true","true","512","../embeds/bm/prolific","1","0.8","0.00001","50","MTL","2","true","None","4","false","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.8s4","bm_prolific_d512_e50","48","0.19346891343593595","0.27858641743659973","0.6190564036369324","1","0.011110492050647736","0.013419818133115768","1","0.0226571224629879","600","0.925","0.949999988079071","0.20113706588745117","0.2850528359413147","0.7324999570846558","0.620715856552124"
"MTL0.8s3","0.925000011920929","0.925","0.7162500023841858","finished","-","mrsata","","2022-05-11T23:46:53.000Z","251","","False","4","True","True","512","../embeds/bm/prolific","1","0.8","1e-05","50","MTL","2","True","3","False","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.8s3","bm_prolific_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","4","true","true","512","../embeds/bm/prolific","1","0.8","0.00001","50","MTL","2","true","None","3","false","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.8s3","bm_prolific_d512_e50","48","0.24187235534191132","0.319419264793396","0.6296068429946899","1","0.01669190265238285","0.020200641825795177","0.98499995470047","0.034235596656799316","600","0.95","0.875","0.22540459036827087","0.30299657583236694","0.7462499737739563","0.613364577293396"
"MTL0.8s2","0.925000011920929","0.875","0.7124999761581421","finished","-","mrsata","","2022-05-11T23:41:47.000Z","293","","False","4","True","True","512","../embeds/bm/prolific","1","0.8","1e-05","50","MTL","2","True","2","False","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.8s2","bm_prolific_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","4","true","true","512","../embeds/bm/prolific","1","0.8","0.00001","50","MTL","2","true","None","2","false","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.8s2","bm_prolific_d512_e50","49","0.2529650628566742","0.33883756399154663","0.6823275089263916","1","0.01036293525248766","0.01702878251671791","0.98499995470047","0.04369216412305832","600","0.9","0.975000023841858","0.21590635180473328","0.29974618554115295","0.7174999713897705","0.6351054906845093"
"MTL0.8s1","0.925000011920929","0.95","0.7137500047683716","finished","-","mrsata","","2022-05-11T23:36:54.000Z","281","","False","4","True","True","512","../embeds/bm/prolific","1","0.8","1e-05","50","MTL","2","True","1","False","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.8s1","bm_prolific_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","4","true","true","512","../embeds/bm/prolific","1","0.8","0.00001","50","MTL","2","true","None","1","false","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.8s1","bm_prolific_d512_e50","48","0.24151000380516052","0.3209325075149536","0.6386224627494812","1","0.01361763384193182","0.01906525157392025","0.9899999499320984","0.04085572063922882","600","0.975","0.949999988079071","0.2620289921760559","0.33544784784317017","0.7274999618530273","0.6291232705116272"
"MTL0.8s0","0.949999988079071","0.9","0.7362499833106995","finished","-","mrsata","","2022-05-11T23:32:14.000Z","266","","False","4","True","True","512","../embeds/bm/prolific","1","0.8","1e-05","50","MTL","2","True","0","False","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.8s0","bm_prolific_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","4","true","true","512","../embeds/bm/prolific","1","0.8","0.00001","50","MTL","2","true","None","0","false","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.8s0","bm_prolific_d512_e50","45","0.2184670716524124","0.3014375567436218","0.6333194375038147","1","0.013689630664885044","0.02168346382677555","0.9799999594688416","0.05365879833698273","600","0.9","0.9000000357627869","0.2678937315940857","0.34338289499282837","0.7174999713897705","0.6453394889831543"
"MTL0.2s4","0.975000023841858","0.925","0.71875","finished","-","mrsata","","2022-05-11T23:27:54.000Z","245","","False","4","True","True","512","../embeds/bm/prolific","1","0.2","1e-05","50","MTL","2","True","4","False","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.2s4","bm_prolific_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","4","true","true","512","../embeds/bm/prolific","1","0.2","0.00001","50","MTL","2","true","None","4","false","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.2s4","bm_prolific_d512_e50","41","0.2727891802787781","0.5699529051780701","0.6442437767982483","1","0.054812151938676834","0.014971688389778135","1","0.005011572502553463","600","0.925","0.925000011920929","0.25655248761177063","0.5640033483505249","0.71875","0.6408661007881165"
"MTL0.2s3","0.925000011920929","0.925","0.7124999761581421","finished","-","mrsata","","2022-05-11T23:23:25.000Z","254","","False","4","True","True","512","../embeds/bm/prolific","1","0.2","1e-05","50","MTL","2","True","3","False","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.2s3","bm_prolific_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","4","true","true","512","../embeds/bm/prolific","1","0.2","0.00001","50","MTL","2","true","None","3","false","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.2s3","bm_prolific_d512_e50","49","0.2857162654399872","0.562613308429718","0.6318375468254089","1","0.06780237704515457","0.02371508628129959","1","0.012693261727690697","600","0.975","0.875","0.2786004841327667","0.5591195821762085","0.7274999618530273","0.6292493343353271"
"MTL0.2s2","0.925000011920929","0.9","0.6962499618530273","finished","-","mrsata","","2022-05-11T23:18:50.000Z","258","","False","4","True","True","512","../embeds/bm/prolific","1","0.2","1e-05","50","MTL","2","True","2","False","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.2s2","bm_prolific_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","4","true","true","512","../embeds/bm/prolific","1","0.2","0.00001","50","MTL","2","true","None","2","false","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.2s2","bm_prolific_d512_e50","46","0.30421432852745056","0.6358628869056702","0.7187750339508057","1","0.04815409332513809","0.025415409356355667","0.9899999499320984","0.019730739295482635","600","0.925","0.949999988079071","0.26896417140960693","0.575558066368103","0.7274999618530273","0.652206540107727"
"MTL0.2s1","0.9000000357627869","0.875","0.7224999666213989","finished","-","mrsata","","2022-05-11T23:13:55.000Z","287","","False","4","True","True","512","../embeds/bm/prolific","1","0.2","1e-05","50","MTL","2","True","1","False","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.2s1","bm_prolific_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","4","true","true","512","../embeds/bm/prolific","1","0.2","0.00001","50","MTL","2","true","None","1","false","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.2s1","bm_prolific_d512_e50","44","0.31678804755210876","0.5769851207733154","0.6420344114303589","1","0.06410272419452667","0.0232266578823328","0.9950000047683716","0.013007640838623049","600","0.975","0.9000000357627869","0.312696635723114","0.5705114603042603","0.7324999570846558","0.6349651217460632"
"MTL0.2s0","0.949999988079071","0.875","0.7162500023841858","finished","-","mrsata","","2022-05-11T23:09:49.000Z","236","","False","4","True","True","512","../embeds/bm/prolific","1","0.2","1e-05","50","MTL","2","True","0","False","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.2s0","bm_prolific_d512_e50","ContainerMetadata(ref_type=typing.Any, object_type=None, optional=True, key=None, flags={}, flags_root=False, resolver_cache=defaultdict(<class 'dict'>, {}), key_type=typing.Any, element_type=typing.Any)","false","4","true","true","512","../embeds/bm/prolific","1","0.2","0.00001","50","MTL","2","true","None","0","false","../datasets/bm/test","../datasets/bm_prolific_triplets/test_triplets.pkl","30","../datasets/bm/train","../datasets/bm_prolific_triplets/train_triplets.pkl","bm","200","../datasets/bm/valid","../datasets/bm_prolific_triplets/valid_triplets.pkl","ai-driven-tutorial","pre_no_aug_lr_1e-5_0","online","MTL0.2s0","bm_prolific_d512_e50","43","0.27650007605552673","0.5863001942634583","0.6637502312660217","1","0.061624955385923386","0.026390735059976574","0.9950000047683716","0.017582178115844727","600","0.925","0.9000000357627869","0.3257480263710022","0.5870070457458496","0.7099999785423279","0.6523217558860779"
