,name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
0,MTL0.2,2,"[0, 1, 0, 0]",True,512,0.2,align=0.85,wv_3d_blob_aligns,0.9399999976158142,1.0,0.90375,0.8370833333333333,0.9795731902122498,1.0,1.0,0.9399999976158142,0.85
1,MTL0.2,2,"[1, 1, 0, 0]",True,512,0.2,align=1,wv_3d_blob_aligns,0.9975000023841858,1.0,0.8858333333333333,0.92375,0.9809460043907166,1.0,1.0,0.9975000023841858,1.0
2,MTL0.2,2,"[100, 1, 0, 0]",True,512,0.2,align=0.99,wv_3d_blob_aligns,0.9900000095367432,1.0,0.8116666666666666,0.9741666666666666,0.9817359447479248,1.0,0.995,0.9950000047683716,0.99
3,MTL0.5,2,"[100, 1, 0, 0]",True,512,0.5,align=0.99,wv_3d_blob_aligns,0.9900000095367432,0.9975000023841858,0.8079166666666667,0.9741666666666666,0.9822386503219604,0.9975000023841858,0.995,0.9925000071525574,0.99
4,MTL0.8,2,"[100, 1, 0, 0]",True,512,0.8,align=0.99,wv_3d_blob_aligns,0.9900000095367432,0.9950000047683716,0.7633333333333333,0.97375,0.9772118330001832,0.9950000047683716,1.0,0.9900000095367432,0.99
5,MTL0.8,2,"[1, 0, 0, 0]",True,512,0.8,align=0.985,wv_3d_blob_aligns,0.9900000095367432,1.0,0.7895833333333333,0.8920833333333333,0.9810466766357422,1.0,1.0,0.9900000095367432,0.985
6,MTL0.8,2,"[1, 1, 0, 0]",True,512,0.8,align=1,wv_3d_blob_aligns,0.9950000047683716,1.0,0.8775000000000001,0.9195833333333332,0.9735918045043944,1.0,1.0,0.9950000047683716,1.0
7,MTL0.5,2,"[1, 1, 0, 0]",True,512,0.5,align=1,wv_3d_blob_aligns,0.9975000023841858,0.9975000023841858,0.90375,0.9191666666666666,0.9786060452461244,0.9975000023841858,1.0,0.9975000023841858,1.0
8,MTL0.2,2,"[1, 0, 0, 0]",True,512,0.2,align=0.985,wv_3d_blob_aligns,0.9850000143051147,0.9975000023841858,0.8541666666666666,0.97375,0.9835625886917114,0.9975000023841858,0.9925,0.987500011920929,0.985
9,MTL0.5,2,"[1, 0, 0, 0]",True,512,0.5,align=0.985,wv_3d_blob_aligns,0.9850000143051147,0.987500011920929,0.8337499999999999,0.97375,0.9823884963989258,0.987500011920929,1.0,0.9850000143051147,0.985
10,MTL0.8,2,"[1, 100000, 0, 0]",True,512,0.8,align=0.96,wv_3d_blob_aligns,0.887499988079071,1.0,0.8654166666666666,0.78875,0.9701111912727356,1.0,1.0,0.887499988079071,0.96
11,MTL0.5,2,"[1, 100000, 0, 0]",True,512,0.5,align=0.96,wv_3d_blob_aligns,0.9225000143051147,1.0,0.8766666666666666,0.6983333333333334,0.9732094407081604,1.0,1.0,0.9225000143051147,0.96
12,MTL0.8,2,"[0, 1, 0, 0]",True,512,0.8,align=0.85,wv_3d_blob_aligns,0.8550000190734863,1.0,0.8787500000000001,0.9216666666666667,0.9766550660133362,1.0,1.0,0.8550000190734863,0.85
13,MTL0.2,2,"[1, 100000, 0, 0]",True,512,0.2,align=0.96,wv_3d_blob_aligns,0.9300000071525574,1.0,0.91625,0.87,0.9845088720321656,1.0,1.0,0.9300000071525574,0.96
14,MTL0.5,2,"[0, 1, 0, 0]",True,512,0.5,align=0.85,wv_3d_blob_aligns,0.8799999952316284,1.0,0.8779166666666667,0.8395833333333332,0.9777494072914124,1.0,1.0,0.8799999952316284,0.85
15,TN,2,"[1, 1, 0, 0]",True,512,0.0,align=1,wv_3d_blob_aligns,0.9975000023841858,0.5325000286102295,0.48125,0.9325,0.97426038980484,0.5325000286102295,0.9975,0.5450000166893005,1.0
16,TN,2,"[100, 1, 0, 0]",True,512,0.0,align=0.99,wv_3d_blob_aligns,0.9900000095367432,0.5199999809265137,0.4329166666666666,0.9991666666666666,0.9793900847434998,0.5199999809265137,0.995,0.5224999785423279,0.99
17,TN,2,"[1, 0, 0, 0]",True,512,0.0,align=0.985,wv_3d_blob_aligns,0.9850000143051147,0.9975000023841858,0.8233333333333334,0.9741666666666666,0.9808789491653442,0.9975000023841858,1.0,0.9850000143051147,0.985
18,TN,2,"[1, 100000, 0, 0]",True,512,0.0,align=0.96,wv_3d_blob_aligns,0.912500023841858,0.9024999737739564,0.8408333333333333,0.8333333333333334,0.9819573760032654,0.9024999737739564,0.9975,0.8174999952316284,0.96
19,TN,2,"[0, 1, 0, 0]",True,512,0.0,align=0.85,wv_3d_blob_aligns,0.8324999809265137,0.8675000071525574,0.8775000000000001,0.9508333333333332,0.9793907999992372,0.8675000071525574,0.9975,0.7250000238418579,0.85
20,MTL0.2,1,"[0, 1, 0, 0]",True,512,0.2,align=0.85,wv_3d_blob_aligns,0.8824999928474426,1.0,0.9075,0.8429166666666666,0.982673704624176,1.0,1.0,0.8824999928474426,0.85
21,MTL0.2,1,"[100, 1, 0, 0]",True,512,0.2,align=0.99,wv_3d_blob_aligns,0.9900000095367432,1.0,0.8254166666666666,0.9741666666666666,0.9837467074394226,1.0,0.9925,0.9975000023841858,0.99
22,MTL0.8,1,"[100, 1, 0, 0]",True,512,0.8,align=0.99,wv_3d_blob_aligns,0.9900000095367432,1.0,0.7608333333333333,0.9741666666666666,0.9772118330001832,1.0,1.0,0.9900000095367432,0.99
23,MTL0.2,1,"[1, 1, 0, 0]",True,512,0.2,align=1,wv_3d_blob_aligns,0.9975000023841858,1.0,0.90875,0.9358333333333334,0.9817817211151124,1.0,1.0,0.9975000023841858,1.0
24,MTL0.8,1,"[1, 1, 0, 0]",True,512,0.8,align=1,wv_3d_blob_aligns,0.9975000023841858,1.0,0.8762500000000001,0.92625,0.9755975008010864,1.0,1.0,0.9975000023841858,1.0
25,MTL0.5,1,"[100, 1, 0, 0]",True,512,0.5,align=0.99,wv_3d_blob_aligns,0.987500011920929,1.0,0.8029166666666668,0.9741666666666666,0.9798927903175354,1.0,1.0,0.987500011920929,0.99
26,MTL0.8,1,"[1, 0, 0, 0]",True,512,0.8,align=0.985,wv_3d_blob_aligns,0.9850000143051147,1.0,0.8229166666666666,0.9741666666666666,0.9832271337509156,1.0,0.995,0.9900000095367432,0.985
27,MTL0.5,1,"[1, 1, 0, 0]",True,512,0.5,align=1,wv_3d_blob_aligns,0.9975000023841858,0.9925000071525574,0.8858333333333333,0.9220833333333336,0.9755975008010864,0.9925000071525574,1.0,0.9925000071525574,1.0
28,MTL0.5,1,"[1, 0, 0, 0]",True,512,0.5,align=0.985,wv_3d_blob_aligns,0.9850000143051147,1.0,0.8391666666666667,0.9741666666666666,0.981382131576538,1.0,1.0,0.9850000143051147,0.985
29,MTL0.2,1,"[1, 0, 0, 0]",True,512,0.2,align=0.985,wv_3d_blob_aligns,0.9850000143051147,1.0,0.8370833333333333,0.9966666666666668,0.98205304145813,1.0,0.9975,0.9850000143051147,0.985
30,MTL0.5,1,"[1, 100000, 0, 0]",True,512,0.5,align=0.96,wv_3d_blob_aligns,0.9275000095367432,1.0,0.9008333333333334,0.8220833333333334,0.9748497009277344,1.0,1.0,0.9275000095367432,0.96
