,wandb_group,seed,weights,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc,align,name,model,filtered,embed_dim,lamda,wandb_project,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc
0,align=0.98,0,"[1, 128, 0, 0]",0.8969849246231156,0.8969849246231156,0.957286432160804,0.98,RESN,RESN,,,,,,,,,
1,align=0.98,1,"[1, 128, 0, 0]",0.9346733668341708,0.9371859296482412,0.9020100502512562,0.98,RESN,RESN,,,,,,,,,
2,align=0.98,2,"[1, 128, 0, 0]",0.9371859296482412,0.9371859296482412,0.9623115577889448,0.98,RESN,RESN,,,,,,,,,
3,align=0.67,0,"[1, 0, 0, 0]",0.942211055276382,0.942211055276382,0.9321608040201004,0.67,RESN,RESN,,,,,,,,,
4,align=0.67,1,"[1, 0, 0, 0]",0.8869346733668342,0.8894472361809045,0.9673366834170856,0.67,RESN,RESN,,,,,,,,,
5,align=0.67,2,"[1, 0, 0, 0]",0.8844221105527639,0.8844221105527639,0.9170854271356784,0.67,RESN,RESN,,,,,,,,,
6,align=0.96,0,"[1, 2048, 0, 0]",0.8492462311557789,0.8492462311557789,0.9472361809045228,0.96,RESN,RESN,,,,,,,,,
7,align=0.96,1,"[1, 2048, 0, 0]",0.9296482412060302,0.9321608040201004,0.8618090452261307,0.96,RESN,RESN,,,,,,,,,
8,align=0.96,2,"[1, 2048, 0, 0]",0.9246231155778896,0.9246231155778896,0.9346733668341708,0.96,RESN,RESN,,,,,,,,,
9,align=0.97,0,"[128, 1, 0, 0]",0.9447236180904522,0.9447236180904522,0.9597989949748744,0.97,RESN,RESN,,,,,,,,,
10,align=0.97,1,"[128, 1, 0, 0]",0.9246231155778896,0.9271356783919598,0.9748743718592964,0.97,RESN,RESN,,,,,,,,,
11,align=0.97,2,"[128, 1, 0, 0]",0.9246231155778896,0.9246231155778896,0.9522613065326632,0.97,RESN,RESN,,,,,,,,,
12,align=0.95,0,"[2048, 1, 0, 0]",0.942211055276382,0.942211055276382,0.9371859296482412,0.95,RESN,RESN,,,,,,,,,
