,name,model,seed,weights,filtered,embed_dim,lamda,align,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc
0,MTL0.2,MTL,2,"[1, 1, 0, 0]",True,512,0.2,1.0,wv_3d_linear,0.984924614429474,0.982412040233612,0.8484087102177554,0.8953098827470688,0.9725066423416138,0.982412040233612,0.992462311557789,0.979899525642395
1,MTL0.5,MTL,2,"[1, 1, 0, 0]",True,512,0.5,1.0,wv_3d_linear,0.9899497628211976,0.9723618030548096,0.8500837520938024,0.8609715242881072,0.9766780138015748,0.9723618030548096,0.9874371859296482,0.979899525642395
2,MTL0.8,MTL,2,"[1, 1, 0, 0]",True,512,0.8,1.0,wv_3d_linear,0.9899497628211976,0.9899497628211976,0.8513400335008375,0.9225293132328308,0.9764884114265442,0.9899497628211976,0.9899497487437184,0.9899497628211976
3,MTL0.8,MTL,2,"[1, 128, 0, 0]",True,512,0.8,0.98,wv_3d_linear,0.9447236061096193,0.984924614429474,0.8295644891122279,0.9233668341708544,0.9786204099655152,0.984924614429474,0.9824120603015076,0.9447236061096193
4,TN,TN,2,"[1, 1, 0, 0]",True,512,0.0,1.0,wv_3d_linear,0.982412040233612,0.9899497628211976,0.8810720268006701,0.9363484087102176,0.9653014540672302,0.570351779460907,0.9899497487437184,0.982412040233612
5,MTL0.5,MTL,2,"[1, 128, 0, 0]",True,512,0.5,0.98,wv_3d_linear,0.9597989916801452,0.9899497628211976,0.8555276381909547,0.9007537688442212,0.9784187078475952,0.9899497628211976,0.9874371859296482,0.9597989916801452
6,MTL0.2,MTL,2,"[1, 128, 0, 0]",True,512,0.2,0.98,wv_3d_linear,0.9597989916801452,0.984924614429474,0.8689279731993299,0.920854271356784,0.983259379863739,0.984924614429474,0.984924623115578,0.9597989916801452
7,TN,TN,2,"[1, 128, 0, 0]",True,512,0.0,0.98,wv_3d_linear,0.9246231317520142,0.982412040233612,0.8685092127303182,0.9564489112227806,0.9818475246429444,0.32914572954177856,0.9824120603015076,0.9246231317520142
8,MTL0.2,MTL,1,"[1, 1, 0, 0]",True,512,0.2,1.0,wv_3d_linear,0.9874371886253356,0.9924623370170592,0.8714405360134002,0.9275544388609714,0.9662495255470276,0.9924623370170592,0.992462311557789,0.9874371886253356
9,MTL0.5,MTL,1,"[1, 1, 0, 0]",True,512,0.5,1.0,wv_3d_linear,0.9899497628211976,0.984924614429474,0.8672529313232831,0.9015912897822446,0.9719377756118774,0.984924614429474,0.992462311557789,0.984924614429474
10,MTL0.8,MTL,1,"[1, 1, 0, 0]",True,512,0.8,1.0,wv_3d_linear,0.9899497628211976,0.984924614429474,0.833752093802345,0.8999162479061976,0.9723170399665833,0.984924614429474,0.9874371859296482,0.9899497628211976
11,TN,TN,1,"[1, 1, 0, 0]",True,512,0.0,1.0,wv_3d_linear,0.9949748516082764,0.9924623370170592,0.8927973199329983,0.9556113902847572,0.9738339185714722,0.5050251483917236,0.992462311557789,0.9949748516082764
12,MTL0.8,MTL,1,"[1, 128, 0, 0]",True,512,0.8,0.98,wv_3d_linear,0.9371859431266784,0.9874371886253356,0.8425460636515912,0.9015912897822446,0.975393295288086,0.9874371886253356,0.992462311557789,0.9396985173225404
13,MTL0.5,MTL,1,"[1, 128, 0, 0]",True,512,0.5,0.98,wv_3d_linear,0.9447236061096193,0.9949748516082764,0.8618090452261306,0.920854271356784,0.9772085547447203,0.9949748516082764,0.992462311557789,0.947236180305481
14,MTL0.2,MTL,1,"[1, 128, 0, 0]",True,512,0.2,0.98,wv_3d_linear,0.9623115658760072,0.9924623370170592,0.8685092127303182,0.9652428810720268,0.9768051505088806,0.9924623370170592,0.992462311557789,0.9623115658760072
15,TN,TN,1,"[1, 128, 0, 0]",True,512,0.0,0.98,wv_3d_linear,0.927135705947876,0.982412040233612,0.8706030150753769,0.9610552763819096,0.9784187078475952,0.623115599155426,0.9824120603015076,0.927135705947876
16,TN,TN,0,"[1, 1, 0, 0]",True,512,0.0,1.0,wv_3d_linear,0.9899497628211976,0.9924623370170592,0.8760469011725293,0.9443048576214408,0.9744027256965636,0.5929648280143738,0.992462311557789,0.9899497628211976
17,MTL0.8,MTL,0,"[1, 1, 0, 0]",True,512,0.8,1.0,wv_3d_linear,0.9899497628211976,0.9899497628211976,0.8630653266331659,0.9447236180904522,0.9740235209465028,0.9899497628211976,0.992462311557789,0.9924623370170592
