,name,model,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
0,MTL0.8,MTL,2,"[128, 1, 0, 0]",False,512,0.8,align=0.97_p=0.8,wv_3d_linear_noisy,0.9547738432884216,0.8869346976280212,0.4870184254606365,0.2169179229480737,0.49050000309944153,0.982412040233612,0.9899497487437184,0.9572864174842834,0.97,0.8
1,MTL0.5,MTL,2,"[128, 1, 0, 0]",False,512,0.5,align=0.97_p=0.8,wv_3d_linear_noisy,0.9572864174842834,0.9145728349685668,0.49371859296482407,0.2303182579564489,0.515500009059906,0.984924614429474,0.9748743718592964,0.9572864174842834,0.97,0.8
2,MTL0.2,MTL,2,"[128, 1, 0, 0]",False,512,0.2,align=0.97_p=0.8,wv_3d_linear_noisy,0.8994975090026855,0.8417085409164429,0.41415410385259627,0.301926298157454,0.5245000123977661,0.9547738432884216,0.9472361809045228,0.8969849348068237,0.97,0.8
3,TN,TN,2,"[128, 1, 0, 0]",False,512,0.0,align=0.97_p=0.8,wv_3d_linear_noisy,0.856783926486969,0.8693467378616333,0.461892797319933,0.4510050251256281,0.5353333353996277,0.4974874258041382,0.8743718592964824,0.856783926486969,0.97,0.8
4,MTL0.8,MTL,2,"[128, 1, 0, 0]",False,512,0.8,align=0.97_p=0.7,wv_3d_linear_noisy,0.9572864174842834,0.9195979833602904,0.5305695142378559,0.27428810720268004,0.476833313703537,0.9874371886253356,0.9874371859296482,0.9572864174842834,0.97,0.7
5,MTL0.5,MTL,2,"[128, 1, 0, 0]",False,512,0.5,align=0.97_p=0.7,wv_3d_linear_noisy,0.9246231317520142,0.8969849348068237,0.4074539363484087,0.23953098827470687,0.4884999990463257,0.984924614429474,0.9798994974874372,0.927135705947876,0.97,0.7
6,MTL0.2,MTL,2,"[128, 1, 0, 0]",False,512,0.2,align=0.97_p=0.7,wv_3d_linear_noisy,0.9195979833602904,0.8542713522911072,0.3484087102177555,0.3999162479061977,0.5056666731834412,0.876884400844574,0.9472361809045228,0.9170854091644288,0.97,0.7
7,MTL0.8,MTL,1,"[128, 1, 0, 0]",False,512,0.8,align=0.97_p=0.8,wv_3d_linear_noisy,0.947236180305481,0.8869346976280212,0.4614740368509213,0.20938023450586263,0.5074999928474426,0.979899525642395,0.9824120603015076,0.947236180305481,0.97,0.8
8,MTL0.8,MTL,2,"[128, 1, 0, 0]",True,512,0.8,align=0.97_p=0.8,wv_3d_linear_noisy,0.909547746181488,0.9195979833602904,0.4757118927973199,0.5276381909547739,0.6836710572242737,0.9874371886253356,0.9949748743718592,0.909547746181488,0.97,0.8
9,TN,TN,2,"[128, 1, 0, 0]",False,512,0.0,align=0.97_p=0.7,wv_3d_linear_noisy,0.9070351719856262,0.8919597864151001,0.4426298157453936,0.3953098827470687,0.5068333148956299,0.4974874258041382,0.9095477386934674,0.9070351719856262,0.97,0.7
10,MTL0.5,MTL,2,"[128, 1, 0, 0]",True,512,0.5,align=0.97_p=0.8,wv_3d_linear_noisy,0.9346733689308168,0.8969849348068237,0.4706867671691792,0.40033500837520936,0.6803337335586548,0.9748743772506714,0.9824120603015076,0.9371859431266784,0.97,0.8
11,MTL0.2,MTL,2,"[128, 1, 0, 0]",True,512,0.2,align=0.97_p=0.8,wv_3d_linear_noisy,0.947236180305481,0.9195979833602904,0.4602177554438861,0.3965661641541039,0.6839094161987305,0.9748743772506714,0.9798994974874372,0.9447236061096193,0.97,0.8
12,MTL0.5,MTL,1,"[128, 1, 0, 0]",False,512,0.5,align=0.97_p=0.8,wv_3d_linear_noisy,0.9422110319137572,0.9145728349685668,0.4807370184254607,0.3350083752093802,0.503166675567627,0.984924614429474,0.9798994974874372,0.9422110319137572,0.97,0.8
13,TN,TN,1,"[128, 1, 0, 0]",False,512,0.0,align=0.97_p=0.8,wv_3d_linear_noisy,0.9145728349685668,0.9145728349685668,0.4974874371859297,0.38902847571189286,0.5354999899864197,0.5025125741958618,0.9321608040201004,0.9145728349685668,0.97,0.8
14,MTL0.2,MTL,1,"[128, 1, 0, 0]",False,512,0.2,align=0.97_p=0.8,wv_3d_linear_noisy,0.909547746181488,0.8693467378616333,0.44681742043551087,0.3383584589614741,0.5335000157356262,0.927135705947876,0.9723618090452262,0.91206032037735,0.97,0.8
15,TN,TN,2,"[128, 1, 0, 0]",True,512,0.0,align=0.97_p=0.8,wv_3d_linear_noisy,0.9070351719856262,0.9396985173225404,0.48450586264656614,0.5908710217755444,0.6791418194770813,0.5050251483917236,0.9824120603015076,0.9070351719856262,0.97,0.8
16,MTL0.8,MTL,2,"[128, 1, 0, 0]",True,512,0.8,align=0.97_p=0.7,wv_3d_linear_noisy,0.9346733689308168,0.9371859431266784,0.4979061976549413,0.5561139028475711,0.6638556718826294,0.9874371886253356,0.9899497487437184,0.9346733689308168,0.97,0.7
17,MTL0.5,MTL,2,"[128, 1, 0, 0]",True,512,0.5,align=0.97_p=0.7,wv_3d_linear_noisy,0.9572864174842834,0.9522613286972046,0.466499162479062,0.28140703517587945,0.6619817018508911,0.984924614429474,0.984924623115578,0.9572864174842834,0.97,0.7
18,TN,TN,2,"[128, 1, 0, 0]",True,512,0.0,align=0.97_p=0.7,wv_3d_linear_noisy,0.979899525642395,0.9371859431266784,0.4652428810720268,0.22152428810720268,0.656125545501709,0.4974874258041382,0.992462311557789,0.979899525642395,0.97,0.7
19,MTL0.8,MTL,1,"[128, 1, 0, 0]",False,512,0.8,align=0.97_p=0.7,wv_3d_linear_noisy,0.909547746181488,0.909547746181488,0.4949748743718594,0.34882747068676717,0.47999998927116394,0.982412040233612,0.9824120603015076,0.909547746181488,0.97,0.7
20,MTL0.5,MTL,2,"[128, 1, 0, 0]",False,512,0.5,align=0.97_p=0.6,wv_3d_linear_noisy,0.9045225977897644,0.9522613286972046,0.5586264656616415,0.4233668341708543,0.4934999942779541,0.982412040233612,0.9798994974874372,0.9020100235939026,0.97,0.6
