,name,model,seed,weights,filtered,embed_dim,lamda,align,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc
0,MTL0.8,MTL,2,"[1, 1, 0, 0]",False,512,0.8,1.0,wv_3d_linear_unfiltered,0.9874371886253356,0.9899497628211976,0.8701842546063651,0.928391959798995,0.9676666855812072,0.9899497628211976,0.984924623115578,0.9899497628211976
1,TN,TN,2,"[1, 1, 0, 0]",False,512,0.0,1.0,wv_3d_linear_unfiltered,0.9974874258041382,0.984924614429474,0.8873534338358459,0.960217755443886,0.9726666808128356,0.2939698398113251,0.984924623115578,0.9974874258041382
2,MTL0.5,MTL,2,"[1, 1, 0, 0]",False,512,0.5,1.0,wv_3d_linear_unfiltered,0.9874371886253356,0.9899497628211976,0.8756281407035176,0.9279731993299832,0.9698333144187928,0.9899497628211976,0.9899497487437184,0.984924614429474
3,MTL0.2,MTL,2,"[1, 1, 0, 0]",False,512,0.2,1.0,wv_3d_linear_unfiltered,0.9924623370170592,0.9874371886253356,0.8969849246231156,0.9593802345058626,0.9771666526794434,0.9874371886253356,0.9949748743718592,0.9874371886253356
4,TN,TN,2,"[1, 128, 0, 0]",False,512,0.0,0.98,wv_3d_linear_unfiltered,0.9346733689308168,0.9623115658760072,0.8957286432160805,0.969430485762144,0.975666642189026,0.30150753259658813,0.9623115577889448,0.9346733689308168
5,MTL0.8,MTL,2,"[1, 128, 0, 0]",False,512,0.8,0.98,wv_3d_linear_unfiltered,0.9497487545013428,0.9874371886253356,0.8634840871021776,0.9560301507537688,0.9664999842643738,0.9874371886253356,0.9874371859296482,0.9497487545013428
6,MTL0.5,MTL,2,"[1, 128, 0, 0]",False,512,0.5,0.98,wv_3d_linear_unfiltered,0.9572864174842834,0.979899525642395,0.8756281407035176,0.9564489112227806,0.971833348274231,0.979899525642395,0.9824120603015076,0.9572864174842834
7,MTL0.2,MTL,2,"[1, 128, 0, 0]",False,512,0.2,0.98,wv_3d_linear_unfiltered,0.9648241400718688,0.9773869514465332,0.8873534338358459,0.9673366834170856,0.9796666502952576,0.9773869514465332,0.9824120603015076,0.9547738432884216
8,TN,TN,1,"[1, 1, 0, 0]",False,512,0.0,1.0,wv_3d_linear_unfiltered,0.9899497628211976,0.9899497628211976,0.8932160804020102,0.9296482412060302,0.9713333249092102,0.5025125741958618,0.9899497487437184,0.9899497628211976
9,MTL0.8,MTL,2,"[128, 1, 0, 0]",False,512,0.8,0.97,wv_3d_linear_unfiltered,0.9623115658760072,0.967336654663086,0.8228643216080402,0.9535175879396984,0.968666672706604,0.967336654663086,0.9824120603015076,0.9623115658760072
10,MTL0.8,MTL,1,"[1, 1, 0, 0]",False,512,0.8,1.0,wv_3d_linear_unfiltered,0.9874371886253356,0.979899525642395,0.8693467336683417,0.9262981574539364,0.962000012397766,0.979899525642395,0.984924623115578,0.982412040233612
11,MTL0.5,MTL,1,"[1, 1, 0, 0]",False,512,0.5,1.0,wv_3d_linear_unfiltered,0.984924614429474,0.979899525642395,0.8760469011725295,0.9380234505862646,0.9699999690055848,0.979899525642395,0.9874371859296482,0.982412040233612
12,MTL0.5,MTL,2,"[128, 1, 0, 0]",False,512,0.5,0.97,wv_3d_linear_unfiltered,0.9547738432884216,0.9899497628211976,0.8463149078726969,0.9530988274706867,0.9653333425521852,0.9899497628211976,0.992462311557789,0.9547738432884216
13,TN,TN,2,"[128, 1, 0, 0]",False,512,0.0,0.97,wv_3d_linear_unfiltered,0.947236180305481,0.9648241400718688,0.8773031825795644,0.9773869346733668,0.9791666269302368,0.7613065242767334,0.964824120603015,0.947236180305481
14,MTL0.2,MTL,1,"[1, 1, 0, 0]",False,512,0.2,1.0,wv_3d_linear_unfiltered,0.9924623370170592,0.9899497628211976,0.8835845896147404,0.9690117252931324,0.97516667842865,0.9899497628211976,0.9899497487437184,0.9924623370170592
15,TN,TN,1,"[1, 128, 0, 0]",False,512,0.0,0.98,wv_3d_linear_unfiltered,0.9422110319137572,0.9547738432884216,0.887353433835846,0.9736180904522612,0.9853333234786988,0.7085427045822144,0.9547738693467336,0.9422110319137572
16,MTL0.8,MTL,1,"[1, 128, 0, 0]",False,512,0.8,0.98,wv_3d_linear_unfiltered,0.9447236061096193,0.9949748516082764,0.8559463986599666,0.9514237855946398,0.965833306312561,0.9949748516082764,0.9949748743718592,0.9447236061096193
17,TN,TN,0,"[1, 1, 0, 0]",False,512,0.0,1.0,wv_3d_linear_unfiltered,0.9949748516082764,0.9924623370170592,0.9049413735343383,0.9514237855946398,0.968999981880188,0.37185928225517273,0.992462311557789,0.9949748516082764
18,MTL0.5,MTL,1,"[1, 128, 0, 0]",False,512,0.5,0.98,wv_3d_linear_unfiltered,0.9371859431266784,0.982412040233612,0.8731155778894473,0.961892797319933,0.9789999723434448,0.982412040233612,0.984924623115578,0.9371859431266784
19,MTL0.2,MTL,1,"[1, 128, 0, 0]",False,512,0.2,0.98,wv_3d_linear_unfiltered,0.9547738432884216,0.979899525642395,0.8739530988274707,0.972361809045226,0.9800000190734864,0.979899525642395,0.9874371859296482,0.9522613286972046
20,MTL0.8,MTL,0,"[1, 1, 0, 0]",False,512,0.8,1.0,wv_3d_linear_unfiltered,0.9773869514465332,0.979899525642395,0.8860971524288107,0.926716917922948,0.9583333134651184,0.979899525642395,0.9798994974874372,0.9773869514465332
21,MTL0.5,MTL,0,"[1, 1, 0, 0]",False,512,0.5,1.0,wv_3d_linear_unfiltered,0.982412040233612,0.979899525642395,0.8890284757118928,0.9304857621440537,0.9631666541099548,0.979899525642395,0.9824120603015076,0.982412040233612
22,MTL0.2,MTL,0,"[1, 1, 0, 0]",False,512,0.2,1.0,wv_3d_linear_unfiltered,0.9949748516082764,0.9874371886253356,0.8869346733668341,0.945142378559464,0.965999960899353,0.9874371886253356,0.9949748743718592,0.9874371886253356
