name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
MTL0.8,2,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.8_filtered,wv_3d_linear0_noisy,0.9700000286102296,0.8100000023841858,0.4775,0.011666666666666667,0.42916666666666664,0.17666666666666664,0.6571863889694214,1.0,1.0,0.9700000286102296,0.9,0.8
MTL0.5,2,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.7_filtered,wv_3d_linear0_noisy,0.887499988079071,0.9049999713897704,0.535,0.4283333333333333,0.49833333333333335,0.48125,0.6730211973190308,1.0,1.0,0.887499988079071,0.9,0.7
MTL0.2,2,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.8_filtered,wv_3d_linear0_noisy,0.8799999952316284,0.8675000071525574,0.44875,0.195,0.4083333333333334,0.455,0.6526155471801758,1.0,1.0,0.8799999952316284,0.9,0.8
TN,2,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.8_filtered,wv_3d_linear0_noisy,0.887499988079071,0.8525000214576721,0.20458333333333337,0.62,0.20375,0.7287500000000001,0.659217894077301,0.4975000023841858,0.995,0.8799999952316284,0.9,0.8
TN,2,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.6_filtered,wv_3d_linear0_noisy,0.8550000190734863,0.8924999833106995,0.3204166666666667,0.6191666666666668,0.28250000000000003,0.7225,0.6628175377845764,0.5149999856948853,1.0,0.4399999976158142,0.9,0.6
MTL0.8,2,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.7_filtered,wv_3d_linear0_noisy,0.912500023841858,0.862500011920929,0.47208333333333335,0.18666666666666668,0.43416666666666665,0.2833333333333334,0.6638513207435608,1.0,1.0,0.912500023841858,0.9,0.7
MTL0.5,2,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.8_filtered,wv_3d_linear0_noisy,0.9850000143051147,0.8374999761581421,0.47291666666666665,0.010833333333333334,0.44125,0.1758333333333333,0.65337735414505,1.0,1.0,0.9850000143051147,0.9,0.8
MTL0.5,2,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.6_filtered,wv_3d_linear0_noisy,0.9800000190734864,0.8550000190734863,0.42958333333333326,0.008333333333333333,0.40041666666666664,0.17166666666666666,0.6600462198257446,1.0,1.0,0.9800000190734864,0.9,0.6
TN,2,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.7_filtered,wv_3d_linear0_noisy,0.9725000262260436,0.9200000166893004,0.24583333333333335,0.39333333333333337,0.25666666666666665,0.46083333333333326,0.6631274223327637,0.5149999856948853,1.0,0.5699999928474426,0.9,0.7
MTL0.2,2,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.7_filtered,wv_3d_linear0_noisy,0.9275000095367432,0.8525000214576721,0.5283333333333333,0.1925,0.4908333333333334,0.3700000000000001,0.6703667640686035,0.9950000047683716,1.0,0.9275000095367432,0.9,0.7
MTL0.8,1,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.8_filtered,wv_3d_linear0_noisy,0.9825000166893004,0.9024999737739564,0.48208333333333336,0.015833333333333335,0.4329166666666666,0.1725,0.670898973941803,1.0,1.0,0.9825000166893004,0.9,0.8
MTL0.2,1,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.8_filtered,wv_3d_linear0_noisy,0.8899999856948853,0.8774999976158142,0.5166666666666666,0.2025,0.48041666666666666,0.4566666666666667,0.6493144035339355,1.0,1.0,0.8899999856948853,0.9,0.8
TN,1,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.8_filtered,wv_3d_linear0_noisy,0.9100000262260436,0.8075000047683716,0.43166666666666664,0.18666666666666668,0.38958333333333334,0.2841666666666667,0.6642966270446777,0.9975000023841858,1.0,0.9100000262260436,0.9,0.8
MTL0.5,1,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.7_filtered,wv_3d_linear0_noisy,0.8974999785423279,0.8575000166893005,0.50875,0.195,0.4925,0.455,0.6722972989082336,1.0,1.0,0.8974999785423279,0.9,0.7
MTL0.8,2,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.6_filtered,wv_3d_linear0_noisy,0.9925000071525574,0.912500023841858,0.4395833333333334,0.005,0.39958333333333335,0.16749999999999998,0.6545034646987915,1.0,1.0,0.9925000071525574,0.9,0.6
MTL0.5,1,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.8_filtered,wv_3d_linear0_noisy,0.987500011920929,0.9225000143051147,0.48583333333333334,0.005,0.45083333333333336,0.0075,0.6589639782905579,0.9950000047683716,0.9975,0.987500011920929,0.9,0.8
MTL0.8,1,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.7_filtered,wv_3d_linear0_noisy,0.9925000071525574,0.8500000238418579,0.4779166666666666,0.0,0.4383333333333333,0.016666666666666666,0.6730211973190308,1.0,1.0,0.9925000071525574,0.9,0.7
TN,1,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.6_filtered,wv_3d_linear0_noisy,0.8849999904632568,0.7574999928474426,0.39125,0.26833333333333337,0.3420833333333333,0.5041666666666667,0.6498845219612122,0.8399999737739563,1.0,0.8525000214576721,0.9,0.6
