name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
MTL0.8,2,"[1, 1000000, 1, 1]",False,50,0.8,align=0.9_p=0.8,wv_3d_linear0_noisy,0.949999988079071,0.8374999761581421,0.45500000000000007,0.04541666666666667,0.4225,0.27499999999999997,0.5168333053588867,1.0,0.995,0.949999988079071,0.9,0.8
TN,2,"[1, 1000000, 1, 1]",False,50,0.0,align=0.9_p=0.8,wv_3d_linear0_noisy,0.949999988079071,0.8550000190734863,0.24166666666666667,0.4379166666666667,0.22541666666666668,0.5612499999999999,0.5418333411216736,0.5199999809265137,0.92,0.9350000023841858,0.9,0.8
MTL0.5,2,"[1, 1000000, 1, 1]",False,50,0.5,align=0.9_p=0.8,wv_3d_linear0_noisy,0.962499976158142,0.8849999904632568,0.48125,0.05000000000000001,0.43791666666666673,0.2816666666666667,0.5166666507720947,0.9975000023841858,0.9975,0.959999978542328,0.9,0.8
MTL0.2,2,"[1, 1000000, 1, 1]",False,50,0.2,align=0.9_p=0.8,wv_3d_linear0_noisy,0.9574999809265136,0.8550000190734863,0.4666666666666666,0.04,0.4345833333333333,0.30875,0.5331666469573975,1.0,0.98,0.959999978542328,0.9,0.8
MTL0.8,1,"[1, 1000000, 1, 1]",False,50,0.8,align=0.9_p=0.8,wv_3d_linear0_noisy,0.977500021457672,0.9225000143051147,0.5066666666666667,0.029166666666666664,0.4875,0.2941666666666667,0.5163333415985107,1.0,1.0,0.977500021457672,0.9,0.8
TN,1,"[1, 1000000, 1, 1]",False,50,0.0,align=0.9_p=0.8,wv_3d_linear0_noisy,0.977500021457672,0.8399999737739563,0.3258333333333333,0.31750000000000006,0.28750000000000003,0.5241666666666667,0.5398333072662354,0.6700000166893005,0.8975,0.9725000262260436,0.9,0.8
MTL0.8,2,"[1, 1000000, 1, 1]",False,50,0.8,align=0.9_p=0.7,wv_3d_linear0_noisy,0.9574999809265136,0.8100000023841858,0.4070833333333333,0.1366666666666667,0.3770833333333334,0.32375,0.4801666736602783,1.0,1.0,0.9574999809265136,0.9,0.7
TN,2,"[1, 1000000, 1, 1]",False,50,0.0,align=0.9_p=0.7,wv_3d_linear0_noisy,0.9474999904632568,0.8399999737739563,0.2075,0.4258333333333333,0.21416666666666664,0.545,0.4931666553020478,0.5149999856948853,0.955,0.9350000023841858,0.9,0.7
MTL0.5,2,"[1, 1000000, 1, 1]",False,50,0.5,align=0.9_p=0.7,wv_3d_linear0_noisy,0.977500021457672,0.8324999809265137,0.5370833333333332,0.085,0.49833333333333335,0.23708333333333337,0.48533332347869873,1.0,1.0,0.977500021457672,0.9,0.7
MTL0.2,2,"[1, 1000000, 1, 1]",False,50,0.2,align=0.9_p=0.7,wv_3d_linear0_noisy,0.9725000262260436,0.8299999833106995,0.5354166666666668,0.11375,0.48458333333333337,0.2554166666666667,0.4881666600704193,1.0,1.0,0.9725000262260436,0.9,0.7
MTL0.5,1,"[1, 1000000, 1, 1]",False,50,0.5,align=0.9_p=0.8,wv_3d_linear0_noisy,0.9725000262260436,0.9100000262260436,0.48125,0.035833333333333335,0.44416666666666665,0.3054166666666666,0.5258333086967468,1.0,0.99,0.9725000262260436,0.9,0.8
MTL0.2,1,"[1, 1000000, 1, 1]",False,50,0.2,align=0.9_p=0.8,wv_3d_linear0_noisy,0.9725000262260436,0.8700000047683716,0.5283333333333333,0.025,0.5020833333333333,0.3145833333333333,0.5333333015441895,0.9975000023841858,0.9925,0.975000023841858,0.9,0.8
TN,2,"[1, 1000000, 1, 1]",False,50,0.0,align=0.9_p=0.6,wv_3d_linear0_noisy,0.9549999833106996,0.8500000238418579,0.29041666666666666,0.4791666666666667,0.2833333333333334,0.6116666666666667,0.48649999499320984,0.5149999856948853,0.9825,0.9300000071525574,0.9,0.6
TN,0,"[1, 1000000, 1, 1]",False,50,0.0,align=0.9_p=0.8,wv_3d_linear0_noisy,0.8974999785423279,0.8075000047683716,0.21625000000000005,0.45625,0.2070833333333333,0.5958333333333333,0.5199999809265137,0.5149999856948853,0.9025,0.8949999809265137,0.9,0.8
MTL0.8,1,"[1, 1000000, 1, 1]",False,50,0.8,align=0.9_p=0.7,wv_3d_linear0_noisy,0.977500021457672,0.8324999809265137,0.43,0.08125,0.40041666666666664,0.29958333333333337,0.49183332920074463,1.0,1.0,0.977500021457672,0.9,0.7
MTL0.8,0,"[1, 1000000, 1, 1]",False,50,0.8,align=0.9_p=0.8,wv_3d_linear0_noisy,0.9325000047683716,0.7825000286102295,0.4325000000000001,0.07666666666666666,0.39041666666666663,0.33208333333333334,0.4959999918937683,1.0,1.0,0.9325000047683716,0.9,0.8
