name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_1nn_acc,rNINO_ds_acc,align,num,test_clf_acc
MTL0.8,1,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.5_filtered,wv_3d_linear0_num,0.875,1.0,0.8620833333333332,0.8295833333333333,0.8579166666666667,0.8616666666666667,0.9696637392044068,1.0,0.875,0.9,0.5,0
MTL0.5,1,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.5_filtered,wv_3d_linear0_num,0.9024999737739564,1.0,0.8829166666666667,0.8745833333333334,0.8729166666666667,0.9120833333333334,0.9769737124443054,1.0,0.9024999737739564,0.9,0.5,0
TN,1,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.5_filtered,wv_3d_linear0_num,0.8899999856948853,0.35249999165534973,0.6254166666666667,0.9408333333333332,0.61875,0.96375,0.9722222089767456,0.9975,0.32749998569488525,0.9,0.5,0
MTL0.2,1,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.5_filtered,wv_3d_linear0_num,0.9200000166893004,1.0,0.8795833333333333,0.8208333333333333,0.8762500000000001,0.8662500000000001,0.9751461744308472,0.9975,0.9225000143051147,0.9,0.5,0
MTL0.8,1,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.25_filtered,wv_3d_linear0_num,0.8924999833106995,1.0,0.8295833333333335,0.8383333333333333,0.81875,0.85875,0.9698750972747804,1.0,0.8924999833106995,0.9,0.25,0
TN,1,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.25_filtered,wv_3d_linear0_num,0.8025000095367432,0.3474999964237213,0.6633333333333333,0.9416666666666668,0.6541666666666667,0.9654166666666668,0.9735488891601562,1.0,0.28999999165534973,0.9,0.25,0
MTL0.2,1,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.25_filtered,wv_3d_linear0_num,0.8500000238418579,1.0,0.8316666666666667,0.9095833333333332,0.8191666666666667,0.93125,0.972079336643219,1.0,0.8500000238418579,0.9,0.25,0
MTL0.5,1,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.25_filtered,wv_3d_linear0_num,0.8774999976158142,1.0,0.8291666666666666,0.8375,0.8220833333333334,0.8816666666666667,0.9632623195648192,1.0,0.8774999976158142,0.9,0.25,0
MTL0.5,1,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.125_filtered,wv_3d_linear0_num,0.8974999785423279,1.0,0.8125,0.7491666666666666,0.8137500000000001,0.8154166666666667,0.9502924084663392,1.0,0.8974999785423279,0.9,0.125,0
TN,1,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.125_filtered,wv_3d_linear0_num,0.7325000166893005,0.8999999761581421,0.7829166666666666,0.9204166666666668,0.7695833333333333,0.9445833333333334,0.9590643048286438,1.0,0.6875,0.9,0.125,0
MTL0.2,1,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.125_filtered,wv_3d_linear0_num,0.8174999952316284,1.0,0.8104166666666667,0.8620833333333334,0.8054166666666666,0.8883333333333333,0.9590643048286438,1.0,0.8174999952316284,0.9,0.125,0
MTL0.8,1,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.125_filtered,wv_3d_linear0_num,0.8924999833106995,1.0,0.8195833333333334,0.71875,0.8112499999999999,0.7983333333333333,0.9678362607955932,1.0,0.8924999833106995,0.9,0.125,0
TN,1,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.0625_filtered,wv_3d_linear0_num,0.9049999713897704,0.824999988079071,0.7275,0.9179166666666668,0.7170833333333334,0.9025,0.9709302186965942,0.9975,0.7825000286102295,0.9,0.0625,0
MTL0.8,1,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.0625_filtered,wv_3d_linear0_num,0.862500011920929,1.0,0.7529166666666667,0.63875,0.7295833333333333,0.755,0.944767415523529,1.0,0.862500011920929,0.9,0.0625,0
MTL0.5,1,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.0625_filtered,wv_3d_linear0_num,0.8274999856948853,1.0,0.7816666666666667,0.8612500000000001,0.7758333333333334,0.8791666666666668,0.9651162624359132,1.0,0.8274999856948853,0.9,0.0625,0
MTL0.2,1,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.0625_filtered,wv_3d_linear0_num,0.800000011920929,0.9975000023841858,0.7991666666666667,0.90625,0.78875,0.9329166666666668,0.9622092843055724,0.9975,0.800000011920929,0.9,0.0625,0
MTL0.2,1,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.03125_filtered,wv_3d_linear0_num,0.8725000023841858,1.0,0.7433333333333333,0.8466666666666667,0.7333333333333334,0.8745833333333334,0.9451219439506532,1.0,0.8725000023841858,0.9,0.03125,0
TN,1,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.03125_filtered,wv_3d_linear0_num,0.8125,0.6424999833106995,0.5841666666666666,0.8966666666666666,0.5545833333333333,0.9216666666666664,0.9512194991111756,0.9975,0.5849999785423279,0.9,0.03125,0
MTL0.8,1,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.03125_filtered,wv_3d_linear0_num,0.9375,0.9975000023841858,0.7125,0.3679166666666666,0.6991666666666667,0.4833333333333334,0.9329268336296082,1.0,0.9375,0.9,0.03125,0
MTL0.5,1,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.03125_filtered,wv_3d_linear0_num,0.9049999713897704,0.9975000023841858,0.7125,0.5395833333333333,0.7095833333333333,0.605,0.9207317233085632,1.0,0.9049999713897704,0.9,0.03125,0
MTL0.2,1,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.015625_filtered,wv_3d_linear0_num,0.875,1.0,0.7016666666666667,0.665,0.6924999999999999,0.7004166666666666,0.9425287246704102,1.0,0.875,0.9,0.015625,0
TN,1,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.015625_filtered,wv_3d_linear0_num,0.8550000190734863,0.5699999928474426,0.5391666666666667,0.8466666666666667,0.5320833333333334,0.8966666666666668,0.9195402264595032,1.0,0.6299999952316284,0.9,0.015625,0
MTL0.5,1,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.015625_filtered,wv_3d_linear0_num,0.9225000143051147,1.0,0.7133333333333334,0.5525,0.6883333333333334,0.6,0.9425287246704102,1.0,0.9225000143051147,0.9,0.015625,0
MTL0.8,1,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.015625_filtered,wv_3d_linear0_num,0.9024999737739564,0.9975000023841858,0.6616666666666667,0.5525,0.6262500000000001,0.6,0.9425287246704102,1.0,0.9024999737739564,0.9,0.015625,0
TN,1,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.0078125_filtered,wv_3d_linear0_num,0.8475000262260437,0.6175000071525574,0.5308333333333334,0.85125,0.49833333333333335,0.8604166666666666,0.931818187236786,0.9975,0.5550000071525574,0.9,0.0078125,0
MTL0.2,1,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.0078125_filtered,wv_3d_linear0_num,0.9375,1.0,0.7075,0.5558333333333333,0.6895833333333333,0.6016666666666667,0.931818187236786,1.0,0.9375,0.9,0.0078125,0
