name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.8,1,"[1, 1, 1, 1]",False,50,0.8,align=1,wv_3d_linear0_aligns,0.7174999713897705,0.9825000166893004,0.60375,0.6754166666666667,0.6025,0.7120833333333333,0.7829999923706055,1.0,1.0,0.7174999713897705,1.0
TN,1,"[1, 1, 1, 1]",False,50,0.0,align=1,wv_3d_linear0_aligns,0.6899999976158142,0.5024999976158142,0.4895833333333333,0.745,0.4920833333333334,0.75875,0.778166651725769,0.48500001430511475,0.9975,0.699999988079071,1.0
TN,0,"[1, 1, 1, 1]",False,50,0.0,align=1,wv_3d_linear0_aligns,0.6625000238418579,0.5224999785423279,0.5141666666666667,0.7241666666666667,0.5062500000000001,0.7716666666666666,0.7785000205039978,0.5149999856948853,1.0,0.6100000143051147,1.0
MTL0.8,0,"[1, 1, 1, 1]",False,50,0.8,align=1,wv_3d_linear0_aligns,0.7425000071525574,0.9825000166893004,0.6116666666666667,0.6766666666666666,0.6062500000000001,0.7275,0.7770000100135803,1.0,1.0,0.7425000071525574,1.0
MTL0.2,1,"[0, 1000, 1, 1]",False,50,0.2,align=0.82,wv_3d_linear0_aligns,0.7325000166893005,1.0,0.7404166666666666,0.9508333333333332,0.7366666666666667,0.97,0.9745000004768372,1.0,0.995,0.7300000190734863,0.82
MTL0.5,1,"[1, 1000000, 1, 1]",False,50,0.5,align=0.9,wv_3d_linear0_aligns,0.8700000047683716,1.0,0.91125,0.9608333333333332,0.91375,0.9729166666666668,0.9764999747276306,1.0,0.9975,0.8700000047683716,0.9
MTL0.2,1,"[1, 1, 1, 1]",False,50,0.2,align=1,wv_3d_linear0_aligns,0.7099999785423279,0.9900000095367432,0.5812499999999999,0.6525,0.5754166666666667,0.6908333333333333,0.7808333039283752,1.0,1.0,0.7099999785423279,1.0
MTL0.8,1,"[1, 1000000, 1, 1]",False,50,0.8,align=0.9,wv_3d_linear0_aligns,0.7900000214576721,1.0,0.8975,0.9675,0.9020833333333336,0.9754166666666668,0.9703333377838136,1.0,0.9975,0.7900000214576721,0.9
MTL0.5,1,"[0, 1000, 1, 1]",False,50,0.5,align=0.82,wv_3d_linear0_aligns,0.637499988079071,1.0,0.7008333333333333,0.9454166666666666,0.6849999999999999,0.97125,0.9731666445732116,1.0,1.0,0.637499988079071,0.82
MTL0.8,1,"[0, 1, 1, 1]",False,50,0.8,align=0.87,wv_3d_linear0_aligns,0.5199999809265137,0.9700000286102296,0.5804166666666667,0.7450000000000001,0.58,0.7820833333333334,0.7475000023841858,1.0,1.0,0.5199999809265137,0.87
