name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.8,1,"[1, 1000000, 1, 1]",True,512,0.8,align=0.9_filtered,wv_3d_linear0_aligns,0.9325000047683716,1.0,0.8808333333333334,0.8975,0.8929166666666667,0.9104166666666668,0.9768627882003784,1.0,1.0,0.9325000047683716,0.9
MTL0.5,1,"[1, 1000000, 1, 1]",True,512,0.5,align=0.9_filtered,wv_3d_linear0_aligns,0.8475000262260437,1.0,0.8829166666666666,0.9429166666666666,0.8908333333333335,0.9620833333333332,0.9830570220947266,1.0,1.0,0.8475000262260437,0.9
MTL0.8,1,"[1, 1, 1, 1]",True,512,0.8,align=1_filtered,wv_3d_linear0_aligns,0.6825000047683716,0.9800000190734864,0.5995833333333332,0.66375,0.5950000000000001,0.74125,0.8492283225059509,1.0,1.0,0.6825000047683716,1.0
MTL0.5,1,"[1, 1, 1, 1]",True,512,0.5,align=1_filtered,wv_3d_linear0_aligns,0.7400000095367432,0.9800000190734864,0.6158333333333333,0.6258333333333334,0.6025,0.6649999999999999,0.8488326072692871,0.9975000023841858,1.0,0.7400000095367432,1.0
MTL0.2,1,"[1, 1, 1, 1]",True,512,0.2,align=1_filtered,wv_3d_linear0_aligns,0.75,0.987500011920929,0.6079166666666667,0.6170833333333333,0.5904166666666666,0.65875,0.8537791967391968,1.0,1.0,0.75,1.0
TN,1,"[1, 1, 1, 1]",True,512,0.0,align=1_filtered,wv_3d_linear0_aligns,0.7425000071525574,0.4749999940395355,0.4616666666666666,0.6683333333333333,0.45458333333333334,0.7320833333333333,0.8492283225059509,0.4449999928474426,1.0,0.4124999940395355,1.0
TN,1,"[1, 1000000, 1, 1]",True,512,0.0,align=0.9_filtered,wv_3d_linear0_aligns,0.8475000262260437,0.10249999910593031,0.6233333333333334,0.9525,0.615,0.9783333333333334,0.9785024523735046,0.10249999910593031,0.9975,0.119999997317791,0.9
MTL0.2,1,"[1, 1000000, 1, 1]",True,512,0.2,align=0.9_filtered,wv_3d_linear0_aligns,0.9075000286102296,1.0,0.8975,0.9329166666666668,0.9079166666666666,0.9533333333333336,0.9810529947280884,1.0,1.0,0.9075000286102296,0.9
MTL0.8,1,"[1, 10000, 1, 1]",True,512,0.8,align=0.95_filtered,wv_3d_linear0_aligns,0.9225000143051147,1.0,0.8495833333333334,0.8262499999999999,0.8420833333333334,0.8075,0.968965470790863,1.0,1.0,0.9225000143051147,0.95
MTL0.8,0,"[1, 1000000, 1, 1]",True,512,0.8,align=0.9_filtered,wv_3d_linear0_aligns,0.9474999904632568,1.0,0.8895833333333334,0.8300000000000001,0.8908333333333333,0.81875,0.9823282957077026,1.0,1.0,0.9474999904632568,0.9
MTL0.8,0,"[1, 1, 1, 1]",True,512,0.8,align=1_filtered,wv_3d_linear0_aligns,0.7024999856948853,0.9850000143051147,0.5754166666666666,0.65125,0.5625,0.7133333333333334,0.8393351435661316,1.0,1.0,0.7024999856948853,1.0
MTL0.5,0,"[1, 1000000, 1, 1]",True,512,0.5,align=0.9_filtered,wv_3d_linear0_aligns,0.8475000262260437,1.0,0.8704166666666667,0.93125,0.8641666666666667,0.9395833333333332,0.9766806364059448,1.0,1.0,0.8475000262260437,0.9
TN,1,"[1, 10000, 1, 1]",True,512,0.0,align=0.95_filtered,wv_3d_linear0_aligns,0.8999999761581421,0.20250000059604645,0.5933333333333333,0.9545833333333332,0.5791666666666666,0.9695833333333336,0.9793103337287904,0.20250000059604645,0.9975,0.17499999701976776,0.95
MTL0.5,0,"[1, 1, 1, 1]",True,512,0.5,align=1_filtered,wv_3d_linear0_aligns,0.6625000238418579,0.9850000143051147,0.5845833333333333,0.6504166666666666,0.5825,0.7166666666666667,0.8397309184074402,1.0,1.0,0.6625000238418579,1.0
MTL0.2,0,"[1, 1, 1, 1]",True,512,0.2,align=1_filtered,wv_3d_linear0_aligns,0.6850000023841858,0.9950000047683716,0.5604166666666667,0.6258333333333334,0.555,0.7029166666666667,0.845666766166687,1.0,1.0,0.6850000023841858,1.0
TN,0,"[1, 1, 1, 1]",True,512,0.0,align=1_filtered,wv_3d_linear0_aligns,0.7599999904632568,0.5550000071525574,0.4245833333333333,0.73375,0.4254166666666667,0.7475,0.8521962761878967,0.48500001430511475,1.0,0.6449999809265137,1.0
TN,0,"[1, 1000000, 1, 1]",True,512,0.0,align=0.9_filtered,wv_3d_linear0_aligns,0.9175000190734864,0.48500001430511475,0.62875,0.9404166666666668,0.6458333333333334,0.9545833333333332,0.9768627882003784,0.48500001430511475,0.9975,0.4699999988079071,0.9
MTL0.2,0,"[1, 1000000, 1, 1]",True,512,0.2,align=0.9_filtered,wv_3d_linear0_aligns,0.9325000047683716,1.0,0.9091666666666668,0.8925000000000001,0.9091666666666668,0.91,0.9841501116752625,1.0,1.0,0.9325000047683716,0.9
MTL0.8,0,"[1, 10000, 1, 1]",True,512,0.8,align=0.95_filtered,wv_3d_linear0_aligns,0.949999988079071,1.0,0.8483333333333333,0.8574999999999999,0.8525,0.8450000000000001,0.9736841917037964,1.0,1.0,0.949999988079071,0.95
MTL0.5,1,"[1, 10000, 1, 1]",True,512,0.5,align=0.95_filtered,wv_3d_linear0_aligns,0.925000011920929,1.0,0.8604166666666666,0.8920833333333333,0.8525,0.9091666666666668,0.9780399203300476,1.0,1.0,0.925000011920929,0.95
MTL0.2,1,"[1, 10000, 1, 1]",True,512,0.2,align=0.95_filtered,wv_3d_linear0_aligns,0.8774999976158142,1.0,0.8666666666666666,0.9345833333333332,0.86625,0.9408333333333332,0.984573483467102,1.0,1.0,0.8774999976158142,0.95
MTL0.5,1,"[0, 1000, 1, 1]",True,512,0.5,align=0.82_filtered,wv_3d_linear0_aligns,0.8475000262260437,1.0,0.8108333333333334,0.8725,0.7995833333333332,0.9120833333333334,0.9765922427177428,1.0,1.0,0.8475000262260437,0.82
TN,0,"[1, 10000, 1, 1]",True,512,0.0,align=0.95_filtered,wv_3d_linear0_aligns,0.9325000047683716,0.48500001430511475,0.6254166666666667,0.9266666666666666,0.6279166666666667,0.92625,0.9809437394142152,0.48500001430511475,0.9975,0.4650000035762787,0.95
MTL0.2,1,"[0, 1000, 1, 1]",True,512,0.2,align=0.82_filtered,wv_3d_linear0_aligns,0.8725000023841858,1.0,0.8116666666666666,0.8741666666666666,0.8041666666666667,0.9033333333333332,0.9787697196006776,1.0,1.0,0.8725000023841858,0.82
MTL0.5,1,"[0, 1, 1, 1]",True,512,0.5,align=0.87_filtered,wv_3d_linear0_aligns,0.6324999928474426,0.9674999713897704,0.5983333333333333,0.66,0.5916666666666667,0.7045833333333332,0.8362812995910645,0.9975000023841858,1.0,0.6324999928474426,0.87
MTL0.8,1,"[0, 1, 1, 1]",True,512,0.8,align=0.87_filtered,wv_3d_linear0_aligns,0.5649999976158142,0.9725000262260436,0.6020833333333333,0.7270833333333333,0.6079166666666667,0.7604166666666666,0.8272217512130737,1.0,1.0,0.5649999976158142,0.87
TN,1,"[0, 1, 1, 1]",True,512,0.0,align=0.87_filtered,wv_3d_linear0_aligns,0.6075000166893005,0.6200000047683716,0.5454166666666667,0.6670833333333334,0.5554166666666668,0.7120833333333333,0.8283002972602844,0.6100000143051147,1.0,0.4625000059604645,0.87
MTL0.5,0,"[1, 10000, 1, 1]",True,512,0.5,align=0.95_filtered,wv_3d_linear0_aligns,0.9200000166893004,1.0,0.8733333333333334,0.8941666666666667,0.8608333333333333,0.9095833333333332,0.9773139357566832,1.0,1.0,0.9200000166893004,0.95
