name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_1nn_acc,rNINO_ds_acc,align,num,test_clf_acc
MTL0.5,2,"[1, 1000000, 1, 1]",False,512,0.5,align=0.9_p=0.5,wv_3d_linear0_num,0.8349999785423279,1.0,0.89875,0.9354166666666668,0.8979166666666667,0.9641666666666668,0.9693333506584167,1.0,0.8349999785423279,0.9,0.5,0
TN,2,"[1, 1000000, 1, 1]",False,512,0.0,align=0.9_p=0.5,wv_3d_linear0_num,0.8349999785423279,0.4900000095367432,0.7495833333333334,0.965,0.7283333333333334,0.9845833333333336,0.9646666646003724,0.98,0.7099999785423279,0.9,0.5,0
MTL0.5,1,"[1, 1000000, 1, 1]",False,512,0.5,align=0.9_p=0.5,wv_3d_linear0_num,0.7950000166893005,1.0,0.8983333333333333,0.9516666666666668,0.8983333333333334,0.9741666666666666,0.9729999899864196,0.9975,0.7950000166893005,0.9,0.5,0
TN,1,"[1, 1000000, 1, 1]",False,512,0.0,align=0.9_p=0.5,wv_3d_linear0_num,0.7475000023841858,0.5450000166893005,0.8262499999999999,0.9716666666666668,0.8174999999999999,0.9854166666666666,0.9763333201408386,0.995,0.5525000095367432,0.9,0.5,0
MTL0.8,2,"[1, 1000000, 1, 1]",False,512,0.8,align=0.9_p=0.5,wv_3d_linear0_num,0.7875000238418579,1.0,0.8675,0.95375,0.8579166666666667,0.9733333333333332,0.9613333344459534,1.0,0.7875000238418579,0.9,0.5,0
MTL0.2,2,"[1, 1000000, 1, 1]",False,512,0.2,align=0.9_p=0.5,wv_3d_linear0_num,0.7425000071525574,0.9975000023841858,0.8516666666666667,0.9604166666666668,0.8516666666666666,0.9791666666666666,0.968999981880188,0.9975,0.7400000095367432,0.9,0.5,0
TN,2,"[1, 1000000, 1, 1]",False,512,0.0,align=0.9_p=0.25,wv_3d_linear0_num,0.7799999713897705,0.6075000166893005,0.7704166666666666,0.9604166666666668,0.7433333333333333,0.9766666666666668,0.962000012397766,0.9975,0.6675000190734863,0.9,0.25,0
MTL0.5,0,"[1, 1000000, 1, 1]",False,512,0.5,align=0.9_p=0.5,wv_3d_linear0_num,0.8174999952316284,1.0,0.8887499999999999,0.95125,0.895,0.97,0.9700000286102296,1.0,0.8174999952316284,0.9,0.5,0
TN,0,"[1, 1000000, 1, 1]",False,512,0.0,align=0.9_p=0.5,wv_3d_linear0_num,0.7724999785423279,0.4124999940395355,0.7908333333333334,0.9704166666666666,0.7920833333333333,0.9854166666666666,0.9696666598320008,0.975,0.5525000095367432,0.9,0.5,0
MTL0.8,1,"[1, 1000000, 1, 1]",False,512,0.8,align=0.9_p=0.5,wv_3d_linear0_num,0.7799999713897705,0.9975000023841858,0.8850000000000001,0.9525,0.8995833333333333,0.97,0.9739999771118164,0.9975,0.7799999713897705,0.9,0.5,0
MTL0.2,1,"[1, 1000000, 1, 1]",False,512,0.2,align=0.9_p=0.5,wv_3d_linear0_num,0.7950000166893005,1.0,0.8908333333333333,0.9608333333333332,0.89125,0.9779166666666668,0.9713333249092102,0.9975,0.7950000166893005,0.9,0.5,0
TN,1,"[1, 1000000, 1, 1]",False,512,0.0,align=0.9_p=0.25,wv_3d_linear0_num,0.7475000023841858,0.48500001430511475,0.7729166666666667,0.96375,0.76125,0.9791666666666666,0.9706666469573976,0.99,0.5425000190734863,0.9,0.25,0
