name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_1nn_acc,rNINO_ds_acc,align,num,test_clf_acc
TN,1,"[256, 1, 256, 256]",True,50,0.0,align=0.925_p=0.5,wv_3d_square_num_filtered,0.9325000047683716,0.3375000059604645,0.7100000000000001,0.9745833333333334,0.5645833333333333,0.98,0.9695017337799072,0.9975,0.3700000047683716,0.925,0.5,0
MTL0.8,1,"[256, 1, 256, 256]",True,50,0.8,align=0.925_p=0.5,wv_3d_square_num_filtered,0.949999988079071,0.9950000047683716,0.87875,0.9591666666666666,0.7933333333333333,0.91,0.9686425924301147,0.995,0.949999988079071,0.925,0.5,0
MTL0.5,1,"[256, 1, 256, 256]",True,50,0.5,align=0.925_p=0.5,wv_3d_square_num_filtered,0.962499976158142,0.9975000023841858,0.8929166666666667,0.9658333333333332,0.83,0.9033333333333332,0.969072163105011,0.995,0.962499976158142,0.925,0.5,0
MTL0.2,1,"[256, 1, 256, 256]",True,50,0.2,align=0.925_p=0.5,wv_3d_square_num_filtered,0.959999978542328,0.9975000023841858,0.8991666666666666,0.97125,0.8241666666666667,0.9120833333333334,0.9737972617149352,0.995,0.959999978542328,0.925,0.5,0
TN,1,"[256, 1, 256, 256]",True,50,0.0,align=0.925_p=0.25,wv_3d_square_num_filtered,0.8600000143051147,0.6000000238418579,0.8070833333333334,0.97875,0.7095833333333333,0.96,0.9544673562049866,0.9975,0.6600000262260437,0.925,0.25,0
MTL0.8,1,"[256, 1, 256, 256]",True,50,0.8,align=0.925_p=0.25,wv_3d_square_num_filtered,0.9399999976158142,0.9975000023841858,0.8716666666666667,0.9758333333333334,0.78875,0.93,0.9501718282699584,0.995,0.9399999976158142,0.925,0.25,0
TN,0,"[256, 1, 256, 256]",True,50,0.0,align=0.925_p=0.5,wv_3d_square_num_filtered,0.9574999809265136,0.5899999737739563,0.74375,0.9883333333333332,0.6391666666666667,0.9708333333333332,0.969072163105011,0.995,0.5950000286102295,0.925,0.5,0
MTL0.5,1,"[256, 1, 256, 256]",True,50,0.5,align=0.925_p=0.25,wv_3d_square_num_filtered,0.9075000286102296,0.9975000023841858,0.8666666666666667,0.9570833333333332,0.7833333333333333,0.9179166666666668,0.9587628841400146,0.9975,0.9075000286102296,0.925,0.25,0
MTL0.8,0,"[256, 1, 256, 256]",True,50,0.8,align=0.925_p=0.5,wv_3d_square_num_filtered,0.9474999904632568,0.9950000047683716,0.89875,0.9666666666666668,0.8262499999999999,0.9208333333333334,0.963487982749939,0.995,0.9474999904632568,0.925,0.5,0
MTL0.2,1,"[256, 1, 256, 256]",True,50,0.2,align=0.925_p=0.25,wv_3d_square_num_filtered,0.8774999976158142,0.9950000047683716,0.8683333333333333,0.9720833333333334,0.785,0.9375,0.9544673562049866,0.995,0.8774999976158142,0.925,0.25,0
