name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
MTL0.8,1,"[256, 1, 256, 256]",None,512,0.8,align=0.925_p=0.8,wv_3d_square_noisy_filtered,0.7049999833106995,0.7099999785423279,0.48666666666666664,0.5654166666666667,0.34833333333333333,0.475,0.6724020838737488,0.9925000071525574,0.9925,0.7049999833106995,0.925,0.8
MTL0.2,1,"[256, 1, 256, 256]",None,512,0.2,align=0.925_p=0.8,wv_3d_square_noisy_filtered,0.6424999833106995,0.6075000166893005,0.4525,0.5879166666666666,0.3166666666666667,0.51625,0.6701381206512451,0.9950000047683716,0.995,0.6424999833106995,0.925,0.8
MTL0.8,0,"[256, 1, 256, 256]",None,512,0.8,align=0.925_p=0.8,wv_3d_square_noisy_filtered,0.762499988079071,0.574999988079071,0.455,0.4766666666666666,0.3429166666666667,0.4566666666666666,0.673534095287323,0.9950000047683716,0.995,0.762499988079071,0.925,0.8
MTL0.5,1,"[256, 1, 256, 256]",None,512,0.5,align=0.925_p=0.8,wv_3d_square_noisy_filtered,0.5975000262260437,0.5550000071525574,0.44416666666666665,0.6320833333333334,0.30791666666666667,0.5866666666666667,0.6674213409423828,0.9950000047683716,1.0,0.5975000262260437,0.925,0.8
TN,1,"[256, 1, 256, 256]",None,512,0.0,align=0.925_p=0.8,wv_3d_square_noisy_filtered,0.7250000238418579,0.5649999976158142,0.3308333333333333,0.6133333333333333,0.2125,0.5391666666666667,0.6676477193832397,0.5400000214576721,0.9975,0.4449999928474426,0.925,0.8
TN,1,"[256, 1, 256, 256]",None,512,0.0,align=0.925_p=0.7,wv_3d_square_noisy_filtered,0.8550000190734863,0.6499999761581421,0.3329166666666667,0.5808333333333333,0.19875,0.5020833333333333,0.6680956482887268,0.5400000214576721,0.995,0.4650000035762787,0.925,0.7
MTL0.5,1,"[256, 1, 256, 256]",None,512,0.5,align=0.925_p=0.7,wv_3d_square_noisy_filtered,0.8525000214576721,0.8274999856948853,0.5758333333333333,0.5495833333333333,0.42125,0.4658333333333333,0.6735108494758606,0.9925000071525574,0.995,0.8525000214576721,0.925,0.7
MTL0.8,1,"[256, 1, 256, 256]",None,512,0.8,align=0.925_p=0.7,wv_3d_square_noisy_filtered,0.7699999809265137,0.7174999713897705,0.5433333333333333,0.6254166666666667,0.38916666666666666,0.4291666666666667,0.6572653651237488,0.9975000023841858,0.9975,0.7699999809265137,0.925,0.7
MTL0.2,1,"[256, 1, 256, 256]",None,512,0.2,align=0.925_p=0.7,wv_3d_square_noisy_filtered,0.7875000238418579,0.6974999904632568,0.5054166666666666,0.555,0.37625,0.42416666666666664,0.6710288524627686,0.9975000023841858,0.9975,0.7875000238418579,0.925,0.7
MTL0.2,0,"[256, 1, 256, 256]",None,512,0.2,align=0.925_p=0.8,wv_3d_square_noisy_filtered,0.7200000286102295,0.574999988079071,0.42875,0.4787499999999999,0.30791666666666667,0.4025,0.6728549003601074,0.9975000023841858,0.9975,0.7200000286102295,0.925,0.8
MTL0.8,1,"[256, 1, 256, 256]",None,512,0.8,align=0.925_p=0.6,wv_3d_square_noisy_filtered,0.7074999809265137,0.7475000023841858,0.5141666666666667,0.6325,0.3695833333333333,0.5408333333333333,0.6691341400146484,0.9975000023841858,0.9975,0.7074999809265137,0.925,0.6
