name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_1nn_acc,rNINO_ds_acc,align,num,test_clf_acc
TN,1,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.5,wv_3d_num_triplets,0.8725000023841858,0.41999998688697815,0.7620833333333333,0.9958333333333332,0.68,0.9875,0.9606666564941406,0.9175,0.6399999856948853,0.925,0.5,0
MTL0.8,1,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.5,wv_3d_num_triplets,0.9424999952316284,0.9975000023841858,0.8995833333333333,0.9829166666666668,0.8529166666666667,0.925,0.9536666870117188,0.9975,0.9399999976158142,0.925,0.5,0
MTL0.2,1,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.5,wv_3d_num_triplets,0.8849999904632568,0.9975000023841858,0.9133333333333334,0.995,0.8649999999999999,0.9683333333333334,0.968999981880188,0.995,0.8849999904632568,0.925,0.5,0
MTL0.5,1,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.5,wv_3d_num_triplets,0.8824999928474426,0.9950000047683716,0.9195833333333332,0.9929166666666666,0.8720833333333333,0.96,0.965666651725769,0.9975,0.8799999952316284,0.925,0.5,0
MTL0.8,1,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.25,wv_3d_num_triplets,0.8974999785423279,0.9975000023841858,0.8958333333333334,0.9920833333333334,0.8358333333333334,0.9495833333333332,0.9606666564941406,0.995,0.8974999785423279,0.925,0.25,0
TN,0,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.5,wv_3d_num_triplets,0.8725000023841858,0.4350000023841858,0.8254166666666666,0.9954166666666668,0.74375,0.97,0.975000023841858,0.865,0.737500011920929,0.925,0.5,0
MTL0.8,0,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.5,wv_3d_num_triplets,0.875,0.9975000023841858,0.90125,0.9908333333333332,0.8479166666666668,0.9545833333333332,0.9616666436195374,0.9975,0.875,0.925,0.5,0
MTL0.2,0,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.5,wv_3d_num_triplets,0.8550000190734863,0.9975000023841858,0.9216666666666667,0.9933333333333336,0.8608333333333333,0.9616666666666668,0.9616666436195374,0.9925,0.8575000166893005,0.925,0.5,0
TN,1,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.25,wv_3d_num_triplets,0.8100000023841858,0.4025000035762787,0.7583333333333333,0.99375,0.6525,0.99,0.9660000205039978,0.9275,0.6349999904632568,0.925,0.25,0
MTL0.5,0,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.5,wv_3d_num_triplets,0.8849999904632568,0.9975000023841858,0.9170833333333334,0.9916666666666668,0.8595833333333335,0.9575,0.9636666774749756,0.9975,0.8824999928474426,0.925,0.5,0
MTL0.8,0,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.25,wv_3d_num_triplets,0.8650000095367432,0.9975000023841858,0.8820833333333334,0.97875,0.81875,0.9491666666666668,0.9359999895095824,1.0,0.8650000095367432,0.925,0.25,0
TN,0,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.25,wv_3d_num_triplets,0.8199999928474426,0.39500001072883606,0.7829166666666666,0.99,0.6779166666666668,0.995,0.9520000219345092,0.9775,0.6299999952316284,0.925,0.25,0
MTL0.5,1,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.25,wv_3d_num_triplets,0.875,0.9975000023841858,0.9066666666666668,0.9920833333333334,0.8566666666666668,0.9591666666666666,0.9559999704360962,0.9975,0.8774999976158142,0.925,0.25,0
MTL0.2,1,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.25,wv_3d_num_triplets,0.8475000262260437,0.9950000047683716,0.9054166666666666,0.9954166666666668,0.8504166666666667,0.96625,0.9586666822433472,0.995,0.8424999713897705,0.925,0.25,0
TN,1,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.125,wv_3d_num_triplets,0.8174999952316284,0.4724999964237213,0.7304166666666667,0.9933333333333336,0.6320833333333333,0.98375,0.9480000138282776,0.955,0.6524999737739563,0.925,0.125,0
MTL0.2,1,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.125,wv_3d_num_triplets,0.8799999952316284,0.9975000023841858,0.8858333333333333,0.9895833333333334,0.8179166666666666,0.9570833333333332,0.9453333616256714,0.9975,0.8799999952316284,0.925,0.125,0
MTL0.8,1,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.125,wv_3d_num_triplets,0.8799999952316284,0.9975000023841858,0.8770833333333333,0.99375,0.8108333333333334,0.9454166666666666,0.946666657924652,1.0,0.8774999976158142,0.925,0.125,0
MTL0.5,1,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.125,wv_3d_num_triplets,0.8725000023841858,0.9975000023841858,0.8616666666666667,0.9891666666666667,0.7875000000000001,0.94,0.9386666417121888,0.9975,0.8725000023841858,0.925,0.125,0
MTL0.5,0,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.25,wv_3d_num_triplets,0.8899999856948853,0.9950000047683716,0.89125,0.9841666666666664,0.8312499999999999,0.95,0.9506666660308838,0.995,0.8899999856948853,0.925,0.25,0
MTL0.2,0,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.25,wv_3d_num_triplets,0.8324999809265137,0.9950000047683716,0.8983333333333333,0.9925,0.8325,0.9670833333333334,0.9413333535194396,0.9925,0.8349999785423279,0.925,0.25,0
TN,0,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.125,wv_3d_num_triplets,0.8299999833106995,0.4375,0.7745833333333333,0.9870833333333334,0.6779166666666666,0.9608333333333332,0.9426666498184204,0.9525,0.6499999761581421,0.925,0.125,0
MTL0.8,1,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.0625,wv_3d_num_triplets,0.9300000071525574,0.9975000023841858,0.8629166666666667,0.9720833333333334,0.7766666666666667,0.9458333333333334,0.9173333048820496,0.995,0.9300000071525574,0.925,0.0625,0
MTL0.2,0,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.125,wv_3d_num_triplets,0.8600000143051147,0.9950000047683716,0.8720833333333333,0.9904166666666666,0.8008333333333333,0.95375,0.9520000219345092,1.0,0.8600000143051147,0.925,0.125,0
MTL0.8,0,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.125,wv_3d_num_triplets,0.9350000023841858,1.0,0.8729166666666667,0.985,0.8058333333333333,0.9433333333333334,0.9120000004768372,1.0,0.9350000023841858,0.925,0.125,0
MTL0.5,1,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.0625,wv_3d_num_triplets,0.8475000262260437,0.9950000047683716,0.8658333333333333,0.9808333333333332,0.7970833333333333,0.9508333333333332,0.959999978542328,0.9975,0.8475000262260437,0.925,0.0625,0
MTL0.2,1,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.0625,wv_3d_num_triplets,0.8650000095367432,0.9975000023841858,0.84875,0.9820833333333332,0.7804166666666666,0.9408333333333334,0.9279999732971193,0.995,0.8675000071525574,0.925,0.0625,0
MTL0.5,0,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.125,wv_3d_num_triplets,0.9049999713897704,0.9975000023841858,0.88,0.9904166666666666,0.8150000000000001,0.955,0.946666657924652,1.0,0.9024999737739564,0.925,0.125,0
TN,1,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.0625,wv_3d_num_triplets,0.8399999737739563,0.4625000059604645,0.6941666666666667,0.9929166666666668,0.5770833333333334,0.9820833333333332,0.9413333535194396,0.99,0.699999988079071,0.925,0.0625,0
MTL0.8,0,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.0625,wv_3d_num_triplets,0.8774999976158142,0.9950000047683716,0.84,0.98,0.7575,0.9508333333333332,0.9226666688919068,0.995,0.8774999976158142,0.925,0.0625,0
MTL0.5,0,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.0625,wv_3d_num_triplets,0.9075000286102296,1.0,0.8529166666666667,0.9695833333333334,0.77,0.945,0.9200000166893004,0.9975,0.9075000286102296,0.925,0.0625,0
MTL0.2,0,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.0625,wv_3d_num_triplets,0.8475000262260437,0.9900000095367432,0.8574999999999999,0.9770833333333332,0.7754166666666666,0.94125,0.944000005722046,0.9975,0.8450000286102295,0.925,0.0625,0
TN,0,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.0625,wv_3d_num_triplets,0.8299999833106995,0.28999999165534973,0.7208333333333333,0.9891666666666667,0.5966666666666667,0.9741666666666666,0.959999978542328,0.98,0.6299999952316284,0.925,0.0625,0
TN,1,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.03125,wv_3d_num_triplets,0.8550000190734863,0.5099999904632568,0.6862499999999999,0.9941666666666666,0.5683333333333334,0.9716666666666668,0.96256685256958,0.9875,0.7325000166893005,0.925,0.03125,0
MTL0.8,1,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.03125,wv_3d_num_triplets,0.9024999737739564,0.9975000023841858,0.8154166666666667,0.95375,0.71875,0.9183333333333332,0.9144384860992432,1.0,0.9024999737739564,0.925,0.03125,0
MTL0.8,1,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.0078125,wv_3d_num_triplets,0.8824999928474426,0.9975000023841858,0.7804166666666666,0.9558333333333334,0.6670833333333333,0.89875,0.760869562625885,0.9975,0.8824999928474426,0.925,0.0078125,0
TN,1,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.015625,wv_3d_num_triplets,0.8274999856948853,0.3675000071525574,0.6549999999999999,0.9916666666666668,0.5154166666666666,0.9741666666666666,0.9354838728904724,0.995,0.6000000238418579,0.925,0.015625,0
MTL0.2,1,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.015625,wv_3d_num_triplets,0.8199999928474426,0.987500011920929,0.7941666666666666,0.9729166666666668,0.6883333333333334,0.9358333333333334,0.8709677457809448,0.9975,0.8174999952316284,0.925,0.015625,0
MTL0.5,1,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.015625,wv_3d_num_triplets,0.8700000047683716,0.9950000047683716,0.7945833333333333,0.97375,0.6862499999999999,0.9275,0.8387096524238586,0.9975,0.8675000071525574,0.925,0.015625,0
MTL0.8,1,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.015625,wv_3d_num_triplets,0.8849999904632568,0.9975000023841858,0.7833333333333333,0.96,0.6529166666666666,0.9041666666666668,0.8172042965888977,0.9975,0.8849999904632568,0.925,0.015625,0
TN,1,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.0078125,wv_3d_num_triplets,0.8500000238418579,0.5674999952316284,0.6437499999999999,0.9779166666666668,0.5183333333333333,0.9445833333333332,0.8260869383811951,0.995,0.7149999737739563,0.925,0.0078125,0
MTL0.5,1,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.03125,wv_3d_num_triplets,0.8974999785423279,0.9975000023841858,0.8308333333333332,0.98,0.7358333333333333,0.9341666666666668,0.9144384860992432,0.9975,0.8974999785423279,0.925,0.03125,0
MTL0.2,1,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.03125,wv_3d_num_triplets,0.8675000071525574,0.9950000047683716,0.8583333333333334,0.9741666666666668,0.76125,0.9383333333333334,0.9197860956192015,0.9975,0.8650000095367432,0.925,0.03125,0
TN,0,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.03125,wv_3d_num_triplets,0.824999988079071,0.3375000059604645,0.7025,0.98375,0.5695833333333333,0.9625,0.9465240836143494,0.9925,0.5699999928474426,0.925,0.03125,0
MTL0.8,0,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.03125,wv_3d_num_triplets,0.8924999833106995,0.9950000047683716,0.8291666666666666,0.9779166666666668,0.7270833333333333,0.9245833333333334,0.9411764740943908,1.0,0.887499988079071,0.925,0.03125,0
MTL0.2,1,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.0078125,wv_3d_num_triplets,0.8600000143051147,0.9950000047683716,0.7683333333333332,0.9454166666666666,0.6695833333333333,0.9054166666666666,0.760869562625885,1.0,0.8600000143051147,0.925,0.0078125,0
MTL0.5,1,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.0078125,wv_3d_num_triplets,0.9225000143051147,1.0,0.7941666666666666,0.9291666666666668,0.68125,0.8825,0.760869562625885,0.9975,0.9225000143051147,0.925,0.0078125,0
MTL0.8,0,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.0078125,wv_3d_num_triplets,0.9549999833106996,1.0,0.7725,0.8808333333333334,0.67875,0.8133333333333334,0.804347813129425,1.0,0.9549999833106996,0.925,0.0078125,0
MTL0.8,0,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.015625,wv_3d_num_triplets,0.8899999856948853,0.9975000023841858,0.7820833333333334,0.9420833333333332,0.65875,0.8916666666666666,0.8817204236984253,0.9975,0.8899999856948853,0.925,0.015625,0
MTL0.5,0,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.03125,wv_3d_num_triplets,0.912500023841858,0.9975000023841858,0.8333333333333334,0.9808333333333332,0.7516666666666666,0.9383333333333334,0.9465240836143494,1.0,0.912500023841858,0.925,0.03125,0
MTL0.5,0,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.015625,wv_3d_num_triplets,0.8799999952316284,0.9925000071525574,0.78125,0.9583333333333334,0.6754166666666667,0.9241666666666668,0.9139785170555116,0.9975,0.8725000023841858,0.925,0.015625,0
MTL0.2,0,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.015625,wv_3d_num_triplets,0.8475000262260437,0.9925000071525574,0.8279166666666665,0.9733333333333332,0.7233333333333333,0.9379166666666668,0.8709677457809448,0.9975,0.8475000262260437,0.925,0.015625,0
