wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d,RESN_d=512,RESN,4,"[0, 0, 1, 1]",512,1.0,0.995,0.49183333,0.995,0.59525,0.59525,0.7775,0.78,0.6925,0.7225,0.7225,0.675,0.7225,0.7225,0.6425
wv_3d,RESN_d=512,RESN,3,"[0, 0, 1, 1]",512,1.0,0.9975,0.5031667,0.9975,0.6290000000000001,0.6290000000000001,0.745,0.745,0.6875,0.65,0.65,0.65,0.635,0.6375,0.6575
wv_3d,RESN_d=512,RESN,2,"[0, 0, 1, 1]",512,1.0,0.995,0.49233332,0.9975,0.57675,0.57675,0.815,0.815,0.705,0.6575,0.6575,0.6625,0.6375,0.6375,0.635
wv_3d,RESN_d=512,RESN,0,"[0, 0, 1, 1]",512,1.0,0.9975,0.49366665,0.9975,0.58275,0.58275,0.6975,0.6975,0.7425,0.6525,0.6525,0.685,0.7025,0.7025,0.6625
wv_3d,RESN_d=512,RESN,1,"[0, 0, 1, 1]",512,1.0,1.0,0.49433333,1.0,0.586,0.586,0.73,0.73,0.6925,0.6425,0.6425,0.76,0.6375,0.6375,0.7475
wv_3d,align=0.5_filtered,TN,0,"[0, 0, 1, 1]",50,0.0,0.5325,0.9687783,0.995,0.921,0.8877499999999999,0.6775,0.6775,1.0,0.6475,0.65,1.0,0.615,0.6175,1.0
wv_3d,align=0.5_filtered,MTL0.8,0,"[0, 0, 1, 1]",50,0.8,0.995,0.959276,0.995,0.91,0.88175,0.76,0.7625,1.0,0.69,0.69,1.0,0.7025,0.7025,1.0
wv_3d,align=0.5_filtered,MTL0.5,0,"[0, 0, 1, 1]",50,0.5,0.995,0.95678735,0.995,0.91775,0.8765000000000001,0.8175,0.8175,1.0,0.695,0.7,1.0,0.6475,0.6525,1.0
wv_3d,align=0.5_filtered,MTL0.2,0,"[0, 0, 1, 1]",50,0.2,0.995,0.949095,0.995,0.9065,0.8787500000000001,0.6725,0.6725,1.0,0.6825,0.6825,1.0,0.625,0.625,1.0
wv_3d,align=0.5,MTL0.2,0,"[0, 0, 1, 1]",50,0.2,0.9875,0.9711667,0.995,0.93,0.8934999999999998,0.5375,0.5375,1.0,0.5475,0.5475,1.0,0.575,0.575,1.0
