name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
TN,2,"[1, 1, 1, 1]",True,512,0.0,align=1_filtered,wv_3d_square_aligns,1.0,0.3449999988079071,0.38125,0.99375,0.971268117427826,0.3449999988079071,1.0,0.4675000011920929,1.0
MTL0.5,2,"[256, 1, 256, 256]",True,512,0.5,align=0.925_filtered,wv_3d_square_aligns,0.9375,0.9950000047683716,0.8424999999999999,0.9583333333333334,0.9731891751289368,0.9950000047683716,0.995,0.9375,0.925
TN,2,"[256, 1, 256, 256]",True,512,0.0,align=0.925_filtered,wv_3d_square_aligns,0.9424999952316284,0.5325000286102295,0.6741666666666667,0.9891666666666667,0.9764324426651,0.5325000286102295,0.995,0.5224999785423279,0.925
TN,1,"[1, 1, 1, 1]",True,512,0.0,align=1_filtered,wv_3d_square_aligns,1.0,0.4625000059604645,0.4975,0.9858333333333332,0.9656513333320618,0.4625000059604645,0.9975,0.48750001192092896,1.0
MTL0.5,2,"[1, 256, 256, 256]",True,512,0.5,align=0.92_filtered,wv_3d_square_aligns,0.9075000286102296,0.9975000023841858,0.8758333333333334,0.9504166666666668,0.97420334815979,0.9975000023841858,0.9975,0.9075000286102296,0.92
MTL0.8,2,"[1, 256, 256, 256]",True,512,0.8,align=0.92_filtered,wv_3d_square_aligns,0.9649999737739564,1.0,0.8645833333333334,0.94125,0.9687839150428772,1.0,1.0,0.9649999737739564,0.92
MTL0.8,2,"[1, 1, 1, 1]",True,512,0.8,align=1_filtered,wv_3d_square_aligns,1.0,0.9950000047683716,0.84375,0.9658333333333332,0.9706200361251832,0.9950000047683716,0.995,1.0,1.0
MTL0.5,2,"[1, 1, 1, 1]",True,512,0.5,align=1_filtered,wv_3d_square_aligns,1.0,0.9950000047683716,0.8554166666666667,0.9758333333333334,0.965219259262085,0.9950000047683716,0.9975,1.0,1.0
MTL0.2,2,"[1, 1, 1, 1]",True,512,0.2,align=1_filtered,wv_3d_square_aligns,1.0,0.9950000047683716,0.8445833333333334,0.97,0.971268117427826,0.9950000047683716,0.995,1.0,1.0
MTL0.8,2,"[256, 1, 256, 256]",True,512,0.8,align=0.925_filtered,wv_3d_square_aligns,0.949999988079071,0.9975000023841858,0.8733333333333334,0.9625,0.9751351475715636,0.9975000023841858,0.995,0.949999988079071,0.925
MTL0.2,2,"[1, 256, 256, 256]",True,512,0.2,align=0.92_filtered,wv_3d_square_aligns,0.9549999833106996,0.9975000023841858,0.8850000000000001,0.95375,0.974420130252838,0.9975000023841858,0.9975,0.9549999833106996,0.92
TN,2,"[1, 256, 256, 256]",True,512,0.0,align=0.92_filtered,wv_3d_square_aligns,0.9474999904632568,0.3199999928474426,0.5708333333333333,0.9966666666666668,0.9768046736717224,0.3199999928474426,0.995,0.3075000047683716,0.92
MTL0.5,1,"[256, 1, 256, 256]",True,512,0.5,align=0.925_filtered,wv_3d_square_aligns,0.9399999976158142,0.9975000023841858,0.8408333333333333,0.96625,0.9792432188987732,0.9975000023841858,1.0,0.9399999976158142,0.925
TN,1,"[256, 1, 256, 256]",True,512,0.0,align=0.925_filtered,wv_3d_square_aligns,0.9375,0.625,0.7158333333333333,0.99125,0.9798918962478638,0.625,0.9975,0.5975000262260437,0.925
MTL0.5,1,"[1, 1, 1, 1]",True,512,0.5,align=1_filtered,wv_3d_square_aligns,1.0,0.9950000047683716,0.8395833333333332,0.9720833333333332,0.9725642800331116,0.9950000047683716,1.0,1.0,1.0
MTL0.8,1,"[1, 1, 1, 1]",True,512,0.8,align=1_filtered,wv_3d_square_aligns,0.9975000023841858,0.9975000023841858,0.8387500000000001,0.9741666666666668,0.9688917994499208,0.9975000023841858,0.9975,0.9975000023841858,1.0
MTL0.8,1,"[1, 256, 256, 256]",True,512,0.8,align=0.92_filtered,wv_3d_square_aligns,0.949999988079071,0.9975000023841858,0.8666666666666667,0.9345833333333332,0.9627140760421752,0.9975000023841858,0.995,0.9474999904632568,0.92
MTL0.5,1,"[1, 256, 256, 256]",True,512,0.5,align=0.92_filtered,wv_3d_square_aligns,0.915000021457672,0.9925000071525574,0.8929166666666667,0.9604166666666668,0.9729027152061462,0.9925000071525574,1.0,0.9100000262260436,0.92
MTL0.2,1,"[1, 1, 1, 1]",True,512,0.2,align=1_filtered,wv_3d_square_aligns,1.0,1.0,0.86125,0.9795833333333334,0.9684597253799438,1.0,1.0,1.0,1.0
MTL0.8,1,"[256, 1, 256, 256]",True,512,0.8,align=0.925_filtered,wv_3d_square_aligns,0.9375,0.9950000047683716,0.8579166666666667,0.9654166666666666,0.9718918800354004,0.9950000047683716,0.995,0.9375,0.925
MTL0.2,1,"[1, 256, 256, 256]",True,512,0.2,align=0.92_filtered,wv_3d_square_aligns,0.9574999809265136,0.9975000023841858,0.8891666666666667,0.9429166666666668,0.97246915102005,0.9975000023841858,1.0,0.9574999809265136,0.92
TN,0,"[1, 1, 1, 1]",True,512,0.0,align=1_filtered,wv_3d_square_aligns,1.0,0.612500011920929,0.56125,0.9791666666666666,0.971700131893158,0.612500011920929,0.9975,0.6850000023841858,1.0
MTL0.5,2,"[0, 1, 1, 1]",True,512,0.5,align=0.83_filtered,wv_3d_square_aligns,0.9275000095367432,0.9975000023841858,0.8724999999999999,0.915,0.9757511019706726,0.9975000023841858,1.0,0.9275000095367432,0.83
TN,1,"[1, 256, 256, 256]",True,512,0.0,align=0.92_filtered,wv_3d_square_aligns,0.9200000166893004,0.27250000834465027,0.5499999999999999,0.9866666666666668,0.9746369123458862,0.27250000834465027,0.995,0.27250000834465027,0.92
MTL0.2,2,"[256, 1, 256, 256]",True,512,0.2,align=0.925_filtered,wv_3d_square_aligns,0.9574999809265136,1.0,0.8745833333333333,0.9666666666666668,0.9723243117332458,1.0,0.995,0.9574999809265136,0.925
MTL0.8,2,"[1, 0, 1, 1]",True,512,0.8,align=0.8_filtered,wv_3d_square_aligns,0.9325000047683716,0.9950000047683716,0.89125,0.9708333333333332,0.977489173412323,0.9950000047683716,0.995,0.9325000047683716,0.8
MTL0.8,2,"[0, 1, 1, 1]",True,512,0.8,align=0.83_filtered,wv_3d_square_aligns,0.9350000023841858,0.9975000023841858,0.9141666666666668,0.9358333333333334,0.974678099155426,0.9975000023841858,0.9975,0.9350000023841858,0.83
MTL0.5,2,"[1, 0, 1, 1]",True,512,0.5,align=0.8_filtered,wv_3d_square_aligns,0.9225000143051147,0.9975000023841858,0.8841666666666667,0.97375,0.978787899017334,0.9975000023841858,0.9975,0.9225000143051147,0.8
MTL0.2,2,"[1, 0, 1, 1]",True,512,0.2,align=0.8_filtered,wv_3d_square_aligns,0.9175000190734864,0.9950000047683716,0.8804166666666666,0.9729166666666668,0.9772727489471436,0.9950000047683716,0.995,0.9175000190734864,0.8
MTL0.5,2,"[0, 0, 1, 1]",True,512,0.5,align=0.5_filtered,wv_3d_square_aligns,0.8174999952316284,0.9975000023841858,0.9070833333333334,0.88875,0.9692307710647584,0.9975000023841858,0.9975,0.8174999952316284,0.5
MTL0.2,2,"[0, 1, 1, 1]",True,512,0.2,align=0.83_filtered,wv_3d_square_aligns,0.9449999928474426,1.0,0.9041666666666668,0.945,0.975321888923645,1.0,0.9975,0.9449999928474426,0.83
MTL0.8,2,"[0, 0, 1, 1]",True,512,0.8,align=0.5_filtered,wv_3d_square_aligns,0.7250000238418579,1.0,0.88125,0.9229166666666666,0.9699094891548156,1.0,0.995,0.7250000238418579,0.5
TN,2,"[1, 0, 1, 1]",True,512,0.0,align=0.8_filtered,wv_3d_square_aligns,0.925000011920929,0.25999999046325684,0.5625,0.9983333333333334,0.9742424488067628,0.25999999046325684,0.995,0.23999999463558197,0.8
TN,2,"[0, 1, 1, 1]",True,512,0.0,align=0.83_filtered,wv_3d_square_aligns,0.9024999737739564,0.3824999928474426,0.6404166666666666,0.99125,0.9763948321342468,0.3824999928474426,1.0,0.35499998927116394,0.83
TN,2,"[0, 0, 1, 1]",True,512,0.0,align=0.5_filtered,wv_3d_square_aligns,0.6399999856948853,0.4099999964237213,0.87875,0.94875,0.9703620076179504,0.4099999964237213,0.9975,0.32499998807907104,0.5
TN,0,"[256, 1, 256, 256]",True,512,0.0,align=0.925_filtered,wv_3d_square_aligns,0.9225000143051147,0.4600000083446502,0.62875,0.97625,0.9718918800354004,0.4600000083446502,0.995,0.48750001192092896,0.925
