,name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
55,MTL0.5,2,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.7,wv_3d_square_noisy,0.7425000071525574,0.6675000190734863,0.35000000000000003,0.4804166666666667,0.4898333251476288,0.9925000071525574,0.9975,0.7400000095367432,0.925,0.7
68,MTL0.5,2,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.8,wv_3d_square_noisy,0.7250000238418579,0.637499988079071,0.3675,0.5108333333333334,0.5118333101272583,0.9925000071525574,1.0,0.7250000238418579,0.925,0.8
70,MTL0.8,2,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.8,wv_3d_square_noisy,0.762499988079071,0.7124999761581421,0.41041666666666665,0.48875,0.5068333148956299,0.9925000071525574,0.9975,0.762499988079071,0.925,0.8
72,TN,2,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.8,wv_3d_square_noisy,0.737500011920929,0.6324999928474426,0.18666666666666668,0.6325,0.5055000185966492,0.4600000083446502,0.945,0.6700000166893005,0.925,0.8
73,MTL0.2,2,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.8,wv_3d_square_noisy,0.7975000143051147,0.6775000095367432,0.3854166666666667,0.45458333333333334,0.5049999952316284,0.9950000047683716,1.0,0.7975000143051147,0.925,0.8
78,MTL0.8,2,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.7,wv_3d_square_noisy,0.7724999785423279,0.6499999761581421,0.3629166666666666,0.42416666666666664,0.49816665053367615,0.9975000023841858,1.0,0.7724999785423279,0.925,0.7
81,TN,2,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.7,wv_3d_square_noisy,0.6424999833106995,0.6274999976158142,0.23375,0.59625,0.4931666553020478,0.4600000083446502,0.9475,0.637499988079071,0.925,0.7
86,TN,2,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.6,wv_3d_square_noisy,0.6700000166893005,0.7325000166893005,0.2004166666666667,0.6108333333333333,0.49683332443237305,0.4600000083446502,0.9825,0.612500011920929,0.925,0.6
87,MTL0.2,2,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.7,wv_3d_square_noisy,0.75,0.699999988079071,0.37749999999999995,0.5216666666666666,0.5026666522026062,0.9975000023841858,1.0,0.75,0.925,0.7
92,MTL0.5,1,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.7,wv_3d_square_noisy,0.7450000047683716,0.6225000023841858,0.3508333333333334,0.5333333333333333,0.48749998211860657,0.9950000047683716,0.995,0.7450000047683716,0.925,0.7
93,MTL0.8,2,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.6,wv_3d_square_noisy,0.6675000190734863,0.7174999713897705,0.34958333333333336,0.6279166666666667,0.5013333559036255,0.9950000047683716,0.9975,0.6650000214576721,0.925,0.6
94,MTL0.5,1,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.8,wv_3d_square_noisy,0.7549999952316284,0.6949999928474426,0.36375,0.47666666666666674,0.4925000071525574,0.9950000047683716,1.0,0.75,0.925,0.8
97,TN,1,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.8,wv_3d_square_noisy,0.7225000262260437,0.5975000262260437,0.20875,0.5929166666666666,0.5101666450500488,0.5400000214576721,0.9325,0.6200000047683716,0.925,0.8
99,MTL0.8,1,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.8,wv_3d_square_noisy,0.8299999833106995,0.7599999904632568,0.4404166666666667,0.535,0.515333354473114,1.0,1.0,0.8299999833106995,0.925,0.8
104,MTL0.2,1,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.8,wv_3d_square_noisy,0.675000011920929,0.625,0.3116666666666667,0.4770833333333333,0.4961666464805603,0.9975000023841858,1.0,0.675000011920929,0.925,0.8
106,TN,1,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.7,wv_3d_square_noisy,0.6924999952316284,0.6650000214576721,0.22166666666666668,0.6441666666666667,0.4976666569709778,0.45500001311302185,0.965,0.6424999833106995,0.925,0.7
107,MTL0.8,1,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.7,wv_3d_square_noisy,0.6949999928474426,0.6399999856948853,0.2933333333333333,0.4941666666666667,0.49816665053367615,0.9975000023841858,0.9975,0.6949999928474426,0.925,0.7
109,MTL0.2,1,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.7,wv_3d_square_noisy,0.7225000262260437,0.6225000023841858,0.31666666666666665,0.5395833333333334,0.4950000047683716,0.9925000071525574,1.0,0.7174999713897705,0.925,0.7
110,MTL0.2,2,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.6,wv_3d_square_noisy,0.7275000214576721,0.6949999928474426,0.33208333333333334,0.4883333333333333,0.49933332204818726,0.9975000023841858,0.995,0.7275000214576721,0.925,0.6
111,MTL0.5,2,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.6,wv_3d_square_noisy,0.7749999761581421,0.7475000023841858,0.365,0.4424999999999999,0.49916666746139526,0.987500011920929,0.995,0.7749999761581421,0.925,0.6
113,MTL0.8,2,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.5,wv_3d_square_noisy,0.9474999904632568,0.949999988079071,0.4895833333333333,0.5416666666666666,0.4984999895095825,0.9975000023841858,0.9975,0.9474999904632568,0.925,0.5
114,TN,1,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.6,wv_3d_square_noisy,0.6650000214576721,0.5249999761581421,0.21624999999999997,0.5475,0.5036666393280029,0.5400000214576721,0.98,0.6075000166893005,0.925,0.6
115,MTL0.2,2,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.5,wv_3d_square_noisy,0.9399999976158142,0.975000023841858,0.5383333333333332,0.5874999999999999,0.5013333559036255,0.9975000023841858,1.0,0.9399999976158142,0.925,0.5
117,MTL0.5,2,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.5,wv_3d_square_noisy,0.8500000238418579,0.9474999904632568,0.49041666666666667,0.6116666666666667,0.5034999847412109,0.9925000071525574,0.995,0.8500000238418579,0.925,0.5
120,TN,0,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.8,wv_3d_square_noisy,0.7149999737739563,0.6575000286102295,0.20958333333333337,0.6616666666666666,0.5009999871253967,0.4600000083446502,0.9775,0.6424999833106995,0.925,0.8
121,TN,2,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.5,wv_3d_square_noisy,0.8575000166893005,0.5525000095367432,0.3429166666666667,0.875,0.5018333196640015,0.4600000083446502,0.9975,0.6449999809265137,0.925,0.5
122,MTL0.8,0,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.8,wv_3d_square_noisy,0.75,0.6200000047683716,0.3754166666666667,0.45166666666666666,0.5008333325386047,0.9925000071525574,0.995,0.7475000023841858,0.925,0.8
123,MTL0.5,0,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.8,wv_3d_square_noisy,0.7275000214576721,0.6625000238418579,0.37833333333333335,0.4791666666666667,0.5023333430290222,0.9975000023841858,0.9975,0.7250000238418579,0.925,0.8
124,TN,2,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.4,wv_3d_square_noisy,0.7850000262260437,0.4600000083446502,0.4716666666666667,0.94875,0.5759999752044678,0.4600000083446502,0.99,0.6675000190734863,0.925,0.4
125,MTL0.8,2,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.4,wv_3d_square_noisy,0.800000011920929,0.9975000023841858,0.6145833333333333,0.9270833333333334,0.5788333415985107,0.9975000023841858,1.0,0.8025000095367432,0.925,0.4
126,TN,0,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.7,wv_3d_square_noisy,0.75,0.6399999856948853,0.24291666666666667,0.6737500000000001,0.5023333430290222,0.4600000083446502,0.97,0.6924999952316284,0.925,0.7
127,MTL0.2,0,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.8,wv_3d_square_noisy,0.8075000047683716,0.762499988079071,0.46,0.4995833333333333,0.49799999594688416,0.9925000071525574,1.0,0.8075000047683716,0.925,0.8
128,MTL0.8,1,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.6,wv_3d_square_noisy,0.7574999928474426,0.6825000047683716,0.33666666666666667,0.4304166666666666,0.4856666624546051,0.9975000023841858,0.9975,0.7574999928474426,0.925,0.6
129,MTL0.8,0,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.7,wv_3d_square_noisy,0.6949999928474426,0.6399999856948853,0.33625,0.45916666666666667,0.5026666522026062,0.9950000047683716,0.9975,0.6924999952316284,0.925,0.7
130,MTL0.5,0,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.7,wv_3d_square_noisy,0.7774999737739563,0.7124999761581421,0.3925,0.44416666666666665,0.49783334136009216,0.9975000023841858,0.9975,0.7774999737739563,0.925,0.7
131,MTL0.5,2,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.4,wv_3d_square_noisy,0.800000011920929,0.9975000023841858,0.5929166666666666,0.9470833333333334,0.57833331823349,0.9975000023841858,0.9975,0.800000011920929,0.925,0.4
132,MTL0.5,2,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.1,wv_3d_square_noisy,0.8799999952316284,0.9950000047683716,0.8420833333333334,0.9704166666666666,0.8531666398048401,0.9950000047683716,0.995,0.8799999952316284,0.925,0.1
133,MTL0.2,2,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.1,wv_3d_square_noisy,0.8675000071525574,0.9975000023841858,0.8583333333333334,0.9766666666666666,0.8513333201408386,0.9975000023841858,0.995,0.8675000071525574,0.925,0.1
