,name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
0,MTL0.2,2,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.8,wv_3d_square_noisy,0.6949999928474426,0.6875,0.3733333333333333,0.55875,0.668553352355957,0.9975000023841858,0.995,0.6949999928474426,0.925,0.8
1,MTL0.5,2,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.8,wv_3d_square_noisy,0.8424999713897705,0.6850000023841858,0.3720833333333333,0.32875000000000004,0.6710436940193176,0.9950000047683716,0.995,0.8424999713897705,0.925,0.8
2,MTL0.8,2,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.8,wv_3d_square_noisy,0.7975000143051147,0.6800000071525574,0.39208333333333334,0.4825,0.6699117422103882,1.0,1.0,0.7975000143051147,0.925,0.8
3,MTL0.8,2,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.5,wv_3d_square_noisy,0.8799999952316284,0.9725000262260436,0.5291666666666667,0.5391666666666667,0.6744081974029541,0.9975000023841858,0.9975,0.8799999952316284,0.925,0.5
4,TN,2,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.8,wv_3d_square_noisy,0.762499988079071,0.6100000143051147,0.1758333333333333,0.6541666666666667,0.6585918068885803,0.4600000083446502,1.0,0.38999998569488525,0.925,0.8
5,MTL0.8,2,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.7,wv_3d_square_noisy,0.7699999809265137,0.7275000214576721,0.3491666666666666,0.44916666666666666,0.6741877198219299,0.9950000047683716,1.0,0.7674999833106995,0.925,0.7
6,MTL0.5,2,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.7,wv_3d_square_noisy,0.7925000190734863,0.6675000190734863,0.37375,0.5283333333333333,0.6674187779426575,0.9975000023841858,0.995,0.7925000190734863,0.925,0.7
7,MTL0.2,2,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.7,wv_3d_square_noisy,0.8349999785423279,0.7524999976158142,0.39166666666666666,0.35833333333333334,0.673285186290741,1.0,0.9975,0.8349999785423279,0.925,0.7
8,TN,2,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.7,wv_3d_square_noisy,0.8274999856948853,0.5450000166893005,0.15458333333333332,0.7200000000000001,0.6626805067062378,0.20000000298023224,0.9975,0.1850000023841858,0.925,0.7
9,MTL0.8,2,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.6,wv_3d_square_noisy,0.7975000143051147,0.6399999856948853,0.3645833333333333,0.43166666666666664,0.6585912704467773,0.9975000023841858,0.9975,0.7975000143051147,0.925,0.6
10,MTL0.5,2,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.6,wv_3d_square_noisy,0.8224999904632568,0.8324999809265137,0.42166666666666663,0.5475,0.6628533005714417,0.9975000023841858,0.9975,0.8224999904632568,0.925,0.6
11,MTL0.2,2,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.6,wv_3d_square_noisy,0.6675000190734863,0.6399999856948853,0.32458333333333333,0.4475,0.6507402658462524,0.9975000023841858,0.9975,0.6675000190734863,0.925,0.6
12,TN,2,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.6,wv_3d_square_noisy,0.75,0.6025000214576721,0.22708333333333333,0.5808333333333333,0.6650964617729187,0.4600000083446502,0.9975,0.3975000083446502,0.925,0.6
13,MTL0.5,2,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.5,wv_3d_square_noisy,0.8399999737739563,0.9350000023841858,0.47875,0.66,0.6708351969718933,1.0,0.9975,0.8399999737739563,0.925,0.5
14,TN,2,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.4,wv_3d_square_noisy,0.875,0.47999998927116394,0.4225,0.8375,0.6960762739181519,0.4600000083446502,0.9975,0.44999998807907104,0.925,0.4
15,MTL0.8,1,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.8,wv_3d_square_noisy,0.7649999856948853,0.6899999976158142,0.3304166666666667,0.5308333333333334,0.6708173155784607,0.9925000071525574,0.995,0.762499988079071,0.925,0.8
16,TN,1,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.8,wv_3d_square_noisy,0.5824999809265137,0.574999988079071,0.23375,0.6558333333333333,0.6667421460151672,0.5600000023841858,0.9975,0.30250000953674316,0.925,0.8
17,MTL0.2,2,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.5,wv_3d_square_noisy,0.915000021457672,0.9325000047683716,0.51875,0.6383333333333333,0.6697186231613159,0.9975000023841858,0.9975,0.915000021457672,0.925,0.5
18,MTL0.5,1,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.8,wv_3d_square_noisy,0.7850000262260437,0.7475000023841858,0.3700000000000001,0.5133333333333333,0.6737604737281799,0.9950000047683716,0.995,0.7850000262260437,0.925,0.8
19,MTL0.2,1,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.8,wv_3d_square_noisy,0.6075000166893005,0.6100000143051147,0.31916666666666665,0.6108333333333333,0.6744396686553955,0.9975000023841858,0.9975,0.6075000166893005,0.925,0.8
20,TN,2,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.5,wv_3d_square_noisy,0.8899999856948853,0.637499988079071,0.3333333333333333,0.6866666666666666,0.6694953441619873,0.4600000083446502,0.9975,0.4600000083446502,0.925,0.5
21,MTL0.8,1,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.7,wv_3d_square_noisy,0.8349999785423279,0.8974999785423279,0.4483333333333333,0.6441666666666667,0.6662905812263489,0.9975000023841858,0.9975,0.8349999785423279,0.925,0.7
22,TN,1,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.7,wv_3d_square_noisy,0.7850000262260437,0.6875,0.19291666666666665,0.5841666666666666,0.6658393740653992,0.5400000214576721,0.9925,0.38999998569488525,0.925,0.7
23,MTL0.5,1,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.7,wv_3d_square_noisy,0.8424999713897705,0.8149999976158142,0.46,0.49333333333333335,0.6753158569335938,0.9950000047683716,0.9975,0.8450000286102295,0.925,0.7
24,MTL0.8,1,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.5,wv_3d_square_noisy,0.8675000071525574,0.9300000071525574,0.5291666666666667,0.6866666666666666,0.6686020493507385,0.9950000047683716,0.995,0.8675000071525574,0.925,0.5
25,MTL0.2,1,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.7,wv_3d_square_noisy,0.7049999833106995,0.7699999809265137,0.39166666666666666,0.5845833333333333,0.6649368405342102,0.9975000023841858,0.9975,0.7049999833106995,0.925,0.7
26,TN,1,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.6,wv_3d_square_noisy,0.7450000047683716,0.6924999952316284,0.3416666666666666,0.52,0.6689098477363586,0.9075000286102296,1.0,0.6800000071525574,0.925,0.6
27,MTL0.5,1,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.6,wv_3d_square_noisy,0.7174999713897705,0.7350000143051147,0.34,0.5416666666666666,0.6552265882492065,0.9950000047683716,0.9975,0.7200000286102295,0.925,0.6
28,MTL0.8,1,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.6,wv_3d_square_noisy,0.7774999737739563,0.7425000071525574,0.3991666666666666,0.48166666666666663,0.6561238169670105,1.0,1.0,0.7774999737739563,0.925,0.6
29,MTL0.2,1,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.6,wv_3d_square_noisy,0.6524999737739563,0.7524999976158142,0.35333333333333333,0.6154166666666666,0.6500672698020935,0.9975000023841858,0.9975,0.6524999737739563,0.925,0.6
30,TN,0,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.8,wv_3d_square_noisy,0.762499988079071,0.5425000190734863,0.18500000000000005,0.6179166666666666,0.6651573777198792,0.4600000083446502,0.9975,0.35249999165534973,0.925,0.8
31,MTL0.5,2,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.3,wv_3d_square_noisy,0.9200000166893004,0.9950000047683716,0.6895833333333333,0.8208333333333334,0.75,0.9950000047683716,0.995,0.9200000166893004,0.925,0.3
32,MTL0.2,2,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.3,wv_3d_square_noisy,0.9375,0.9950000047683716,0.7141666666666667,0.8850000000000001,0.7664762735366821,0.9950000047683716,0.995,0.9375,0.925,0.3
33,MTL0.5,1,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.5,wv_3d_square_noisy,0.8575000166893005,0.9375,0.4841666666666667,0.5554166666666667,0.6656990051269531,0.9975000023841858,0.9975,0.8575000166893005,0.925,0.5
34,MTL0.8,0,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.8,wv_3d_square_noisy,0.7599999904632568,0.5924999713897705,0.3433333333333333,0.4145833333333333,0.6730812788009644,0.9950000047683716,0.995,0.7599999904632568,0.925,0.8
35,TN,1,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.5,wv_3d_square_noisy,0.9100000262260436,0.5249999761581421,0.3416666666666666,0.7174999999999999,0.6730683445930481,0.45249998569488525,0.9975,0.4449999928474426,0.925,0.5
36,MTL0.2,1,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.5,wv_3d_square_noisy,0.8650000095367432,0.8725000023841858,0.43333333333333335,0.5495833333333333,0.662349283695221,0.9950000047683716,0.995,0.8650000095367432,0.925,0.5
37,TN,1,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.4,wv_3d_square_noisy,0.9075000286102296,0.375,0.355,0.9320833333333334,0.7027266621589661,0.3849999904632568,0.995,0.3474999964237213,0.925,0.4
38,MTL0.8,2,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.4,wv_3d_square_noisy,0.8675000071525574,0.9975000023841858,0.5783333333333333,0.8125,0.7056085467338562,0.9975000023841858,1.0,0.8675000071525574,0.925,0.4
