name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.2,2,"[0, 0, 1, 1]",False,512,0.2,align=0.5,wv_3d_square_aligns,0.5674999952316284,0.9950000047683716,0.9229166666666666,0.97125,0.977833330631256,0.9950000047683716,0.995,0.5674999952316284,0.5
MTL0.5,2,"[0, 0, 1, 1]",False,512,0.5,align=0.5,wv_3d_square_aligns,0.637499988079071,1.0,0.9116666666666666,0.9454166666666668,0.9683333039283752,1.0,0.9975,0.637499988079071,0.5
MTL0.8,2,"[0, 0, 1, 1]",False,512,0.8,align=0.5,wv_3d_square_aligns,0.5475000143051147,0.9975000023841858,0.9091666666666668,0.96625,0.9714999794960022,0.9975000023841858,0.9975,0.5475000143051147,0.5
MTL0.2,2,"[256, 1, 256, 256]",False,512,0.2,align=0.925,wv_3d_square_aligns,0.8475000262260437,1.0,0.8595833333333333,0.9875,0.9791666269302368,1.0,0.9975,0.8475000262260437,0.925
MTL0.5,2,"[1, 0, 1, 1]",False,512,0.5,align=0.8,wv_3d_square_aligns,0.7975000143051147,1.0,0.9116666666666666,0.98625,0.9806666374206544,1.0,0.995,0.800000011920929,0.8
MTL0.8,2,"[256, 1, 256, 256]",False,512,0.8,align=0.925,wv_3d_square_aligns,0.8824999928474426,0.9950000047683716,0.8745833333333334,0.98875,0.9748333096504213,0.9950000047683716,0.995,0.8824999928474426,0.925
MTL0.2,2,"[1, 256, 256, 256]",False,512,0.2,align=0.92,wv_3d_square_aligns,0.8799999952316284,0.9975000023841858,0.8895833333333334,0.98125,0.9661666750907898,0.9975000023841858,0.995,0.8799999952316284,0.92
MTL0.5,2,"[1, 256, 256, 256]",False,512,0.5,align=0.92,wv_3d_square_aligns,0.8675000071525574,0.9975000023841858,0.88375,0.9795833333333333,0.9706666469573976,0.9975000023841858,0.99,0.8700000047683716,0.92
MTL0.5,2,"[0, 1, 1, 1]",False,512,0.5,align=0.83,wv_3d_square_aligns,0.8100000023841858,0.9975000023841858,0.8962499999999999,0.9758333333333334,0.9693333506584167,0.9975000023841858,0.9975,0.8100000023841858,0.83
MTL0.8,2,"[0, 1, 1, 1]",False,512,0.8,align=0.83,wv_3d_square_aligns,0.8149999976158142,1.0,0.8979166666666666,0.9791666666666666,0.9710000157356262,1.0,0.9975,0.8174999952316284,0.83
MTL0.2,2,"[1, 0, 1, 1]",False,512,0.2,align=0.8,wv_3d_square_aligns,0.8050000071525574,0.9975000023841858,0.90875,0.9879166666666668,0.9791666269302368,0.9975000023841858,0.995,0.8075000047683716,0.8
MTL0.5,2,"[256, 1, 256, 256]",False,512,0.5,align=0.925,wv_3d_square_aligns,0.8500000238418579,1.0,0.8516666666666666,0.9879166666666668,0.972000002861023,1.0,0.9925,0.8525000214576721,0.925
TN,2,"[0, 0, 1, 1]",False,512,0.0,align=0.5,wv_3d_square_aligns,0.5649999976158142,0.5325000286102295,0.92375,0.9708333333333332,0.9743333458900452,0.5325000286102295,0.7925,0.5350000262260437,0.5
TN,2,"[1, 0, 1, 1]",False,512,0.0,align=0.8,wv_3d_square_aligns,0.7225000262260437,0.3149999976158142,0.7154166666666667,0.9975,0.9726666808128356,0.3149999976158142,0.7975,0.5924999713897705,0.8
TN,2,"[0, 1, 1, 1]",False,512,0.0,align=0.83,wv_3d_square_aligns,0.7799999713897705,0.4074999988079071,0.7358333333333333,0.9945833333333334,0.9788333177566528,0.4074999988079071,0.8375,0.612500011920929,0.83
TN,2,"[256, 1, 256, 256]",False,512,0.0,align=0.925,wv_3d_square_aligns,0.8224999904632568,0.4050000011920929,0.6879166666666667,0.9966666666666668,0.9701666831970216,0.4050000011920929,0.815,0.6524999737739563,0.925
