wandb_group,seed,weights,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc,align,name,filtered,embed_dim,lamda,wandb_project,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc
align=0.92,0,"[1, 1, 0, 0]",0.7,0.6975,0.95,0.92,RESN,,,,,,,,,,,
align=0.92,1,"[1, 1, 0, 0]",0.8175,0.8175,0.9075,0.92,RESN,,,,,,,,,,,
align=0.92,2,"[1, 1, 0, 0]",0.795,0.795,0.9525,0.92,RESN,,,,,,,,,,,
align=0.76,0,"[0, 1, 0, 0]",0.6675,0.6675,0.9275,0.76,RESN,,,,,,,,,,,
align=0.76,1,"[0, 1, 0, 0]",0.805,0.805,0.77,0.76,RESN,,,,,,,,,,,
align=0.76,2,"[0, 1, 0, 0]",0.73,0.725,0.7725,0.76,RESN,,,,,,,,,,,
align=0.85,0,"[1, 0, 0, 0]",0.61,0.6075,0.9325,0.85,RESN,,,,,,,,,,,
align=0.85,1,"[1, 0, 0, 0]",0.6375,0.6375,0.92,0.85,RESN,,,,,,,,,,,
align=0.85,2,"[1, 0, 0, 0]",0.7075,0.71,0.95,0.85,RESN,,,,,,,,,,,
align=0.9,0,"[1, 512, 0, 0]",0.6675,0.6675,0.9275,0.9,RESN,,,,,,,,,,,
align=0.9,1,"[1, 512, 0, 0]",0.805,0.805,0.7725,0.9,RESN,,,,,,,,,,,
align=0.9,2,"[1, 512, 0, 0]",0.73,0.725,0.7875,0.9,RESN,,,,,,,,,,,
align=0.94,0,"[1, 4, 0, 0]",0.7,0.6925,0.9375,0.94,RESN,,,,,,,,,,,
align=0.94,1,"[1, 4, 0, 0]",0.8225,0.8225,0.86,0.94,RESN,,,,,,,,,,,
align=0.94,2,"[1, 4, 0, 0]",0.7875,0.7825,0.9425,0.94,RESN,,,,,,,,,,,
