name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.2,2,"[1, 0, 0, 0]",True,50,0.2,align=0.85_filtered,wv_linear_sm_aligns,0.7674999833106995,0.9474999904632568,0.9,0.8850000000000001,0.8562500000000001,0.8566666666666668,0.9759299755096436,0.9474999904632568,0.945,0.7599999904632568,0.85
MTL0.8,2,"[1, 0, 0, 0]",True,50,0.8,align=0.85_filtered,wv_linear_sm_aligns,0.7649999856948853,0.949999988079071,0.8475,0.8245833333333333,0.7966666666666667,0.7833333333333333,0.969365417957306,0.949999988079071,0.94,0.7749999761581421,0.85
MTL0.5,2,"[1, 0, 0, 0]",True,50,0.5,align=0.85_filtered,wv_linear_sm_aligns,0.7649999856948853,0.949999988079071,0.8729166666666667,0.85875,0.8262499999999999,0.8266666666666667,0.9710065722465516,0.949999988079071,0.935,0.7649999856948853,0.85
MTL0.2,2,"[0, 1, 0, 0]",True,50,0.2,align=0.76_filtered,wv_linear_sm_aligns,0.7174999713897705,0.9325000047683716,0.8995833333333332,0.9283333333333332,0.84125,0.90125,0.9791130423545836,0.9325000047683716,0.9575,0.7275000214576721,0.76
MTL0.5,2,"[0, 1, 0, 0]",True,50,0.5,align=0.76_filtered,wv_linear_sm_aligns,0.7300000190734863,0.9674999713897704,0.8762500000000001,0.91,0.8224999999999999,0.8608333333333333,0.9722461104393004,0.9674999713897704,0.9375,0.7300000190734863,0.76
MTL0.8,2,"[0, 1, 0, 0]",True,50,0.8,align=0.76_filtered,wv_linear_sm_aligns,0.7925000190734863,0.949999988079071,0.8558333333333333,0.8683333333333333,0.8133333333333334,0.7941666666666668,0.9636624455451964,0.949999988079071,0.94,0.7925000190734863,0.76
TN,2,"[1, 0, 0, 0]",True,50,0.0,align=0.85_filtered,wv_linear_sm_aligns,0.7400000095367432,0.4699999988079071,0.8020833333333334,0.9045833333333334,0.745,0.8845833333333334,0.981400430202484,0.4699999988079071,0.905,0.6100000143051147,0.85
TN,2,"[0, 1, 0, 0]",True,50,0.0,align=0.76_filtered,wv_linear_sm_aligns,0.6549999713897705,0.22750000655651093,0.8225000000000001,0.9508333333333332,0.7087500000000001,0.9395833333333332,0.9759657382965088,0.22750000655651093,0.9125,0.45249998569488525,0.76
TN,2,"[1, 512, 0, 0]",True,50,0.0,align=0.9_filtered,wv_linear_sm_aligns,0.8050000071525574,0.5799999833106995,0.8970833333333333,0.9575,0.8195833333333334,0.94125,0.9796667695045472,0.5799999833106995,0.9475,0.7074999809265137,0.9
MTL0.5,2,"[1, 1, 0, 0]",True,50,0.5,align=0.92_filtered,wv_linear_sm_aligns,0.875,0.9375,0.9025,0.8733333333333334,0.8275,0.7991666666666667,0.9693986773490906,0.9375,0.9475,0.8824999928474426,0.92
MTL0.8,2,"[1, 1, 0, 0]",True,50,0.8,align=0.92_filtered,wv_linear_sm_aligns,0.8974999785423279,0.9524999856948853,0.8966666666666666,0.8475,0.7845833333333334,0.7512500000000001,0.9443853497505188,0.9524999856948853,0.94,0.9049999713897704,0.92
MTL0.2,2,"[1, 1, 0, 0]",True,50,0.2,align=0.92_filtered,wv_linear_sm_aligns,0.8799999952316284,0.959999978542328,0.9366666666666666,0.8937499999999999,0.8874999999999998,0.82875,0.9757850170135498,0.959999978542328,0.93,0.887499988079071,0.92
MTL0.8,2,"[1, 4, 0, 0]",True,50,0.8,align=0.94_filtered,wv_linear_sm_aligns,0.9175000190734864,0.9524999856948853,0.8925000000000001,0.8183333333333334,0.7970833333333335,0.7062499999999999,0.968724489212036,0.9524999856948853,0.9475,0.915000021457672,0.94
MTL0.5,2,"[1, 4, 0, 0]",True,50,0.5,align=0.94_filtered,wv_linear_sm_aligns,0.8700000047683716,0.9549999833106996,0.91625,0.8970833333333333,0.8325,0.8175,0.9692683815956116,0.9549999833106996,0.9425,0.8774999976158142,0.94
MTL0.2,2,"[1, 4, 0, 0]",True,50,0.2,align=0.94_filtered,wv_linear_sm_aligns,0.8849999904632568,0.9649999737739564,0.91625,0.9083333333333332,0.8504166666666667,0.8337499999999999,0.9749795794487,0.9649999737739564,0.93,0.887499988079071,0.94
MTL0.8,2,"[1, 512, 0, 0]",True,50,0.8,align=0.9_filtered,wv_linear_sm_aligns,0.8050000071525574,0.9574999809265136,0.86625,0.87125,0.79,0.7937500000000001,0.9672409296035768,0.9574999809265136,0.95,0.8149999976158142,0.9
MTL0.2,2,"[1, 512, 0, 0]",True,50,0.2,align=0.9_filtered,wv_linear_sm_aligns,0.7724999785423279,0.962499976158142,0.9179166666666668,0.945,0.8675,0.9195833333333332,0.9827732443809508,0.962499976158142,0.9375,0.7825000286102295,0.9
MTL0.5,2,"[1, 512, 0, 0]",True,50,0.5,align=0.9_filtered,wv_linear_sm_aligns,0.7925000190734863,0.9474999904632568,0.9045833333333334,0.9054166666666666,0.84125,0.8570833333333333,0.9728890657424928,0.9474999904632568,0.94,0.7925000190734863,0.9
TN,2,"[1, 1, 0, 0]",True,50,0.0,align=0.92_filtered,wv_linear_sm_aligns,0.8799999952316284,0.6675000190734863,0.8466666666666667,0.9083333333333332,0.7466666666666666,0.84,0.9776477217674256,0.6675000190734863,0.9275,0.7699999809265137,0.92
TN,2,"[1, 4, 0, 0]",True,50,0.0,align=0.94_filtered,wv_linear_sm_aligns,0.8999999761581421,0.4699999988079071,0.7616666666666667,0.9254166666666668,0.6533333333333333,0.8720833333333333,0.9741637110710144,0.4699999988079071,0.9375,0.7074999809265137,0.94
MTL0.2,1,"[1, 0, 0, 0]",True,50,0.2,align=0.85_filtered,wv_linear_sm_aligns,0.7350000143051147,0.9524999856948853,0.8816666666666667,0.8754166666666666,0.8341666666666666,0.8470833333333333,0.975382924079895,0.9524999856948853,0.9375,0.7425000071525574,0.85
MTL0.2,1,"[0, 1, 0, 0]",True,50,0.2,align=0.76_filtered,wv_linear_sm_aligns,0.737500011920929,0.9574999809265136,0.9070833333333334,0.9379166666666666,0.8529166666666668,0.9045833333333334,0.9779685735702516,0.9574999809265136,0.93,0.737500011920929,0.76
MTL0.8,1,"[1, 0, 0, 0]",True,50,0.8,align=0.85_filtered,wv_linear_sm_aligns,0.8125,0.9399999976158142,0.8608333333333333,0.8004166666666667,0.79625,0.7645833333333334,0.9781181812286376,0.9399999976158142,0.9425,0.8125,0.85
MTL0.5,1,"[1, 0, 0, 0]",True,50,0.5,align=0.85_filtered,wv_linear_sm_aligns,0.7350000143051147,0.9449999928474426,0.8870833333333333,0.8725,0.8325,0.8412499999999999,0.9819474816322328,0.9449999928474426,0.9425,0.737500011920929,0.85
MTL0.8,1,"[0, 1, 0, 0]",True,50,0.8,align=0.76_filtered,wv_linear_sm_aligns,0.7275000214576721,0.9225000143051147,0.8666666666666666,0.8929166666666667,0.8224999999999999,0.84375,0.970243275165558,0.9225000143051147,0.935,0.7275000214576721,0.76
MTL0.5,1,"[0, 1, 0, 0]",True,50,0.5,align=0.76_filtered,wv_linear_sm_aligns,0.7649999856948853,0.9474999904632568,0.8966666666666666,0.90875,0.8537500000000001,0.875,0.978826940059662,0.9474999904632568,0.93,0.7774999737739563,0.76
TN,1,"[1, 0, 0, 0]",True,50,0.0,align=0.85_filtered,wv_linear_sm_aligns,0.6949999928474426,0.4699999988079071,0.8241666666666667,0.9166666666666666,0.78125,0.8908333333333333,0.9819474816322328,0.4699999988079071,0.8575,0.5550000071525574,0.85
TN,1,"[0, 1, 0, 0]",True,50,0.0,align=0.76_filtered,wv_linear_sm_aligns,0.699999988079071,0.14000000059604645,0.8220833333333334,0.9591666666666666,0.7154166666666667,0.9516666666666668,0.9808297753334044,0.14000000059604645,0.925,0.4375,0.76
TN,1,"[1, 512, 0, 0]",True,50,0.0,align=0.9_filtered,wv_linear_sm_aligns,0.7649999856948853,0.125,0.7908333333333334,0.96375,0.6733333333333333,0.95625,0.9791019558906556,0.125,0.9325,0.45750001072883606,0.9
MTL0.5,1,"[1, 1, 0, 0]",True,50,0.5,align=0.92_filtered,wv_linear_sm_aligns,0.8650000095367432,0.9574999809265136,0.9133333333333334,0.8804166666666666,0.8395833333333332,0.7999999999999999,0.960351288318634,0.9574999809265136,0.945,0.8700000047683716,0.92
MTL0.2,1,"[1, 1, 0, 0]",True,50,0.2,align=0.92_filtered,wv_linear_sm_aligns,0.8725000023841858,0.9524999856948853,0.93625,0.9016666666666668,0.8775,0.8245833333333333,0.9701969623565674,0.9524999856948853,0.9325,0.8774999976158142,0.92
MTL0.8,1,"[1, 1, 0, 0]",True,50,0.8,align=0.92_filtered,wv_linear_sm_aligns,0.8725000023841858,0.9574999809265136,0.9104166666666668,0.8770833333333332,0.8141666666666666,0.7758333333333334,0.9427887797355652,0.9574999809265136,0.94,0.8824999928474426,0.92
MTL0.5,1,"[1, 4, 0, 0]",True,50,0.5,align=0.94_filtered,wv_linear_sm_aligns,0.8675000071525574,0.962499976158142,0.9075,0.89,0.82875,0.8033333333333333,0.9654609560966492,0.962499976158142,0.9325,0.8824999928474426,0.94
MTL0.8,1,"[1, 4, 0, 0]",True,50,0.8,align=0.94_filtered,wv_linear_sm_aligns,0.8799999952316284,0.9399999976158142,0.9045833333333334,0.7991666666666667,0.8008333333333333,0.7000000000000001,0.963557243347168,0.9399999976158142,0.9325,0.8824999928474426,0.94
MTL0.8,1,"[1, 512, 0, 0]",True,50,0.8,align=0.9_filtered,wv_linear_sm_aligns,0.7975000143051147,0.959999978542328,0.8579166666666668,0.85,0.7595833333333334,0.775,0.9748659133911132,0.959999978542328,0.9475,0.8025000095367432,0.9
MTL0.2,1,"[1, 4, 0, 0]",True,50,0.2,align=0.94_filtered,wv_linear_sm_aligns,0.8949999809265137,0.962499976158142,0.9425,0.8995833333333333,0.8845833333333334,0.8383333333333334,0.9793309569358826,0.962499976158142,0.925,0.9049999713897704,0.94
MTL0.5,1,"[1, 512, 0, 0]",True,50,0.5,align=0.9_filtered,wv_linear_sm_aligns,0.7925000190734863,0.9325000047683716,0.8962500000000001,0.935,0.8229166666666666,0.9104166666666668,0.981361210346222,0.9325000047683716,0.945,0.7900000214576721,0.9
MTL0.2,1,"[1, 512, 0, 0]",True,50,0.2,align=0.9_filtered,wv_linear_sm_aligns,0.7749999761581421,0.949999988079071,0.9054166666666666,0.9454166666666668,0.8454166666666666,0.9175,0.9793843626976012,0.949999988079071,0.9425,0.7724999785423279,0.9
TN,1,"[1, 1, 0, 0]",True,50,0.0,align=0.92_filtered,wv_linear_sm_aligns,0.8799999952316284,0.10499999672174454,0.5708333333333333,0.9854166666666668,0.4025,0.975,0.973922312259674,0.10499999672174454,0.9525,0.45249998569488525,0.92
TN,1,"[1, 4, 0, 0]",True,50,0.0,align=0.94_filtered,wv_linear_sm_aligns,0.8974999785423279,0.4449999928474426,0.7566666666666667,0.92625,0.6308333333333332,0.8725,0.9744356870651244,0.4449999928474426,0.935,0.6524999737739563,0.94
TN,0,"[1, 512, 0, 0]",True,50,0.0,align=0.9_filtered,wv_linear_sm_aligns,0.7574999928474426,0.8224999904632568,0.8995833333333333,0.95125,0.8379166666666666,0.9275,0.9771251082420348,0.8224999904632568,0.925,0.7475000023841858,0.9
TN,0,"[1, 0, 0, 0]",True,50,0.0,align=0.85_filtered,wv_linear_sm_aligns,0.7225000262260437,0.8700000047683716,0.8908333333333335,0.9041666666666668,0.8691666666666666,0.8858333333333333,0.985503315925598,0.8700000047683716,0.895,0.7225000262260437,0.85
MTL0.5,0,"[1, 0, 0, 0]",True,50,0.5,align=0.85_filtered,wv_linear_sm_aligns,0.7549999952316284,0.9524999856948853,0.8729166666666667,0.8475,0.8095833333333333,0.8141666666666666,0.9745623469352722,0.9524999856948853,0.9425,0.7574999928474426,0.85
MTL0.8,0,"[1, 0, 0, 0]",True,50,0.8,align=0.85_filtered,wv_linear_sm_aligns,0.7400000095367432,0.9424999952316284,0.8383333333333334,0.8116666666666666,0.7720833333333333,0.7654166666666667,0.9638949632644652,0.9424999952316284,0.94,0.7350000143051147,0.85
