name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
TN,2,"[1, 0, 1, 1]",True,50,0.0,align=0.84_p=0.8_filtered,wv_squarelin_noisy,0.6675000190734863,0.5699999928474426,0.3933333333333333,0.7266666666666667,0.31666666666666665,0.6841666666666667,0.6514225602149963,0.5099999904632568,0.975,0.5874999761581421,0.84,0.8
MTL0.8,2,"[1, 0, 1, 1]",True,50,0.8,align=0.84_p=0.8_filtered,wv_squarelin_noisy,0.7400000095367432,0.7049999833106995,0.5316666666666666,0.4108333333333334,0.45,0.3941666666666667,0.6458369493484497,0.9825000166893004,0.9775,0.7400000095367432,0.84,0.8
MTL0.8,2,"[1, 0, 1, 1]",True,50,0.8,align=0.84_p=0.7_filtered,wv_squarelin_noisy,0.7300000190734863,0.7300000190734863,0.45708333333333334,0.29583333333333334,0.37166666666666665,0.3383333333333333,0.6542007923126221,0.9700000286102296,0.975,0.7300000190734863,0.84,0.7
MTL0.5,2,"[1, 0, 1, 1]",True,50,0.5,align=0.84_p=0.7_filtered,wv_squarelin_noisy,0.6875,0.7450000047683716,0.52125,0.5454166666666667,0.4520833333333334,0.5341666666666667,0.6492486000061035,0.9800000190734864,0.975,0.6875,0.84,0.7
MTL0.5,2,"[1, 0, 1, 1]",True,50,0.5,align=0.84_p=0.8_filtered,wv_squarelin_noisy,0.699999988079071,0.6825000047683716,0.49499999999999994,0.3283333333333333,0.4304166666666666,0.36916666666666664,0.648280680179596,0.975000023841858,0.9775,0.6974999904632568,0.84,0.8
MTL0.2,2,"[1, 0, 1, 1]",True,50,0.2,align=0.84_p=0.8_filtered,wv_squarelin_noisy,0.7099999785423279,0.6274999976158142,0.5187499999999999,0.5958333333333333,0.4266666666666667,0.44416666666666665,0.6627683639526367,0.987500011920929,0.9775,0.7099999785423279,0.84,0.8
MTL0.2,2,"[1, 0, 1, 1]",True,50,0.2,align=0.84_p=0.7_filtered,wv_squarelin_noisy,0.7124999761581421,0.7275000214576721,0.5437500000000001,0.47833333333333333,0.48,0.49333333333333335,0.6506147384643555,0.9674999713897704,0.965,0.7099999785423279,0.84,0.7
MTL0.2,2,"[1, 0, 1, 1]",True,50,0.2,align=0.84_p=0.6_filtered,wv_squarelin_noisy,0.6775000095367432,0.7350000143051147,0.51625,0.5954166666666666,0.4529166666666667,0.5395833333333333,0.6528129577636719,0.9800000190734864,0.9825,0.6775000095367432,0.84,0.6
TN,2,"[1, 0, 1, 1]",True,50,0.0,align=0.84_p=0.7_filtered,wv_squarelin_noisy,0.7300000190734863,0.6474999785423279,0.35999999999999993,0.5916666666666667,0.30375,0.5804166666666667,0.6692281365394592,0.5099999904632568,0.9725,0.6474999785423279,0.84,0.7
MTL0.8,2,"[1, 0, 1, 1]",True,50,0.8,align=0.84_p=0.6_filtered,wv_squarelin_noisy,0.7225000262260437,0.7975000143051147,0.5641666666666666,0.6341666666666667,0.5041666666666667,0.62625,0.6568677425384521,0.977500021457672,0.985,0.7225000262260437,0.84,0.6
MTL0.5,2,"[1, 0, 1, 1]",True,50,0.5,align=0.84_p=0.6_filtered,wv_squarelin_noisy,0.7674999833106995,0.7024999856948853,0.5016666666666666,0.27,0.4145833333333333,0.37166666666666665,0.6463930010795593,0.9725000262260436,0.9725,0.7674999833106995,0.84,0.6
TN,1,"[1, 0, 1, 1]",True,50,0.0,align=0.84_p=0.8_filtered,wv_squarelin_noisy,0.6274999976158142,0.5299999713897705,0.41375,0.5791666666666666,0.3329166666666667,0.6687500000000001,0.650375247001648,0.5600000023841858,0.98,0.5249999761581421,0.84,0.8
TN,2,"[1, 0, 1, 1]",True,50,0.0,align=0.84_p=0.6_filtered,wv_squarelin_noisy,0.6399999856948853,0.5625,0.4183333333333334,0.7075,0.32583333333333336,0.70125,0.6594019532203674,0.5099999904632568,0.98,0.5400000214576721,0.84,0.6
MTL0.8,1,"[1, 0, 1, 1]",True,50,0.8,align=0.84_p=0.8_filtered,wv_squarelin_noisy,0.7975000143051147,0.7099999785423279,0.5416666666666666,0.3558333333333333,0.47875,0.31749999999999995,0.6535171866416931,0.9800000190734864,0.98,0.7975000143051147,0.84,0.8
MTL0.5,1,"[1, 0, 1, 1]",True,50,0.5,align=0.84_p=0.7_filtered,wv_squarelin_noisy,0.7174999713897705,0.625,0.46875,0.3541666666666667,0.4008333333333334,0.4225,0.6591529846191406,0.9674999713897704,0.9725,0.7174999713897705,0.84,0.7
MTL0.8,1,"[1, 0, 1, 1]",True,50,0.8,align=0.84_p=0.7_filtered,wv_squarelin_noisy,0.7699999809265137,0.6575000286102295,0.49499999999999994,0.21499999999999997,0.44125,0.33375,0.6540300250053406,0.975000023841858,0.975,0.7649999856948853,0.84,0.7
MTL0.5,1,"[1, 0, 1, 1]",True,50,0.5,align=0.84_p=0.8_filtered,wv_squarelin_noisy,0.6575000286102295,0.6575000286102295,0.5166666666666667,0.5975,0.4504166666666667,0.5858333333333333,0.6526444554328918,0.9725000262260436,0.975,0.6600000262260437,0.84,0.8
MTL0.2,1,"[1, 0, 1, 1]",True,50,0.2,align=0.84_p=0.8_filtered,wv_squarelin_noisy,0.6800000071525574,0.6324999928474426,0.52,0.6549999999999999,0.45625,0.5254166666666666,0.6535171866416931,0.9725000262260436,0.9675,0.6800000071525574,0.84,0.8
MTL0.8,2,"[1, 0, 1, 1]",True,50,0.8,align=0.84_p=0.5_filtered,wv_squarelin_noisy,0.762499988079071,0.800000011920929,0.56875,0.5333333333333333,0.5116666666666666,0.5608333333333333,0.6682878136634827,0.9800000190734864,0.9825,0.7649999856948853,0.84,0.5
