name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
MTL0.8,2,"[1, 0, 1, 1]",False,50,0.8,align=0.84_p=0.8,wv_squarelin_noisy,0.7450000047683716,0.6424999833106995,0.5195833333333334,0.37666666666666665,0.4495833333333333,0.3933333333333333,0.48250001668930054,0.977500021457672,0.9775,0.7475000023841858,0.84,0.8
TN,2,"[1, 0, 1, 1]",False,50,0.0,align=0.84_p=0.8,wv_squarelin_noisy,0.6700000166893005,0.5849999785423279,0.35666666666666663,0.5791666666666667,0.2995833333333333,0.5491666666666667,0.5076250433921814,0.5099999904632568,0.78,0.6549999713897705,0.84,0.8
MTL0.2,2,"[1, 0, 1, 1]",False,50,0.2,align=0.84_p=0.8,wv_squarelin_noisy,0.6875,0.6949999928474426,0.45875,0.4641666666666666,0.3904166666666667,0.455,0.49537503719329834,0.9825000166893004,0.9825,0.6875,0.84,0.8
MTL0.5,2,"[1, 0, 1, 1]",False,50,0.5,align=0.84_p=0.8,wv_squarelin_noisy,0.7174999713897705,0.625,0.47041666666666665,0.41208333333333336,0.4066666666666667,0.4320833333333334,0.49562501907348633,0.9800000190734864,0.975,0.7174999713897705,0.84,0.8
MTL0.8,2,"[1, 0, 1, 1]",False,50,0.8,align=0.84_p=0.7,wv_squarelin_noisy,0.7699999809265137,0.7950000166893005,0.5508333333333333,0.5066666666666667,0.4966666666666666,0.5316666666666667,0.4832500219345093,0.9725000262260436,0.9775,0.7674999833106995,0.84,0.7
MTL0.5,2,"[1, 0, 1, 1]",False,50,0.5,align=0.84_p=0.7,wv_squarelin_noisy,0.6875,0.625,0.4945833333333334,0.4491666666666667,0.4354166666666666,0.4883333333333333,0.49162501096725464,0.9800000190734864,0.9825,0.6899999976158142,0.84,0.7
MTL0.8,1,"[1, 0, 1, 1]",False,50,0.8,align=0.84_p=0.8,wv_squarelin_noisy,0.7300000190734863,0.6200000047683716,0.48625,0.32416666666666666,0.4170833333333333,0.33875000000000005,0.4952500164508819,0.9900000095367432,0.99,0.7325000166893005,0.84,0.8
TN,2,"[1, 0, 1, 1]",False,50,0.0,align=0.84_p=0.7,wv_squarelin_noisy,0.7124999761581421,0.7124999761581421,0.3591666666666667,0.5841666666666667,0.26999999999999996,0.5695833333333333,0.4983750283718109,0.5099999904632568,0.82,0.7024999856948853,0.84,0.7
TN,1,"[1, 0, 1, 1]",False,50,0.0,align=0.84_p=0.8,wv_squarelin_noisy,0.737500011920929,0.6625000238418579,0.4183333333333333,0.5766666666666667,0.35624999999999996,0.5750000000000001,0.5262500047683716,0.4950000047683716,0.8325,0.7024999856948853,0.84,0.8
MTL0.2,1,"[1, 0, 1, 1]",False,50,0.2,align=0.84_p=0.8,wv_squarelin_noisy,0.7200000286102295,0.550000011920929,0.4483333333333333,0.4116666666666666,0.3841666666666666,0.3904166666666667,0.5072500109672546,0.9674999713897704,0.98,0.7124999761581421,0.84,0.8
MTL0.5,1,"[1, 0, 1, 1]",False,50,0.5,align=0.84_p=0.8,wv_squarelin_noisy,0.7024999856948853,0.5975000262260437,0.4970833333333333,0.4091666666666667,0.4266666666666667,0.37166666666666665,0.4946250319480896,0.9574999809265136,0.9775,0.7024999856948853,0.84,0.8
MTL0.8,1,"[1, 0, 1, 1]",False,50,0.8,align=0.84_p=0.7,wv_squarelin_noisy,0.7549999952316284,0.6474999785423279,0.4791666666666667,0.31375000000000003,0.4070833333333333,0.3033333333333334,0.4888750314712525,0.9850000143051147,0.985,0.7549999952316284,0.84,0.7
MTL0.5,1,"[1, 0, 1, 1]",False,50,0.5,align=0.84_p=0.7,wv_squarelin_noisy,0.675000011920929,0.6924999952316284,0.5183333333333333,0.4954166666666666,0.4541666666666666,0.50875,0.4947500228881836,0.9700000286102296,0.975,0.675000011920929,0.84,0.7
TN,1,"[1, 0, 1, 1]",False,50,0.0,align=0.84_p=0.7,wv_squarelin_noisy,0.625,0.6600000262260437,0.34,0.5425,0.28208333333333335,0.5258333333333334,0.49900001287460327,0.5099999904632568,0.8725,0.6424999833106995,0.84,0.7
MTL0.8,0,"[1, 0, 1, 1]",False,50,0.8,align=0.84_p=0.8,wv_squarelin_noisy,0.7649999856948853,0.5924999713897705,0.48583333333333334,0.32416666666666666,0.41375,0.3016666666666667,0.4871250092983246,0.9825000166893004,0.9775,0.7649999856948853,0.84,0.8
TN,0,"[1, 0, 1, 1]",False,50,0.0,align=0.84_p=0.8,wv_squarelin_noisy,0.7049999833106995,0.6274999976158142,0.35041666666666665,0.5295833333333334,0.2866666666666666,0.49666666666666665,0.515250027179718,0.5099999904632568,0.9125,0.6825000047683716,0.84,0.8
MTL0.5,0,"[1, 0, 1, 1]",False,50,0.5,align=0.84_p=0.8,wv_squarelin_noisy,0.6700000166893005,0.6225000023841858,0.4454166666666666,0.3733333333333333,0.3754166666666667,0.39125,0.4898750185966492,0.9424999952316284,0.975,0.6575000286102295,0.84,0.8
MTL0.2,0,"[1, 0, 1, 1]",False,50,0.2,align=0.84_p=0.8,wv_squarelin_noisy,0.7275000214576721,0.6775000095367432,0.47291666666666665,0.40208333333333335,0.4145833333333333,0.4133333333333334,0.49562501907348633,0.9674999713897704,0.97,0.7275000214576721,0.84,0.8
TN,0,"[1, 0, 1, 1]",False,50,0.0,align=0.84_p=0.7,wv_squarelin_noisy,0.7024999856948853,0.7174999713897705,0.4183333333333333,0.6145833333333334,0.3333333333333333,0.59875,0.5023750066757202,0.5099999904632568,0.895,0.6499999761581421,0.84,0.7
MTL0.8,0,"[1, 0, 1, 1]",False,50,0.8,align=0.84_p=0.7,wv_squarelin_noisy,0.7174999713897705,0.762499988079071,0.55875,0.6141666666666666,0.49875,0.58625,0.4786250293254852,0.977500021457672,0.985,0.7149999737739563,0.84,0.7
MTL0.5,0,"[1, 0, 1, 1]",False,50,0.5,align=0.84_p=0.7,wv_squarelin_noisy,0.737500011920929,0.7074999809265137,0.5704166666666667,0.5129166666666666,0.5008333333333334,0.47666666666666674,0.48225003480911255,0.9825000166893004,0.9875,0.7400000095367432,0.84,0.7
MTL0.8,2,"[1, 0, 1, 1]",False,50,0.8,align=0.84_p=0.6,wv_squarelin_noisy,0.8149999976158142,0.8174999952316284,0.5808333333333333,0.4145833333333333,0.5249999999999999,0.3983333333333334,0.48725003004074097,0.977500021457672,0.9775,0.8174999952316284,0.84,0.6
MTL0.8,2,"[1, 0, 1, 1]",False,50,0.8,align=0.84_p=0.1,wv_squarelin_noisy,0.8700000047683716,0.975000023841858,0.8941666666666666,0.9316666666666666,0.8804166666666666,0.9595833333333332,0.8375000357627869,0.975000023841858,0.9775,0.8725000023841858,0.84,0.1
MTL0.8,2,"[1, 0, 1, 1]",False,50,0.8,align=0.84_p=0.3,wv_squarelin_noisy,0.8999999761581421,0.9800000190734864,0.85,0.86,0.8229166666666666,0.9120833333333334,0.6568750143051147,0.9800000190734864,0.98,0.8999999761581421,0.84,0.3
MTL0.5,2,"[1, 0, 1, 1]",False,50,0.5,align=0.84_p=0.4,wv_squarelin_noisy,0.8650000095367432,0.977500021457672,0.8112499999999999,0.8904166666666667,0.7620833333333333,0.9079166666666666,0.5688750147819519,0.977500021457672,0.9775,0.8650000095367432,0.84,0.4
MTL0.2,2,"[1, 0, 1, 1]",False,50,0.2,align=0.84_p=0.4,wv_squarelin_noisy,0.8374999761581421,0.9700000286102296,0.7866666666666666,0.8925000000000001,0.7395833333333334,0.9229166666666668,0.5752500295639038,0.9700000286102296,0.98,0.8349999785423279,0.84,0.4
MTL0.2,2,"[1, 0, 1, 1]",False,50,0.2,align=0.84_p=0.1,wv_squarelin_noisy,0.8050000071525574,0.977500021457672,0.9066666666666668,0.9645833333333332,0.8804166666666666,0.9758333333333334,0.8478750586509705,0.977500021457672,0.9825,0.8100000023841858,0.84,0.1
MTL0.5,2,"[1, 0, 1, 1]",False,50,0.5,align=0.84_p=0.1,wv_squarelin_noisy,0.7875000238418579,0.977500021457672,0.9029166666666666,0.9675,0.88,0.9791666666666666,0.846125066280365,0.977500021457672,0.9725,0.7850000262260437,0.84,0.1
