name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_1nn_acc,rNINO_ds_acc,align,num,test_clf_acc
MTL0.8,2,"[1, 0, 1, 1]",True,50,0.8,align=0.84_p=0.5_filtered,wv_squarelin_num,0.8899999856948853,0.9825000166893004,0.9166666666666666,0.935,0.9016666666666668,0.94625,0.9705051779747008,0.9875,0.8899999856948853,0.84,0.5,0
TN,2,"[1, 0, 1, 1]",True,50,0.0,align=0.84_p=0.5_filtered,wv_squarelin_num,0.8050000071525574,0.33500000834465027,0.7949999999999999,0.9833333333333334,0.7595833333333334,0.9925,0.9701914191246032,0.8925,0.6324999928474426,0.84,0.5,0
MTL0.5,2,"[1, 0, 1, 1]",True,50,0.5,align=0.84_p=0.5_filtered,wv_squarelin_num,0.8824999928474426,0.977500021457672,0.9066666666666666,0.9483333333333334,0.88375,0.9458333333333332,0.9745842218399048,0.9775,0.8849999904632568,0.84,0.5,0
MTL0.5,1,"[1, 0, 1, 1]",True,50,0.5,align=0.84_p=0.5_filtered,wv_squarelin_num,0.8999999761581421,0.962499976158142,0.8995833333333333,0.9508333333333332,0.89125,0.9495833333333332,0.9695638418197632,0.9775,0.8974999785423279,0.84,0.5,0
TN,1,"[1, 0, 1, 1]",True,50,0.0,align=0.84_p=0.5_filtered,wv_squarelin_num,0.7825000286102295,0.4000000059604645,0.7920833333333333,0.985,0.76625,0.9916666666666668,0.971132755279541,0.895,0.5724999904632568,0.84,0.5,0
MTL0.8,1,"[1, 0, 1, 1]",True,50,0.8,align=0.84_p=0.5_filtered,wv_squarelin_num,0.8924999833106995,0.9800000190734864,0.8850000000000001,0.9125,0.8558333333333333,0.9270833333333334,0.957954168319702,0.9775,0.8924999833106995,0.84,0.5,0
TN,0,"[1, 0, 1, 1]",True,50,0.0,align=0.84_p=0.5_filtered,wv_squarelin_num,0.7850000262260437,0.6825000047683716,0.8804166666666666,0.99,0.8604166666666666,0.9904166666666666,0.9761531352996826,0.9125,0.7350000143051147,0.84,0.5,0
MTL0.8,0,"[1, 0, 1, 1]",True,50,0.8,align=0.84_p=0.5_filtered,wv_squarelin_num,0.887499988079071,0.9800000190734864,0.9029166666666666,0.9425,0.8754166666666666,0.945,0.9670536518096924,0.9825,0.887499988079071,0.84,0.5,0
MTL0.5,0,"[1, 0, 1, 1]",True,50,0.5,align=0.84_p=0.5_filtered,wv_squarelin_num,0.8899999856948853,0.977500021457672,0.91125,0.9554166666666668,0.8983333333333333,0.9575,0.9748980402946472,0.9775,0.8899999856948853,0.84,0.5,0
MTL0.2,2,"[1, 0, 1, 1]",True,50,0.2,align=0.84_p=0.5_filtered,wv_squarelin_num,0.862500011920929,0.9674999713897704,0.9295833333333334,0.9679166666666666,0.9108333333333332,0.9716666666666668,0.9661123156547546,0.9775,0.8600000143051147,0.84,0.5,0
MTL0.5,2,"[1, 0, 1, 1]",True,50,0.5,align=0.84_p=0.25_filtered,wv_squarelin_num,0.8774999976158142,0.9800000190734864,0.9008333333333334,0.9416666666666668,0.8891666666666667,0.95125,0.9541168808937072,0.9825,0.8774999976158142,0.84,0.25,0
MTL0.8,2,"[1, 0, 1, 1]",True,50,0.8,align=0.84_p=0.25_filtered,wv_squarelin_num,0.8650000095367432,0.9850000143051147,0.8895833333333334,0.9241666666666668,0.8475,0.9375,0.955374002456665,0.9825,0.862500011920929,0.84,0.25,0
TN,2,"[1, 0, 1, 1]",True,50,0.0,align=0.84_p=0.25_filtered,wv_squarelin_num,0.8475000262260437,0.5649999976158142,0.8108333333333334,0.9716666666666668,0.775,0.97375,0.9597737193107604,0.955,0.6775000095367432,0.84,0.25,0
MTL0.2,2,"[1, 0, 1, 1]",True,50,0.2,align=0.84_p=0.25_filtered,wv_squarelin_num,0.8675000071525574,0.9375,0.8945833333333333,0.95375,0.8795833333333333,0.9533333333333336,0.9560025334358216,0.97,0.8600000143051147,0.84,0.25,0
MTL0.5,2,"[1, 0, 1, 1]",True,50,0.5,align=0.84_p=0.125_filtered,wv_squarelin_num,0.8600000143051147,0.9900000095367432,0.8670833333333334,0.935,0.8329166666666667,0.945,0.9498714804649352,0.99,0.862500011920929,0.84,0.125,0
MTL0.8,2,"[1, 0, 1, 1]",True,50,0.8,align=0.84_p=0.125_filtered,wv_squarelin_num,0.8899999856948853,0.9950000047683716,0.8616666666666667,0.9304166666666668,0.8345833333333333,0.92,0.9473007917404176,0.995,0.8899999856948853,0.84,0.125,0
TN,2,"[1, 0, 1, 1]",True,50,0.0,align=0.84_p=0.125_filtered,wv_squarelin_num,0.7975000143051147,0.4600000083446502,0.7858333333333333,0.9775,0.7366666666666667,0.9795833333333333,0.9511567950248718,0.965,0.5174999833106995,0.84,0.125,0
MTL0.2,2,"[1, 0, 1, 1]",True,50,0.2,align=0.84_p=0.125_filtered,wv_squarelin_num,0.8600000143051147,0.9424999952316284,0.8679166666666666,0.94875,0.8554166666666667,0.9533333333333333,0.9395886659622192,0.965,0.8575000166893005,0.84,0.125,0
MTL0.5,2,"[1, 0, 1, 1]",True,50,0.5,align=0.84_p=0.0078125_filtered,wv_squarelin_num,0.8125,0.9524999856948853,0.7854166666666668,0.88,0.7220833333333333,0.9095833333333332,0.8260869383811951,0.98,0.8050000071525574,0.84,0.0078125,0
MTL0.2,2,"[1, 0, 1, 1]",True,50,0.2,align=0.84_p=0.0078125_filtered,wv_squarelin_num,0.8075000047683716,0.9700000286102296,0.8041666666666667,0.8683333333333333,0.7579166666666666,0.9204166666666668,0.8695651888847351,0.965,0.800000011920929,0.84,0.0078125,0
MTL0.2,1,"[1, 0, 1, 1]",True,50,0.2,align=0.84_p=0.5_filtered,wv_squarelin_num,0.8224999904632568,0.9350000023841858,0.9108333333333332,0.97875,0.8962499999999999,0.98875,0.9670536518096924,0.9725,0.800000011920929,0.84,0.5,0
TN,2,"[1, 0, 1, 1]",True,50,0.0,align=0.84_p=0.0625_filtered,wv_squarelin_num,0.800000011920929,0.4025000035762787,0.7487499999999999,0.96875,0.6774999999999999,0.9791666666666666,0.9517765641212464,0.9575,0.5674999952316284,0.84,0.0625,0
MTL0.8,2,"[1, 0, 1, 1]",True,50,0.8,align=0.84_p=0.0625_filtered,wv_squarelin_num,0.8974999785423279,0.9850000143051147,0.82125,0.83625,0.7854166666666668,0.8845833333333334,0.903553307056427,0.9825,0.8849999904632568,0.84,0.0625,0
MTL0.8,2,"[1, 0, 1, 1]",True,50,0.8,align=0.84_p=0.0078125_filtered,wv_squarelin_num,0.8899999856948853,0.9850000143051147,0.7754166666666666,0.4695833333333333,0.69875,0.5183333333333334,0.8478260636329651,0.9875,0.8899999856948853,0.84,0.0078125,0
TN,2,"[1, 0, 1, 1]",True,50,0.0,align=0.84_p=0.0078125_filtered,wv_squarelin_num,0.7925000190734863,0.4724999964237213,0.6854166666666667,0.94375,0.6120833333333334,0.9645833333333332,0.8913043737411499,0.9575,0.6299999952316284,0.84,0.0078125,0
MTL0.5,1,"[1, 0, 1, 1]",True,50,0.5,align=0.84_p=0.25_filtered,wv_squarelin_num,0.8650000095367432,0.9700000286102296,0.8895833333333334,0.95375,0.8691666666666666,0.9491666666666668,0.960402250289917,0.9775,0.8675000071525574,0.84,0.25,0
MTL0.5,2,"[1, 0, 1, 1]",True,50,0.5,align=0.84_p=0.015625_filtered,wv_squarelin_num,0.8349999785423279,0.9825000166893004,0.7987500000000001,0.9016666666666668,0.7637499999999999,0.9270833333333334,0.8989899158477783,0.985,0.8374999761581421,0.84,0.015625,0
MTL0.2,2,"[1, 0, 1, 1]",True,50,0.2,align=0.84_p=0.015625_filtered,wv_squarelin_num,0.824999988079071,0.975000023841858,0.8395833333333332,0.94125,0.79625,0.9425,0.8989899158477783,0.97,0.8174999952316284,0.84,0.015625,0
MTL0.8,1,"[1, 0, 1, 1]",True,50,0.8,align=0.84_p=0.25_filtered,wv_squarelin_num,0.8899999856948853,0.9825000166893004,0.8904166666666667,0.92,0.8604166666666667,0.9445833333333332,0.9547454714775084,0.9825,0.887499988079071,0.84,0.25,0
TN,1,"[1, 0, 1, 1]",True,50,0.0,align=0.84_p=0.25_filtered,wv_squarelin_num,0.824999988079071,0.6150000095367432,0.8216666666666667,0.9770833333333332,0.80125,0.985,0.9622878432273864,0.9375,0.6575000286102295,0.84,0.25,0
TN,2,"[1, 0, 1, 1]",True,50,0.0,align=0.84_p=0.03125_filtered,wv_squarelin_num,0.7574999928474426,0.5724999904632568,0.7629166666666666,0.9575,0.7200000000000001,0.97375,0.9578947424888612,0.9475,0.6274999976158142,0.84,0.03125,0
MTL0.8,2,"[1, 0, 1, 1]",True,50,0.8,align=0.84_p=0.03125_filtered,wv_squarelin_num,0.8500000238418579,0.9700000286102296,0.8154166666666667,0.8933333333333332,0.7766666666666667,0.9016666666666668,0.8736842274665833,0.9825,0.8500000238418579,0.84,0.03125,0
MTL0.2,1,"[1, 0, 1, 1]",True,50,0.2,align=0.84_p=0.25_filtered,wv_squarelin_num,0.8349999785423279,0.977500021457672,0.9075,0.9658333333333332,0.88875,0.9704166666666666,0.957888126373291,0.9775,0.8324999809265137,0.84,0.25,0
MTL0.2,2,"[1, 0, 1, 1]",True,50,0.2,align=0.84_p=0.0625_filtered,wv_squarelin_num,0.8199999928474426,0.9549999833106996,0.8520833333333333,0.9429166666666666,0.8033333333333333,0.9566666666666668,0.9162436723709106,0.9725,0.8174999952316284,0.84,0.0625,0
MTL0.5,2,"[1, 0, 1, 1]",True,50,0.5,align=0.84_p=0.0625_filtered,wv_squarelin_num,0.887499988079071,0.9424999952316284,0.8412499999999999,0.9045833333333334,0.7966666666666667,0.92,0.9365482330322266,0.9725,0.875,0.84,0.0625,0
MTL0.5,2,"[1, 0, 1, 1]",True,50,0.5,align=0.84_p=0.03125_filtered,wv_squarelin_num,0.8299999833106995,0.9574999809265136,0.8025000000000001,0.9154166666666668,0.75875,0.9175,0.9263157844543456,0.9725,0.8199999928474426,0.84,0.03125,0
