wandb_group,seed,weights,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc,align,name,filtered,embed_dim,lamda,wandb_project,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc
align=0.97,0,"[32, 32, 1, 1]",0.9075,0.9075,0.9475,0.97,RESN,,,,,,,,,,,
align=0.97,1,"[32, 32, 1, 1]",0.87,0.87,0.9425,0.97,RESN,,,,,,,,,,,
align=0.97,2,"[32, 32, 1, 1]",0.8225,0.8225,0.8875,0.97,RESN,,,,,,,,,,,
align=0.95,0,"[1, 1, 1, 1]",0.7425,0.74,0.7475,0.95,RESN,,,,,,,,,,,
align=0.95,1,"[1, 1, 1, 1]",0.7125,0.7125,0.8,0.95,RESN,,,,,,,,,,,
align=0.95,2,"[1, 1, 1, 1]",0.705,0.705,0.7025,0.95,RESN,,,,,,,,,,,
align=0.89,0,"[256, 0, 1, 1]",0.8375,0.835,0.8825,0.89,RESN,,,,,,,,,,,
align=0.89,1,"[256, 0, 1, 1]",0.845,0.845,0.9625,0.89,RESN,,,,,,,,,,,
align=0.89,2,"[256, 0, 1, 1]",0.7825,0.7825,0.895,0.89,RESN,,,,,,,,,,,
align=0.84,0,"[1, 0, 1, 1]",0.715,0.7125,0.665,0.84,RESN,,,,,,,,,,,
align=0.84,1,"[1, 0, 1, 1]",0.625,0.625,0.795,0.84,RESN,,,,,,,,,,,
align=0.84,2,"[1, 0, 1, 1]",0.695,0.695,0.615,0.84,RESN,,,,,,,,,,,
align=0.69,0,"[0, 1, 1, 1]",0.705,0.7025,0.7,0.69,RESN,,,,,,,,,,,
align=0.69,1,"[0, 1, 1, 1]",0.6375,0.6375,0.6325,0.69,RESN,,,,,,,,,,,
align=0.69,2,"[0, 1, 1, 1]",0.64,0.64,0.685,0.69,RESN,,,,,,,,,,,
