name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.5,2,"[32, 32, 1, 1]",True,50,0.5,align=0.97_filtered,wv_syn_bm_aligns,0.862500011920929,0.9574999809265136,0.8120833333333334,0.8733333333333334,0.7533333333333333,0.9195833333333332,0.965060830116272,0.9574999809265136,0.9625,0.8600000143051147,0.97
TN,2,"[32, 32, 1, 1]",True,50,0.0,align=0.97_filtered,wv_syn_bm_aligns,0.8399999737739563,0.7549999952316284,0.74375,0.9195833333333332,0.6579166666666666,0.9525,0.965676486492157,0.7549999952316284,0.965,0.7699999809265137,0.97
MTL0.8,2,"[32, 32, 1, 1]",True,50,0.8,align=0.97_filtered,wv_syn_bm_aligns,0.8675000071525574,0.9674999713897704,0.7633333333333333,0.8529166666666667,0.68375,0.895,0.9521317481994628,0.9674999713897704,0.9725,0.8725000023841858,0.97
MTL0.8,2,"[1, 1, 1, 1]",True,50,0.8,align=0.95_filtered,wv_syn_bm_aligns,0.6524999737739563,0.962499976158142,0.7245833333333334,0.82875,0.68125,0.8191666666666667,0.8620413541793823,0.962499976158142,0.965,0.6524999737739563,0.95
MTL0.2,2,"[32, 32, 1, 1]",True,50,0.2,align=0.97_filtered,wv_syn_bm_aligns,0.8700000047683716,0.975000023841858,0.8320833333333333,0.9058333333333332,0.7608333333333333,0.9304166666666668,0.9666000008583068,0.975000023841858,0.96,0.8700000047683716,0.97
TN,2,"[1, 1, 1, 1]",True,50,0.0,align=0.95_filtered,wv_syn_bm_aligns,0.6050000190734863,0.7524999976158142,0.6795833333333333,0.8516666666666666,0.6358333333333334,0.8108333333333334,0.8622015714645386,0.7450000047683716,0.9625,0.5575000047683716,0.95
MTL0.2,2,"[0, 1, 1, 1]",True,50,0.2,align=0.69_filtered,wv_syn_bm_aligns,0.6449999809265137,0.9350000023841858,0.7287500000000001,0.7925000000000001,0.6829166666666667,0.7541666666666668,0.8240557312965393,0.9449999928474426,0.96,0.6399999856948853,0.69
MTL0.5,2,"[0, 1, 1, 1]",True,50,0.5,align=0.69_filtered,wv_syn_bm_aligns,0.637499988079071,0.9524999856948853,0.7179166666666666,0.7745833333333333,0.6733333333333333,0.7525000000000001,0.8204109072685242,0.962499976158142,0.9625,0.6349999904632568,0.69
MTL0.5,2,"[256, 0, 1, 1]",True,50,0.5,align=0.89_filtered,wv_syn_bm_aligns,0.8100000023841858,0.962499976158142,0.7862499999999999,0.8666666666666667,0.7170833333333334,0.8870833333333333,0.9714551568031312,0.962499976158142,0.9725,0.8075000047683716,0.89
MTL0.2,2,"[256, 0, 1, 1]",True,50,0.2,align=0.89_filtered,wv_syn_bm_aligns,0.7099999785423279,0.9574999809265136,0.7720833333333333,0.9033333333333332,0.6991666666666667,0.93375,0.9726962447166444,0.9574999809265136,0.9625,0.7074999809265137,0.89
