name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
MTL0.8,1,"[256, 1, 256, 256]",None,50,0.8,align=0.925_p=0.8,wv_3d_square_noisy_filtered,0.7649999856948853,0.6650000214576721,0.4420833333333334,0.42083333333333334,0.27416666666666667,0.37666666666666665,0.6764772534370422,1.0,0.9975,0.7649999856948853,0.925,0.8
TN,1,"[256, 1, 256, 256]",None,50,0.0,align=0.925_p=0.8,wv_3d_square_noisy_filtered,0.6625000238418579,0.637499988079071,0.4154166666666666,0.6791666666666667,0.25875,0.5904166666666667,0.6719493269920349,0.5375000238418579,0.995,0.38749998807907104,0.925,0.8
MTL0.5,1,"[256, 1, 256, 256]",None,50,0.5,align=0.925_p=0.8,wv_3d_square_noisy_filtered,0.7024999856948853,0.5924999713897705,0.43375,0.4708333333333334,0.30416666666666664,0.37083333333333335,0.6778356432914734,0.9950000047683716,0.995,0.7024999856948853,0.925,0.8
MTL0.2,1,"[256, 1, 256, 256]",None,50,0.2,align=0.925_p=0.8,wv_3d_square_noisy_filtered,0.762499988079071,0.6474999785423279,0.41875,0.4483333333333333,0.2970833333333333,0.4475,0.6737604737281799,0.9950000047683716,0.995,0.762499988079071,0.925,0.8
TN,0,"[256, 1, 256, 256]",None,50,0.0,align=0.925_p=0.8,wv_3d_square_noisy_filtered,0.7475000023841858,0.6650000214576721,0.3754166666666667,0.6887500000000001,0.2445833333333333,0.5266666666666667,0.6726285219192505,0.5400000214576721,0.9975,0.5049999952316284,0.925,0.8
TN,1,"[256, 1, 256, 256]",None,50,0.0,align=0.925_p=0.7,wv_3d_square_noisy_filtered,0.7325000166893005,0.6025000214576721,0.45083333333333336,0.51125,0.3308333333333333,0.4479166666666667,0.6680956482887268,0.962499976158142,1.0,0.7124999761581421,0.925,0.7
MTL0.8,0,"[256, 1, 256, 256]",None,50,0.8,align=0.925_p=0.8,wv_3d_square_noisy_filtered,0.8374999761581421,0.625,0.5054166666666666,0.39958333333333335,0.3620833333333333,0.405,0.6839483976364136,0.9975000023841858,0.9975,0.8374999761581421,0.925,0.8
MTL0.5,0,"[256, 1, 256, 256]",None,50,0.5,align=0.925_p=0.8,wv_3d_square_noisy_filtered,0.7099999785423279,0.675000011920929,0.44125,0.4625,0.29916666666666664,0.3466666666666667,0.6760244965553284,0.9975000023841858,0.9975,0.7099999785423279,0.925,0.8
MTL0.5,1,"[256, 1, 256, 256]",None,50,0.5,align=0.925_p=0.7,wv_3d_square_noisy_filtered,0.7975000143051147,0.637499988079071,0.4945833333333334,0.5225,0.3545833333333333,0.4741666666666666,0.6674187779426575,0.9975000023841858,0.9975,0.7975000143051147,0.925,0.7
MTL0.8,1,"[256, 1, 256, 256]",None,50,0.8,align=0.925_p=0.7,wv_3d_square_noisy_filtered,0.762499988079071,0.7574999928474426,0.5,0.5525,0.3541666666666667,0.45166666666666666,0.6617779731750488,0.9975000023841858,0.9975,0.762499988079071,0.925,0.7
MTL0.2,1,"[256, 1, 256, 256]",None,50,0.2,align=0.925_p=0.7,wv_3d_square_noisy_filtered,0.8525000214576721,0.6399999856948853,0.49666666666666665,0.3499999999999999,0.3658333333333333,0.39041666666666663,0.6694494485855103,1.0,0.9975,0.8550000190734863,0.925,0.7
MTL0.2,0,"[256, 1, 256, 256]",None,50,0.2,align=0.925_p=0.8,wv_3d_square_noisy_filtered,0.7599999904632568,0.6650000214576721,0.4291666666666667,0.4633333333333334,0.29583333333333334,0.43125,0.6705909371376038,0.9975000023841858,0.9975,0.7599999904632568,0.925,0.8
MTL0.8,1,"[256, 1, 256, 256]",None,50,0.8,align=0.925_p=0.6,wv_3d_square_noisy_filtered,0.7400000095367432,0.7450000047683716,0.46625000000000005,0.6458333333333334,0.32625,0.5391666666666667,0.6565724611282349,0.9950000047683716,0.9975,0.7400000095367432,0.925,0.6
TN,1,"[256, 1, 256, 256]",None,50,0.0,align=0.925_p=0.6,wv_3d_square_noisy_filtered,0.8299999833106995,0.6449999809265137,0.34125,0.7733333333333334,0.1825,0.7175000000000001,0.6608344316482544,0.27250000834465027,0.995,0.23250000178813937,0.925,0.6
TN,0,"[256, 1, 256, 256]",None,50,0.0,align=0.925_p=0.7,wv_3d_square_noisy_filtered,0.8424999713897705,0.6949999928474426,0.32375,0.7075,0.2058333333333333,0.6224999999999999,0.6694494485855103,0.5400000214576721,0.995,0.5475000143051147,0.925,0.7
MTL0.5,1,"[256, 1, 256, 256]",None,50,0.5,align=0.925_p=0.6,wv_3d_square_noisy_filtered,0.762499988079071,0.75,0.46541666666666665,0.5616666666666666,0.3233333333333333,0.4645833333333333,0.66419917345047,0.9950000047683716,0.995,0.762499988079071,0.925,0.6
MTL0.5,1,"[256, 1, 256, 256]",None,50,0.5,align=0.925_p=0.5,wv_3d_square_noisy_filtered,0.8174999952316284,0.8349999785423279,0.5391666666666667,0.5579166666666667,0.39833333333333326,0.36833333333333335,0.6697186231613159,0.9975000023841858,0.9975,0.8199999928474426,0.925,0.5
MTL0.2,1,"[256, 1, 256, 256]",None,50,0.2,align=0.925_p=0.6,wv_3d_square_noisy_filtered,0.800000011920929,0.7900000214576721,0.5404166666666667,0.49249999999999994,0.3812499999999999,0.4875,0.6561238169670105,0.9975000023841858,0.9975,0.800000011920929,0.925,0.6
TN,1,"[256, 1, 256, 256]",None,50,0.0,align=0.925_p=0.5,wv_3d_square_noisy_filtered,0.7774999737739563,0.4625000059604645,0.4720833333333334,0.6166666666666666,0.2966666666666667,0.61,0.6672621965408325,0.4600000083446502,0.995,0.4399999976158142,0.925,0.5
MTL0.8,1,"[256, 1, 256, 256]",None,50,0.8,align=0.925_p=0.5,wv_3d_square_noisy_filtered,0.8550000190734863,0.8974999785423279,0.5758333333333333,0.6966666666666667,0.43625,0.66,0.6737383008003235,0.9975000023841858,0.9975,0.8550000190734863,0.925,0.5
