name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
TN,2,"[1, 1, 1, 1]",False,512,0.0,align=1,wv_3d_square_aligns,1.0,0.4474999904632568,0.6033333333333334,0.9904166666666666,0.4841666666666667,0.9895833333333334,0.9745000004768372,0.4474999904632568,0.9975,0.7699999809265137,1.0
MTL0.2,2,"[1, 1, 1, 1]",False,512,0.2,align=1,wv_3d_square_aligns,1.0,0.9975000023841858,0.90125,0.9795833333333333,0.8454166666666666,0.9858333333333332,0.965833306312561,0.9975000023841858,1.0,1.0,1.0
TN,1,"[1, 1, 1, 1]",False,512,0.0,align=1,wv_3d_square_aligns,1.0,0.5550000071525574,0.6708333333333334,0.9891666666666666,0.5729166666666666,0.9904166666666666,0.968666672706604,0.5550000071525574,1.0,0.800000011920929,1.0
MTL0.8,2,"[1, 1, 1, 1]",False,512,0.8,align=1,wv_3d_square_aligns,1.0,0.9950000047683716,0.9025,0.9758333333333334,0.8379166666666666,0.9720833333333332,0.9679999947547911,0.9950000047683716,0.9975,0.9975000023841858,1.0
MTL0.5,2,"[1, 1, 1, 1]",False,512,0.5,align=1,wv_3d_square_aligns,1.0,0.9950000047683716,0.8962499999999999,0.9804166666666668,0.83875,0.9845833333333333,0.9670000076293944,0.9950000047683716,1.0,1.0,1.0
MTL0.2,1,"[1, 1, 1, 1]",False,512,0.2,align=1,wv_3d_square_aligns,1.0,0.9975000023841858,0.9079166666666666,0.9716666666666668,0.8591666666666667,0.9804166666666668,0.9681666493415833,0.9975000023841858,1.0,1.0,1.0
MTL0.5,2,"[1, 256, 256, 256]",False,512,0.5,align=0.92,wv_3d_square_aligns,0.8799999952316284,0.9975000023841858,0.9341666666666668,0.9729166666666664,0.8975,0.98875,0.9509999752044678,0.9975000023841858,0.9975,0.8799999952316284,0.92
MTL0.8,2,"[1, 256, 256, 256]",False,512,0.8,align=0.92,wv_3d_square_aligns,0.8974999785423279,0.9950000047683716,0.9358333333333334,0.9708333333333332,0.9008333333333332,0.9891666666666667,0.9710000157356262,0.9950000047683716,1.0,0.8974999785423279,0.92
MTL0.5,1,"[1, 1, 1, 1]",False,512,0.5,align=1,wv_3d_square_aligns,1.0,0.9975000023841858,0.9054166666666666,0.9779166666666668,0.85,0.9854166666666668,0.965999960899353,0.9975000023841858,0.9975,1.0,1.0
MTL0.8,1,"[1, 1, 1, 1]",False,512,0.8,align=1,wv_3d_square_aligns,1.0,0.9950000047683716,0.91375,0.97625,0.8470833333333334,0.9808333333333332,0.9608333110809326,0.9950000047683716,0.9975,0.9975000023841858,1.0
