wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d_d=512,align=0.5_filtered,TN,0,"[0, 0, 1, 1]",512,0.0,0.5175,0.9658371,0.995,0.93075,0.91175,0.705,0.705,1.0,0.6625,0.6625,1.0,0.6675,0.6675,1.0
wv_3d_d=512,align=0.5_filtered,MTL0.8,1,"[0, 0, 1, 1]",512,0.8,0.995,0.961086,0.995,0.92825,0.9145,0.7225,0.725,1.0,0.7425,0.7475,1.0,0.7,0.705,1.0
wv_3d_d=512,align=0.5_filtered,MTL0.5,1,"[0, 0, 1, 1]",512,0.5,0.995,0.96651584,0.995,0.9345,0.90625,0.7525,0.7575,1.0,0.755,0.7575,1.0,0.7025,0.705,1.0
wv_3d_d=512,align=0.5_filtered,MTL0.2,1,"[0, 0, 1, 1]",512,0.2,0.995,0.96719456,0.995,0.93025,0.90875,0.7525,0.7525,1.0,0.6525,0.655,1.0,0.6025,0.605,1.0
wv_3d_d=512,align=0.5_filtered,TN,1,"[0, 0, 1, 1]",512,0.0,0.46,0.97081447,0.995,0.93825,0.9135,0.66,0.6575,1.0,0.64,0.6425,1.0,0.6425,0.64,1.0
wv_3d_d=512,align=0.5_filtered,MTL0.8,2,"[0, 0, 1, 1]",512,0.8,0.9975,0.96131223,0.9975,0.932,0.90375,0.7475,0.7475,1.0,0.7175,0.7175,1.0,0.7025,0.7025,1.0
wv_3d_d=512,align=0.5_filtered,MTL0.5,2,"[0, 0, 1, 1]",512,0.5,0.9975,0.97217196,0.9975,0.934,0.91625,0.765,0.765,1.0,0.6775,0.6775,1.0,0.6725,0.6725,1.0
wv_3d_d=512,align=0.5_filtered,MTL0.2,2,"[0, 0, 1, 1]",512,0.2,0.99,0.96719456,0.9975,0.93225,0.91175,0.695,0.695,1.0,0.6475,0.6475,1.0,0.6475,0.6475,1.0
wv_3d_d=512,align=0.5_filtered,TN,2,"[0, 0, 1, 1]",512,0.0,0.495,0.9699095,0.9975,0.92975,0.90175,0.6825,0.6825,1.0,0.6575,0.6575,1.0,0.6475,0.6475,1.0
wv_3d_d=512,align=0.5,MTL0.2,0,"[0, 0, 1, 1]",512,0.2,0.995,0.9668333,0.9975,0.943,0.9265,0.61,0.61,1.0,0.59,0.5875,1.0,0.5875,0.585,1.0
wv_3d_d=512,align=0.5,MTL0.5,0,"[0, 0, 1, 1]",512,0.5,0.995,0.96133333,0.995,0.946,0.938,0.59,0.5925,1.0,0.595,0.595,1.0,0.575,0.575,1.0
