wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d_num_triplets,align=0.8_p=0.125,MTL0.2,0,"[1, 0, 1, 1]",50,0.2,0.845,0.9573333,0.995,0.88175,0.8370000000000001,0.7975,0.8,1.0,0.785,0.785,1.0,0.79,0.79,1.0
wv_3d_num_triplets,align=0.8_p=0.125,MTL0.8,0,"[1, 0, 1, 1]",50,0.8,0.8475,0.94,0.995,0.84925,0.8055,0.8275,0.83,1.0,0.865,0.8675,1.0,0.8475,0.85,1.0
wv_3d_num_triplets,align=0.8_p=0.25,MTL0.2,0,"[1, 0, 1, 1]",50,0.2,0.9725,0.9633333,0.995,0.9185,0.8905,0.765,0.765,1.0,0.7875,0.79,1.0,0.775,0.7775,1.0
wv_3d_num_triplets,align=0.8_p=0.25,TN,1,"[1, 0, 1, 1]",50,0.0,0.515,0.96133333,0.865,0.8965,0.8585,0.7125,0.725,1.0,0.73,0.735,1.0,0.7475,0.76,1.0
wv_3d_num_triplets,align=0.8_p=0.25,MTL0.8,1,"[1, 0, 1, 1]",50,0.8,0.975,0.95266664,0.995,0.90275,0.86625,0.785,0.785,1.0,0.79,0.79,1.0,0.795,0.7975,1.0
wv_3d_num_triplets,align=0.8_p=0.25,MTL0.5,1,"[1, 0, 1, 1]",50,0.5,0.975,0.9533333,0.995,0.898,0.86175,0.7675,0.77,1.0,0.7825,0.785,1.0,0.7925,0.795,1.0
wv_3d_num_triplets,align=0.8_p=0.5,MTL0.2,0,"[1, 0, 1, 1]",50,0.2,0.9975,0.9573333,0.995,0.9225,0.8912500000000001,0.7725,0.775,1.0,0.8,0.8,1.0,0.8,0.8,1.0
wv_3d_num_triplets,align=0.8_p=0.125,MTL0.5,1,"[1, 0, 1, 1]",50,0.5,0.8475,0.9413333,0.9975,0.8877500000000002,0.83475,0.825,0.825,1.0,0.83,0.83,1.0,0.815,0.815,1.0
wv_3d_num_triplets,align=0.8_p=0.125,MTL0.8,1,"[1, 0, 1, 1]",50,0.8,0.8475,0.9413333,0.995,0.8712500000000001,0.8067499999999999,0.8525,0.855,1.0,0.8275,0.83,1.0,0.8275,0.83,1.0
wv_3d_num_triplets,align=0.8_p=0.25,MTL0.2,1,"[1, 0, 1, 1]",50,0.2,0.975,0.968,0.9925,0.91225,0.8787500000000001,0.765,0.765,1.0,0.755,0.755,1.0,0.76,0.76,1.0
