wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d_noisy,align=0.925_p=0.1,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.9975,0.8860182,0.995,0.8247500000000001,0.8247500000000001,0.955,0.9575,1.0,0.96,0.9625,1.0,0.9625,0.965,1.0
wv_3d_noisy,align=0.925_p=0.1,MTL0.2,1,"[256, 1, 256, 256]",512,0.2,0.995,0.8860182,0.995,0.80975,0.80975,0.925,0.9275,1.0,0.95,0.9525,1.0,0.955,0.9575,1.0
wv_3d_noisy,align=0.925_p=0.1,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.9925,0.8873209,0.995,0.8025,0.8025,0.915,0.9175,1.0,0.9325,0.935,1.0,0.9425,0.945,1.0
wv_3d_noisy,align=0.925_p=0.1,MTL0.2,2,"[256, 1, 256, 256]",512,0.2,0.9975,0.89144593,0.9975,0.82875,0.82875,0.955,0.955,1.0,0.9575,0.9575,1.0,0.9575,0.9575,1.0
wv_3d_noisy,align=0.925_p=0.1,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,1.0,0.89318275,0.9975,0.8164999999999999,0.8164999999999999,0.9675,0.9675,1.0,0.96,0.9575,1.0,0.9575,0.955,1.0
wv_3d_noisy,align=0.925_p=0.1,MTL0.8,0,"[256, 1, 256, 256]",512,0.8,0.995,0.8858011,0.9975,0.8055,0.8055,0.97,0.9725,1.0,0.965,0.9675,1.0,0.9675,0.97,1.0
wv_3d_noisy,align=0.925_p=0.1,TN,0,"[256, 1, 256, 256]",512,0.0,0.46,0.8879722,1.0,0.80975,0.80975,0.96,0.96,1.0,0.965,0.965,1.0,0.9725,0.9725,1.0
wv_3d_noisy,align=0.925_p=0.1,MTL0.8,1,"[256, 1, 256, 256]",512,0.8,0.995,0.89036036,0.995,0.8055,0.8055,0.95,0.95,1.0,0.95,0.9475,1.0,0.96,0.96,1.0
wv_3d_noisy,align=0.925_p=0.1,TN,1,"[256, 1, 256, 256]",512,0.0,0.46,0.8844985,0.9975,0.805,0.805,0.96,0.9625,1.0,0.9625,0.965,1.0,0.97,0.9725,1.0
wv_3d_noisy,align=0.925_p=0.1,MTL0.8,2,"[256, 1, 256, 256]",512,0.8,1.0,0.8905775,0.9975,0.8092500000000001,0.8092500000000001,0.955,0.955,1.0,0.945,0.945,1.0,0.945,0.945,1.0
wv_3d_noisy,align=0.925_p=0.1,TN,2,"[256, 1, 256, 256]",512,0.0,0.6125,0.88428134,0.995,0.7905,0.7905,0.935,0.935,1.0,0.965,0.9675,1.0,0.975,0.975,1.0
wv_3d_noisy,align=0.925_p=0.2,MTL0.2,0,"[256, 1, 256, 256]",512,0.2,0.9975,0.81934065,0.995,0.75325,0.75325,0.9725,0.9725,1.0,0.9625,0.9625,1.0,0.9575,0.96,1.0
wv_3d_noisy,align=0.925_p=0.2,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.9975,0.81164837,0.995,0.71625,0.71625,0.965,0.965,1.0,0.97,0.97,1.0,0.945,0.945,1.0
wv_3d_noisy,align=0.925_p=0.2,MTL0.2,1,"[256, 1, 256, 256]",512,0.2,0.9975,0.7964835,0.9975,0.67025,0.67025,0.945,0.945,1.0,0.9475,0.95,1.0,0.95,0.9525,1.0
wv_3d_noisy,align=0.925_p=0.2,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.9975,0.78791213,0.9975,0.7329999999999999,0.7329999999999999,0.9625,0.9625,1.0,0.9625,0.9625,1.0,0.9475,0.9475,1.0
wv_3d_noisy,align=0.925_p=0.2,MTL0.2,2,"[256, 1, 256, 256]",512,0.2,0.9975,0.82087916,0.9975,0.7435,0.7435,0.9475,0.95,1.0,0.945,0.945,1.0,0.9275,0.9275,1.0
wv_3d_noisy,align=0.925_p=0.2,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.9975,0.8213187,0.9975,0.76475,0.76475,0.9625,0.9625,1.0,0.9375,0.9375,1.0,0.95,0.95,1.0
wv_3d_noisy,align=0.925_p=0.2,MTL0.8,0,"[256, 1, 256, 256]",512,0.8,0.9975,0.80109894,0.9975,0.746,0.746,0.9825,0.985,1.0,0.95,0.9525,1.0,0.9475,0.95,1.0
wv_3d_noisy,align=0.925_p=0.2,TN,0,"[256, 1, 256, 256]",512,0.0,0.46,0.829011,0.995,0.7765000000000001,0.7765000000000001,0.9575,0.96,1.0,0.94,0.94,1.0,0.9425,0.94,1.0
wv_3d_noisy,align=0.925_p=0.2,MTL0.8,1,"[256, 1, 256, 256]",512,0.8,0.9975,0.796044,0.9975,0.74475,0.74475,0.99,0.99,1.0,0.9925,0.995,1.0,0.9825,0.985,1.0
wv_3d_noisy,align=0.925_p=0.2,TN,1,"[256, 1, 256, 256]",512,0.0,0.46,0.81516486,0.9975,0.7665,0.7665,0.96,0.9625,1.0,0.945,0.945,1.0,0.9475,0.9475,1.0
wv_3d_noisy,align=0.925_p=0.2,MTL0.8,2,"[256, 1, 256, 256]",512,0.8,0.9975,0.81164837,0.9975,0.7455,0.7455,0.9875,0.9875,1.0,0.9825,0.9825,1.0,0.97,0.97,1.0
wv_3d_noisy,align=0.925_p=0.2,TN,2,"[256, 1, 256, 256]",512,0.0,0.54,0.8156044,0.9975,0.77625,0.77625,0.975,0.9775,1.0,0.96,0.9625,1.0,0.9625,0.9625,1.0
wv_3d_noisy,align=0.925_p=0.4,MTL0.2,0,"[256, 1, 256, 256]",512,0.2,0.9975,0.7107072,0.9975,0.5832499999999999,0.5832499999999999,0.985,0.985,0.9975,0.92,0.92,0.9875,0.91,0.91,0.9925
wv_3d_noisy,align=0.925_p=0.4,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.9975,0.70095325,0.9975,0.5955,0.5955,0.9725,0.9725,0.9875,0.95,0.95,0.9875,0.9425,0.9425,0.98
wv_3d_noisy,align=0.925_p=0.4,MTL0.2,1,"[256, 1, 256, 256]",512,0.2,1.0,0.69962317,1.0,0.5665,0.5665,0.9375,0.9375,0.9875,0.9675,0.9675,0.9925,0.9725,0.9725,0.99
wv_3d_noisy,align=0.925_p=0.4,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,1.0,0.69917977,1.0,0.601,0.601,0.97,0.97,0.99,0.98,0.98,0.985,0.9875,0.9875,0.9875
wv_3d_noisy,align=0.925_p=0.4,MTL0.2,2,"[256, 1, 256, 256]",512,0.2,0.9975,0.6980714,0.995,0.5755,0.5755,0.9175,0.915,0.9875,0.9475,0.9475,0.9925,0.96,0.96,0.9925
wv_3d_noisy,align=0.925_p=0.4,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.995,0.69275105,0.995,0.57175,0.57175,0.97,0.97,0.985,0.9375,0.9325,0.9925,0.9275,0.925,0.99
wv_3d_noisy,align=0.925_p=0.4,MTL0.8,0,"[256, 1, 256, 256]",512,0.8,0.9975,0.7000665,0.9975,0.5265,0.5265,0.945,0.945,0.9825,0.9425,0.9425,0.9875,0.92,0.92,0.9875
wv_3d_noisy,align=0.925_p=0.4,TN,0,"[256, 1, 256, 256]",512,0.0,0.46,0.7089337,0.995,0.6100000000000001,0.6100000000000001,0.905,0.905,0.9975,0.91,0.9125,1.0,0.9175,0.92,0.9975
wv_3d_noisy,align=0.925_p=0.4,MTL0.8,1,"[256, 1, 256, 256]",512,0.8,0.9975,0.70206165,0.9975,0.58,0.58,0.985,0.985,0.9875,0.9825,0.9825,0.9875,0.975,0.975,0.9825
wv_3d_noisy,align=0.925_p=0.4,TN,1,"[256, 1, 256, 256]",512,0.0,0.46,0.69851476,0.995,0.56525,0.56525,0.95,0.9525,0.9975,0.9675,0.97,1.0,0.96,0.96,0.9975
wv_3d_noisy,align=0.925_p=0.4,MTL0.8,2,"[256, 1, 256, 256]",512,0.8,0.9975,0.69740635,0.9975,0.6052500000000001,0.6052500000000001,0.9525,0.95,0.995,0.9575,0.955,0.9925,0.96,0.9575,0.9875
wv_3d_noisy,align=0.925_p=0.4,TN,2,"[256, 1, 256, 256]",512,0.0,0.54,0.69629794,0.995,0.60925,0.60925,0.9025,0.9025,1.0,0.91,0.9125,0.995,0.89,0.89,1.0
wv_3d_noisy,align=0.925_p=0.8,MTL0.2,0,"[256, 1, 256, 256]",512,0.2,0.9975,0.67511886,0.995,0.327,0.327,0.8025,0.8,0.6425,0.8875,0.885,0.815,0.9475,0.9475,0.855
wv_3d_noisy,align=0.925_p=0.8,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.9975,0.6798732,0.9975,0.36775,0.36775,0.7875,0.7875,0.7225,0.885,0.885,0.805,0.9425,0.94,0.8575
wv_3d_noisy,align=0.925_p=0.8,MTL0.2,1,"[256, 1, 256, 256]",512,0.2,0.995,0.662667,0.995,0.34525,0.34525,0.715,0.7175,0.695,0.8975,0.9,0.8475,0.945,0.945,0.895
wv_3d_noisy,align=0.925_p=0.8,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.9975,0.6701381,0.9975,0.4175,0.4175,0.825,0.825,0.6675,0.8875,0.8875,0.8475,0.945,0.945,0.88
wv_3d_noisy,align=0.925_p=0.8,MTL0.2,2,"[256, 1, 256, 256]",512,0.2,0.9975,0.662667,0.995,0.35075,0.35075,0.66,0.6575,0.59,0.7925,0.7925,0.8,0.8175,0.815,0.83
