wandb_group,seed,weights,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc,align,name,filtered,embed_dim,lamda,wandb_project,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc
align=0.56,0,"[0, 1, 1, 1]",0.685,0.685,0.715,0.56,RESN,,,,,,,,,,,
align=0.56,1,"[0, 1, 1, 1]",0.71,0.7125,0.685,0.56,RESN,,,,,,,,,,,
align=0.56,2,"[0, 1, 1, 1]",0.7325,0.7325,0.795,0.56,RESN,,,,,,,,,,,
align=0.84,0,"[1, 0, 1, 1]",0.735,0.735,0.7275,0.84,RESN,,,,,,,,,,,
align=0.84,1,"[1, 0, 1, 1]",0.6975,0.7,0.7225,0.84,RESN,,,,,,,,,,,
align=0.84,2,"[1, 0, 1, 1]",0.7425,0.7425,0.7725,0.84,RESN,,,,,,,,,,,
align=0.99,0,"[32, 256, 1, 1]",0.875,0.875,0.8875,0.99,RESN,,,,,,,,,,,
align=0.99,1,"[32, 256, 1, 1]",0.8725,0.87,0.8925,0.99,RESN,,,,,,,,,,,
align=0.99,2,"[32, 256, 1, 1]",0.8925,0.8925,0.895,0.99,RESN,,,,,,,,,,,
align=0.95,0,"[1, 1, 1, 1]",0.745,0.745,0.7525,0.95,RESN,,,,,,,,,,,
align=0.95,1,"[1, 1, 1, 1]",0.735,0.7375,0.7525,0.95,RESN,,,,,,,,,,,
align=0.95,2,"[1, 1, 1, 1]",0.77,0.77,0.83,0.95,RESN,,,,,,,,,,,
