name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
TN,2,"[32, 256, 1, 1]",True,50,0.0,align=0.99_filtered,wv_squarelin_aligns,0.8399999737739563,0.4424999952316284,0.5366666666666667,0.9579166666666666,0.4479166666666667,0.94875,0.9764320254325868,0.4424999952316284,0.9825,0.574999988079071,0.99
TN,2,"[1, 0, 1, 1]",True,50,0.0,align=0.84_filtered,wv_squarelin_aligns,0.8100000023841858,0.4149999916553498,0.7879166666666667,0.9883333333333332,0.755,0.99,0.9788434505462646,0.4149999916553498,0.8375,0.5799999833106995,0.84
TN,2,"[1, 1, 1, 1]",True,50,0.0,align=0.95_filtered,wv_squarelin_aligns,0.9524999856948853,0.4774999916553498,0.7054166666666667,0.9566666666666668,0.6495833333333333,0.9729166666666668,0.968095064163208,0.4774999916553498,0.9775,0.6700000166893005,0.95
TN,2,"[0, 1, 1, 1]",True,50,0.0,align=0.56_filtered,wv_squarelin_aligns,0.6424999833106995,0.4074999988079071,0.94125,0.99,0.9170833333333334,0.9825,0.9747706651687622,0.4074999988079071,0.9175,0.375,0.56
TN,1,"[32, 256, 1, 1]",True,50,0.0,align=0.99_filtered,wv_squarelin_aligns,0.8424999713897705,0.6225000023841858,0.6283333333333333,0.94875,0.5375,0.94875,0.9715935587882996,0.6225000023841858,0.975,0.6875,0.99
TN,1,"[0, 1, 1, 1]",True,50,0.0,align=0.56_filtered,wv_squarelin_aligns,0.7450000047683716,0.6175000071525574,0.9266666666666666,0.9775,0.9016666666666668,0.97625,0.9755898118019104,0.6175000071525574,0.925,0.5274999737739563,0.56
TN,1,"[1, 1, 1, 1]",True,50,0.0,align=0.95_filtered,wv_squarelin_aligns,0.949999988079071,0.7724999785423279,0.8654166666666666,0.9491666666666666,0.8045833333333333,0.9679166666666666,0.9670003056526184,0.7724999785423279,0.9775,0.8149999976158142,0.95
TN,1,"[1, 0, 1, 1]",True,50,0.0,align=0.84_filtered,wv_squarelin_aligns,0.8224999904632568,0.5525000095367432,0.87125,0.9908333333333332,0.8420833333333334,0.99375,0.9777464270591736,0.5525000095367432,0.845,0.7149999737739563,0.84
TN,0,"[0, 1, 1, 1]",True,50,0.0,align=0.56_filtered,wv_squarelin_aligns,0.7200000286102295,0.4275000095367432,0.9141666666666668,0.9883333333333332,0.8829166666666667,0.9870833333333334,0.9773918986320496,0.4275000095367432,0.95,0.39500001072883606,0.56
TN,0,"[32, 256, 1, 1]",True,50,0.0,align=0.99_filtered,wv_squarelin_aligns,0.8550000190734863,0.2824999988079071,0.4495833333333333,0.9729166666666668,0.3525,0.9679166666666666,0.974090814590454,0.2824999988079071,0.985,0.42250001430511475,0.99
