name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
TN,1,"[32, 256, 1, 1]",False,50,0.0,align=0.99,wv_squarelin_aligns,0.9725000262260436,0.44999998807907104,0.6679166666666667,0.985,0.6145833333333334,0.9954166666666668,0.9691210985183716,0.44999998807907104,0.98,0.7574999928474426,0.99
MTL0.8,1,"[32, 256, 1, 1]",False,50,0.8,align=0.99,wv_squarelin_aligns,0.8700000047683716,0.9850000143051147,0.7125,0.925,0.6391666666666665,0.9308333333333332,0.9567445516586304,0.9850000143051147,0.9825,0.8725000023841858,0.99
MTL0.5,1,"[32, 256, 1, 1]",False,50,0.5,align=0.99,wv_squarelin_aligns,0.8450000286102295,0.977500021457672,0.7058333333333332,0.93875,0.62,0.94125,0.9618701934814452,0.977500021457672,0.9825,0.8374999761581421,0.99
MTL0.2,1,"[32, 256, 1, 1]",False,50,0.2,align=0.99,wv_squarelin_aligns,0.8324999809265137,0.9850000143051147,0.71125,0.9358333333333334,0.6441666666666667,0.9445833333333332,0.967495858669281,0.9850000143051147,0.985,0.8224999904632568,0.99
MTL0.5,1,"[1, 1, 1, 1]",False,50,0.5,align=0.95,wv_squarelin_aligns,0.949999988079071,0.9850000143051147,0.9483333333333334,0.9420833333333332,0.92125,0.97375,0.967750072479248,0.9850000143051147,0.985,0.949999988079071,0.95
TN,1,"[1, 1, 1, 1]",False,50,0.0,align=0.95,wv_squarelin_aligns,0.9424999952316284,0.4399999976158142,0.7154166666666666,0.9704166666666666,0.64875,0.9820833333333332,0.9727500677108764,0.4399999976158142,0.95,0.7074999809265137,0.95
MTL0.8,1,"[1, 1, 1, 1]",False,50,0.8,align=0.95,wv_squarelin_aligns,0.9574999809265136,0.977500021457672,0.9345833333333332,0.9254166666666668,0.9083333333333332,0.9508333333333332,0.9606250524520874,0.977500021457672,0.9825,0.9574999809265136,0.95
MTL0.2,1,"[1, 1, 1, 1]",False,50,0.2,align=0.95,wv_squarelin_aligns,0.949999988079071,0.962499976158142,0.9491666666666668,0.9591666666666666,0.9291666666666666,0.98375,0.9737500548362732,0.962499976158142,0.9825,0.9424999952316284,0.95
TN,1,"[1, 0, 1, 1]",False,50,0.0,align=0.84,wv_squarelin_aligns,0.7450000047683716,0.5149999856948853,0.8595833333333335,0.9920833333333334,0.8525,0.9966666666666668,0.9790000319480896,0.5149999856948853,0.82,0.5899999737739563,0.84
MTL0.8,1,"[1, 0, 1, 1]",False,50,0.8,align=0.84,wv_squarelin_aligns,0.8824999928474426,0.9800000190734864,0.9366666666666666,0.9645833333333332,0.9183333333333332,0.97625,0.9552500247955322,0.9800000190734864,0.9825,0.8824999928474426,0.84
MTL0.5,1,"[1, 0, 1, 1]",False,50,0.5,align=0.84,wv_squarelin_aligns,0.8374999761581421,0.975000023841858,0.9520833333333334,0.9825,0.9425,0.9925,0.9632500410079956,0.975000023841858,0.9725,0.8399999737739563,0.84
MTL0.2,1,"[1, 0, 1, 1]",False,50,0.2,align=0.84,wv_squarelin_aligns,0.8374999761581421,0.975000023841858,0.9625,0.985,0.94625,0.99,0.9706250429153442,0.975000023841858,0.96,0.8450000286102295,0.84
TN,1,"[0, 1, 1, 1]",False,50,0.0,align=0.56,wv_squarelin_aligns,0.5674999952316284,0.5525000095367432,0.97125,0.9904166666666666,0.9466666666666668,0.9904166666666666,0.971250057220459,0.5525000095367432,0.5675,0.5924999713897705,0.56
MTL0.8,1,"[0, 1, 1, 1]",False,50,0.8,align=0.56,wv_squarelin_aligns,0.6575000286102295,0.977500021457672,0.9629166666666666,0.98875,0.9466666666666668,0.9808333333333332,0.9703750610351562,0.977500021457672,0.9775,0.6575000286102295,0.56
MTL0.5,1,"[0, 1, 1, 1]",False,50,0.5,align=0.56,wv_squarelin_aligns,0.6200000047683716,0.977500021457672,0.96375,0.99,0.9404166666666668,0.9816666666666668,0.971500039100647,0.977500021457672,0.9725,0.6175000071525574,0.56
MTL0.2,1,"[0, 1, 1, 1]",False,50,0.2,align=0.56,wv_squarelin_aligns,0.6499999761581421,0.977500021457672,0.9704166666666666,0.9875,0.9420833333333332,0.9795833333333333,0.971500039100647,0.977500021457672,0.98,0.6474999785423279,0.56
TN,0,"[32, 256, 1, 1]",False,50,0.0,align=0.99,wv_squarelin_aligns,0.8550000190734863,0.3125,0.44166666666666665,0.975,0.33916666666666667,0.9616666666666666,0.9716213941574096,0.3125,0.96,0.7574999928474426,0.99
