name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
MTL0.8,2,"[1, 0, 1, 1]",False,512,0.8,align=0.84_p=0.8,wv_squarelin_noisy,0.737500011920929,0.6200000047683716,0.4729166666666667,0.35166666666666674,0.39625,0.31875000000000003,0.5053750276565552,0.959999978542328,0.9725,0.7400000095367432,0.84,0.8
TN,2,"[1, 0, 1, 1]",False,512,0.0,align=0.84_p=0.8,wv_squarelin_noisy,0.6549999713897705,0.6349999904632568,0.3725,0.535,0.29916666666666664,0.53125,0.5142500400543213,0.4900000095367432,0.915,0.6075000166893005,0.84,0.8
MTL0.8,1,"[1, 0, 1, 1]",False,512,0.8,align=0.84_p=0.8,wv_squarelin_noisy,0.7024999856948853,0.5975000262260437,0.4804166666666667,0.36833333333333335,0.4145833333333333,0.35958333333333337,0.4976250231266022,0.9700000286102296,0.985,0.6974999904632568,0.84,0.8
MTL0.2,2,"[1, 0, 1, 1]",False,512,0.2,align=0.84_p=0.8,wv_squarelin_noisy,0.7325000166893005,0.7124999761581421,0.5391666666666667,0.4225,0.4679166666666667,0.41375,0.5062500238418579,0.975000023841858,0.975,0.7400000095367432,0.84,0.8
MTL0.5,2,"[1, 0, 1, 1]",False,512,0.5,align=0.84_p=0.8,wv_squarelin_noisy,0.7400000095367432,0.5699999928474426,0.4708333333333334,0.3595833333333333,0.4133333333333334,0.3566666666666667,0.5116250514984131,0.9350000023841858,0.975,0.7400000095367432,0.84,0.8
MTL0.5,2,"[1, 0, 1, 1]",False,512,0.5,align=0.84_p=0.7,wv_squarelin_noisy,0.7099999785423279,0.699999988079071,0.5133333333333333,0.46541666666666665,0.4575,0.44416666666666665,0.4936250150203705,0.9399999976158142,0.9775,0.699999988079071,0.84,0.7
MTL0.8,2,"[1, 0, 1, 1]",False,512,0.8,align=0.84_p=0.7,wv_squarelin_noisy,0.7699999809265137,0.7174999713897705,0.5529166666666666,0.3466666666666667,0.48625,0.3225,0.5066249966621399,0.977500021457672,0.9825,0.7699999809265137,0.84,0.7
TN,1,"[1, 0, 1, 1]",False,512,0.0,align=0.84_p=0.8,wv_squarelin_noisy,0.699999988079071,0.6474999785423279,0.39041666666666663,0.6025,0.32,0.5783333333333333,0.5065000057220459,0.5099999904632568,0.905,0.6600000262260437,0.84,0.8
TN,2,"[1, 0, 1, 1]",False,512,0.0,align=0.84_p=0.7,wv_squarelin_noisy,0.6949999928474426,0.6524999737739563,0.41125000000000006,0.62125,0.3566666666666667,0.6145833333333334,0.4976250231266022,0.5450000166893005,0.8675,0.6625000238418579,0.84,0.7
MTL0.2,1,"[1, 0, 1, 1]",False,512,0.2,align=0.84_p=0.8,wv_squarelin_noisy,0.6825000047683716,0.6274999976158142,0.4733333333333334,0.41208333333333336,0.4054166666666667,0.39291666666666664,0.5145000219345093,0.9549999833106996,0.9675,0.6825000047683716,0.84,0.8
MTL0.8,0,"[1, 0, 1, 1]",False,512,0.8,align=0.84_p=0.8,wv_squarelin_noisy,0.7024999856948853,0.7425000071525574,0.5754166666666668,0.51,0.4929166666666666,0.52625,0.4736250340938568,0.9649999737739564,0.975,0.7074999809265137,0.84,0.8
