noise,model,seed,
0.5,TN,1,
0.5,TN,2,
0.5,TN,0,
0.5,MTL0.8,1,
0.5,MTL0.8,0,
0.5,MTL0.8,2,
0.5,MTL0.5,2,
0.5,MTL0.5,1,
0.5,MTL0.5,0,
0.5,MTL0.2,1,
0.5,MTL0.2,0,
0.5,MTL0.2,2,
0.3,TN,0,
0.3,TN,2,
0.3,TN,1,
0.3,MTL0.8,1,
0.3,MTL0.8,2,
0.3,MTL0.8,0,
0.3,MTL0.5,2,
0.3,MTL0.5,0,
0.3,MTL0.5,1,
0.3,MTL0.2,0,
0.3,MTL0.2,2,
0.3,MTL0.2,1,
0.15,TN,2,
0.15,TN,0,
0.15,TN,1,
0.15,MTL0.8,0,
0.15,MTL0.8,2,
0.15,MTL0.8,1,
0.15,MTL0.5,1,
0.15,MTL0.5,2,
0.15,MTL0.5,0,
0.15,MTL0.2,0,
0.15,MTL0.2,1,
0.15,MTL0.2,2,
0.1,TN,2,
0.1,TN,0,
0.1,TN,1,
0.1,MTL0.8,1,
0.1,MTL0.8,0,
0.1,MTL0.8,2,
0.1,MTL0.5,2,
0.1,MTL0.5,1,
0.1,MTL0.5,0,
0.1,MTL0.2,2,
0.1,MTL0.2,1,
0.05,MTL0.2,0,
0.05,TN,0,
0.05,TN,1,
0.05,TN,2,
0.05,MTL0.8,2,
0.05,MTL0.8,1,
0.05,MTL0.8,0,
0.05,MTL0.5,1,
0.05,MTL0.5,2,
0.05,MTL0.5,0,
0.05,MTL0.2,1,
0.05,MTL0.2,2,
0.05,MTL0.2,0,
