,Unnamed: 0,powers,weights,scores
697,697,"[1, 2, -2, -2]","[-30, 121, 963, -844]",0.0
1832,1832,"[3, 2, -2, 3]","[-50, 202, 756, 2]",0.0967741935483871
179,179,"[-2, 3, -2, -2]","[377, -267, 538, 946]",0.1935483870967742
1245,1245,"[3, 1, -1, -2]","[333, 37, 45, 760]",0.3064516129032258
115,115,"[-2, 3, -2, -2]","[20, 658, 492, 203]",0.4032258064516129
19,19,"[-1, 1, 1, -3]","[644, 492, -741, -2]",0.5
372,372,"[2, 1, 3, 2]","[60, 834, -60, 160]",0.5967741935483871
146,146,"[1, 1, -2, 1]","[-803, 215, 458, 936]",0.6935483870967742
298,298,"[-1, 2, -3, 3]","[54, 320, -196, 766]",0.8064516129032258
6,6,"[-2, 2, -1, -1]","[695, 395, -443, -514]",0.9032258064516128
814,814,"[2, -2, -1, 1]","[595, 631, 442, 802]",1.0
