wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h
wv_3d_noisy,align=0.8_p=0.7,TN,0,"[1, 0, 1, 1]",512,0.0,0.46,0.50883335,1.0,0.3025,0.3025,0.6475,0.6475,0.6425,0.7575,0.7575,0.7725,0.8025,0.8025,0.8325,,,,,
wv_3d_noisy,align=0.8_p=0.7,TN,0,"[1, 0, 1, 1]",512,0.0,0.46,0.50883335,1.0,0.3025,0.3025,0.6475,0.6475,0.6425,0.7575,0.7575,0.7725,0.8025,0.8025,0.8325,,,,,
wv_3d_noisy,align=0.925_p=0.1,TN,0,"[256, 1, 256, 256]",512,0.0,0.46,0.85366666,1.0,0.85125,0.85125,0.85,0.85,1.0,0.885,0.885,1.0,0.905,0.905,1.0,,,,,
wv_3d_noisy,align=0.925_p=0.2,TN,0,"[256, 1, 256, 256]",512,0.0,0.46,0.7683333,1.0,0.77075,0.77075,0.805,0.805,1.0,0.8275,0.8275,1.0,0.8525,0.8525,1.0,,,,,
wv_3d_noisy,align=0.925_p=0.2,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.9925,0.715,0.9975,0.68175,0.68175,0.8275,0.83,1.0,0.8325,0.8325,1.0,0.855,0.855,1.0,,,,,
wv_3d_noisy,align=0.925_p=0.1,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.826,1.0,0.78675,0.78675,0.8825,0.8825,1.0,0.8675,0.8675,1.0,0.865,0.865,1.0,,,,,
wv_3d_square_predicted_filtered,align=0.92_filtered,MTL0.5,0,"[1, 256, 256, 256]",512,0.5,0.995,0.9720356,1.0,0.8800000000000001,0.8800000000000001,0.9375,0.9375,1.0,0.93,0.93,1.0,0.9325,0.9325,1.0,,,,,
wv_3d_square_predicted_filtered,align=0.8_filtered,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.995,0.9755412,1.0,0.916,0.916,0.9075,0.9075,1.0,0.855,0.855,1.0,0.83,0.83,1.0,,,,,
wv_3d_square_predicted_filtered,align=1_filtered,MTL0.5,0,"[1, 1, 1, 1]",512,0.5,0.995,0.96521926,1.0,0.8094999999999999,0.8094999999999999,0.995,0.995,1.0,0.995,0.995,1.0,0.995,0.995,1.0,,,,,
wv_3d_noisy,align=0.925_p=0.3,TN,0,"[256, 1, 256, 256]",512,0.0,0.46,0.6675,1.0,0.7035,0.7035,0.8175,0.8175,1.0,0.84,0.84,1.0,0.8525,0.8525,1.0,,,,,
