wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,NI_h2h,NO_h2h,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc
wv_3d_linear,align=0.67,TN,0,"[1, 0, 0, 0]",512,0.0,0.37688443,0.97402066,0.9698492462311558,0.84463986599665,0.9773869346733668,0.6306532663316583,0.6306532663316583,0.9698492462311558
wv_3d_linear,align=0.67,MTL0.8,0,"[1, 0, 0, 0]",512,0.8,0.9849246,0.9754414,0.984924623115578,0.8224455611390286,0.8940536013400334,0.8768844221105527,0.8768844221105527,0.984924623115578
wv_3d_linear,align=0.67,MTL0.5,0,"[1, 0, 0, 0]",512,0.5,0.98994976,0.9756444,0.992462311557789,0.8253768844221105,0.930067001675042,0.8366834170854272,0.8366834170854272,0.9899497487437184
wv_3d_linear,align=0.67,MTL0.2,0,"[1, 0, 0, 0]",512,0.2,0.98994976,0.9782829,0.9874371859296482,0.8291457286432161,0.946817420435511,0.8140703517587939,0.8140703517587939,0.9899497487437184
wv_3d_linear,align=0.95,MTL0.2,0,"[2048, 1, 0, 0]",512,0.2,0.98241204,0.98106366,0.9874371859296482,0.8329145728643216,0.9317420435510888,0.864321608040201,0.8668341708542714,0.9824120603015076
wv_3d_linear_unfiltered,align=0.62,TN,0,"[0, 1, 0, 0]",512,0.0,0.6356784,0.9816667,0.8844221105527639,0.8886097152428811,0.9815745393634842,0.6206030150753769,0.6206030150753769,0.8844221105527639
wv_3d_linear_unfiltered,align=0.67,TN,0,"[1, 0, 0, 0]",512,0.0,0.5025126,0.9805,0.864321608040201,0.8668341708542714,0.9819932998324958,0.5904522613065326,0.5904522613065326,0.864321608040201
wv_3d_linear_unfiltered,align=0.67,MTL0.2,0,"[1, 0, 0, 0]",512,0.2,0.97738695,0.9783333,0.9899497487437184,0.838358458961474,0.9660804020100504,0.6859296482412061,0.678391959798995,0.9773869346733668
wv_3d_linear_unfiltered,align=0.62,MTL0.8,0,"[0, 1, 0, 0]",512,0.8,0.9874372,0.95916665,0.9899497487437184,0.8689279731993299,0.9639865996649916,0.6733668341708543,0.6683417085427136,0.9874371859296482
wv_3d_linear_unfiltered,align=0.67,MTL0.8,0,"[1, 0, 0, 0]",512,0.8,0.99497485,0.9658333,0.992462311557789,0.8287269681742043,0.946817420435511,0.7236180904522613,0.7261306532663316,0.9949748743718592
wv_3d_linear_unfiltered,align=0.62,MTL0.5,0,"[0, 1, 0, 0]",512,0.5,0.9874372,0.9695,0.9899497487437184,0.8731155778894472,0.9568676716917924,0.6834170854271356,0.6809045226130653,0.9874371859296482
wv_3d_linear_unfiltered,align=0.67,MTL0.5,0,"[1, 0, 0, 0]",512,0.5,0.9849246,0.9773333,0.9874371859296482,0.8350083752093802,0.9585427135678392,0.6809045226130653,0.6859296482412061,0.984924623115578
wv_3d_linear,align=0.62,TN,0,"[0, 1, 0, 0]",512,0.0,0.1959799,0.9842773,0.9698492462311558,0.8953098827470686,0.9698492462311558,0.6532663316582915,0.6532663316582915,0.9698492462311558
wv_3d_linear,align=0.95,TN,0,"[2048, 1, 0, 0]",512,0.0,0.5025126,0.98146653,0.9748743718592964,0.8463149078726967,0.9736180904522612,0.8040201005025126,0.8040201005025126,0.9748743718592964
wv_3d_linear,align=0.62,MTL0.5,0,"[0, 1, 0, 0]",512,0.5,0.96482414,0.98266476,0.9748743718592964,0.8576214405360134,0.916247906197655,0.7763819095477387,0.7738693467336684,0.964824120603015
wv_3d_linear,align=0.62,MTL0.2,0,"[0, 1, 0, 0]",512,0.2,0.97738695,0.97923803,0.992462311557789,0.8630653266331659,0.9367671691792294,0.7939698492462312,0.7914572864321608,0.9773869346733668
wv_3d_linear,align=0.62,MTL0.8,0,"[0, 1, 0, 0]",512,0.8,0.9849246,0.9760129,0.9899497487437184,0.8446398659966499,0.914572864321608,0.8115577889447236,0.8090452261306532,0.984924623115578
wv_3d_linear,align=0.95,MTL0.8,0,"[2048, 1, 0, 0]",512,0.8,0.98241204,0.9719984,0.984924623115578,0.8257956448911222,0.8978224455611391,0.8768844221105527,0.8768844221105527,0.9824120603015076
wv_3d_linear,align=0.96,MTL0.2,0,"[1, 2048, 0, 0]",512,0.2,0.98241204,0.97218275,0.9899497487437184,0.8651591289782244,0.9325795644891124,0.8819095477386935,0.8819095477386935,0.9824120603015076
wv_3d_linear,align=0.95,MTL0.5,0,"[2048, 1, 0, 0]",512,0.5,0.9723618,0.97018534,0.9874371859296482,0.8132328308207706,0.914572864321608,0.9020100502512562,0.8969849246231156,0.9723618090452262
wv_3d_linear_unfiltered,align=0.95,TN,0,"[2048, 1, 0, 0]",512,0.0,0.3115578,0.9845,0.8693467336683417,0.8626465661641541,0.9773869346733668,0.8015075376884422,0.8015075376884422,0.8693467336683417
wv_3d_linear_unfiltered,align=0.62,MTL0.2,0,"[0, 1, 0, 0]",512,0.2,0.97738695,0.974,0.9949748743718592,0.9011725293132328,0.9656616415410384,0.7160804020100503,0.7085427135678392,0.9773869346733668
wv_3d_linear_unfiltered,align=0.95,MTL0.2,0,"[2048, 1, 0, 0]",512,0.2,0.9874372,0.9748333,0.992462311557789,0.8563651591289781,0.9681742043551088,0.8090452261306532,0.8115577889447236,0.9874371859296482
wv_3d_linear,align=0.67,TN,1,"[1, 0, 0, 0]",512,0.0,0.34924623,0.9807185,0.9874371859296482,0.8521775544388609,0.9769681742043552,0.6809045226130653,0.6809045226130653,0.9874371859296482
wv_3d_linear_unfiltered,align=0.95,MTL0.5,0,"[2048, 1, 0, 0]",512,0.5,0.98994976,0.97183335,0.9874371859296482,0.8383584589614741,0.966499162479062,0.8417085427135679,0.8417085427135679,0.9899497487437184
wv_3d_linear,align=0.67,MTL0.5,1,"[1, 0, 0, 0]",512,0.5,0.9748744,0.9762533,0.9874371859296482,0.8375209380234505,0.923785594639866,0.821608040201005,0.821608040201005,0.9748743718592964
wv_3d_linear,align=0.67,MTL0.8,1,"[1, 0, 0, 0]",512,0.8,0.98994976,0.9746296,0.992462311557789,0.8161641541038526,0.9141541038525964,0.8517587939698492,0.8517587939698492,0.9899497487437184
wv_3d_linear,align=0.67,MTL0.2,1,"[1, 0, 0, 0]",512,0.2,0.9849246,0.9772681,0.984924623115578,0.8245393634840871,0.9396984924623116,0.7889447236180904,0.7864321608040201,0.984924623115578
wv_3d_linear,align=0.95,MTL0.2,1,"[2048, 1, 0, 0]",512,0.2,0.959799,0.97602737,0.9773869346733668,0.8358458961474037,0.9413735343383584,0.8190954773869347,0.821608040201005,0.9597989949748744
wv_3d_linear_unfiltered,align=0.62,TN,1,"[0, 1, 0, 0]",512,0.0,0.69849247,0.981,0.8944723618090452,0.9120603015075378,0.9828308207705192,0.5628140703517588,0.5628140703517588,0.8944723618090452
wv_3d_linear_unfiltered,align=0.67,TN,1,"[1, 0, 0, 0]",512,0.0,0.5025126,0.97866666,0.8567839195979899,0.861390284757119,0.9790619765494138,0.6005025125628141,0.6005025125628141,0.8567839195979899
wv_3d_linear_unfiltered,align=0.67,MTL0.2,1,"[1, 0, 0, 0]",512,0.2,0.9974874,0.97466666,0.992462311557789,0.8433835845896147,0.9744556113902848,0.7236180904522613,0.7236180904522613,0.9974874371859296
wv_3d_linear_unfiltered,align=0.62,MTL0.8,1,"[0, 1, 0, 0]",512,0.8,0.98994976,0.9658333,0.992462311557789,0.8576214405360134,0.9610552763819096,0.7160804020100503,0.7185929648241206,0.9899497487437184
wv_3d_linear_unfiltered,align=0.67,MTL0.8,1,"[1, 0, 0, 0]",512,0.8,0.99497485,0.9618333,0.9949748743718592,0.8408710217755444,0.9409547738693468,0.7964824120603015,0.7964824120603015,0.9949748743718592
wv_3d_linear_unfiltered,align=0.67,MTL0.5,1,"[1, 0, 0, 0]",512,0.5,0.9798995,0.969,0.9824120603015076,0.8668341708542714,0.9669179229480735,0.7462311557788944,0.7462311557788944,0.9798994974874372
wv_3d_linear_unfiltered,align=0.62,MTL0.5,1,"[0, 1, 0, 0]",512,0.5,0.98994976,0.9708333,0.9899497487437184,0.8630653266331659,0.9606365159128978,0.7412060301507538,0.7437185929648241,0.9899497487437184
wv_3d_linear,align=0.62,TN,1,"[0, 1, 0, 0]",512,0.0,0.7361809,0.9822616,0.9824120603015076,0.8860971524288107,0.9752931323283082,0.6708542713567839,0.6708542713567839,0.9824120603015076
