wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_1nn_acc,NI_h2h,NO_h2h,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc
wv_3d_linear_num,align=0.62_p=0.03125,MTL0.2,0,"[0, 1, 0, 0]",512,0.2,0.9798994974874372,0.7010050251256281,0.8990787269681743,0.7738693467336684,0.7562814070351759,0.949748743718593
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.2,0,"[0, 1, 0, 0]",512,0.2,0.9874371859296482,0.682998324958124,0.91750418760469,0.7286432160804021,0.7311557788944724,0.964824120603015
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.5,0,"[0, 1, 0, 0]",512,0.5,0.9949748743718592,0.6700167504187604,0.8768844221105527,0.7889447236180904,0.7864321608040201,0.984924623115578
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.5,0,"[0, 1, 0, 0]",512,0.5,0.9874371859296482,0.6901172529313233,0.778894472361809,0.8542713567839196,0.8542713567839196,0.964824120603015
wv_3d_linear_num,align=0.62_p=0.0078125,TN,0,"[0, 1, 0, 0]",512,0.0,0.9723618090452262,0.5418760469011725,0.9262981574539364,0.7437185929648241,0.6155778894472361,0.4773869346733668
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.2,0,"[0, 1, 0, 0]",512,0.2,0.9874371859296482,0.6846733668341708,0.8676716917922948,0.7512562814070352,0.7512562814070352,0.9798994974874372
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.8,0,"[0, 1, 0, 0]",512,0.8,0.984924623115578,0.6909547738693468,0.8953098827470688,0.8065326633165829,0.7939698492462312,0.9773869346733668
wv_3d_linear_num,align=0.62_p=0.0078125,TN,0,"[0, 1, 0, 0]",512,0.0,0.9673366834170856,0.5695142378559463,0.9304857621440537,0.6633165829145728,0.5,0.4346733668341708
wv_3d_linear_num,align=0.62_p=0.015625,MTL0.2,1,"[0, 1, 0, 0]",512,0.2,0.9899497487437184,0.6926298157453936,0.8856783919597989,0.7788944723618091,0.7663316582914573,0.9522613065326632
wv_3d_linear_num,align=0.62_p=0.015625,MTL0.2,1,"[0, 1, 0, 0]",512,0.2,0.984924623115578,0.7190117252931323,0.9191792294807368,0.7487437185929648,0.7462311557788944,0.9874371859296482
wv_3d_linear_num,align=0.62_p=0.015625,MTL0.8,1,"[0, 1, 0, 0]",512,0.8,0.9874371859296482,0.7060301507537687,0.8840033500837521,0.7939698492462312,0.7964824120603015,0.984924623115578
wv_3d_linear_num,align=0.62_p=0.015625,TN,1,"[0, 1, 0, 0]",512,0.0,0.9698492462311558,0.6549413735343383,0.9258793969849246,0.6984924623115578,0.5477386934673367,0.6130653266331658
wv_3d_linear_num,align=0.62_p=0.015625,MTL0.8,1,"[0, 1, 0, 0]",512,0.8,0.9824120603015076,0.6976549413735343,0.8701842546063651,0.7814070351758794,0.7763819095477387,0.9673366834170856
wv_3d_linear_num,align=0.62_p=0.015625,TN,1,"[0, 1, 0, 0]",512,0.0,0.9723618090452262,0.612646566164154,0.9434673366834172,0.7185929648241206,0.5552763819095478,0.4547738693467337
wv_3d_linear_num,align=0.62_p=0.03125,MTL0.2,1,"[0, 1, 0, 0]",512,0.2,0.9824120603015076,0.7311557788944724,0.9200167504187604,0.7311557788944724,0.7286432160804021,0.9547738693467336
wv_3d_linear_num,align=0.62_p=0.015625,MTL0.2,2,"[0, 1, 0, 0]",512,0.2,0.9874371859296482,0.716499162479062,0.8948911222780569,0.7487437185929648,0.7437185929648241,0.9346733668341708
wv_3d_linear_num,align=0.62_p=0.015625,MTL0.5,2,"[0, 1, 0, 0]",512,0.5,0.9899497487437184,0.6817420435510888,0.8831658291457286,0.7889447236180904,0.7587939698492462,0.8919597989949749
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.2,1,"[0, 1, 0, 0]",512,0.2,0.9874371859296482,0.6792294807370185,0.8948911222780569,0.7211055276381909,0.7185929648241206,0.9748743718592964
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.5,1,"[0, 1, 0, 0]",512,0.5,0.992462311557789,0.6947236180904522,0.9074539363484088,0.7613065326633166,0.7613065326633166,0.984924623115578
wv_3d_linear_num,align=0.62_p=0.015625,MTL0.5,2,"[0, 1, 0, 0]",512,0.5,0.992462311557789,0.7294807370184255,0.8953098827470688,0.7914572864321608,0.7839195979899497,0.964824120603015
wv_3d_linear_num,align=0.62_p=0.015625,MTL0.2,2,"[0, 1, 0, 0]",512,0.2,0.9899497487437184,0.7516750418760468,0.8994974874371859,0.7914572864321608,0.7964824120603015,0.9798994974874372
wv_3d_linear_num,align=0.62_p=0.015625,TN,2,"[0, 1, 0, 0]",512,0.0,0.9748743718592964,0.682998324958124,0.9191792294807368,0.7060301507537688,0.6155778894472361,0.6407035175879398
wv_3d_linear_num,align=0.62_p=0.015625,MTL0.8,2,"[0, 1, 0, 0]",512,0.8,0.9949748743718592,0.6817420435510888,0.911641541038526,0.7738693467336684,0.7512562814070352,0.9321608040201004
wv_3d_linear_num,align=0.62_p=0.015625,MTL0.8,2,"[0, 1, 0, 0]",512,0.8,0.9949748743718592,0.7043551088777219,0.8442211055276382,0.8140703517587939,0.7989949748743719,0.9748743718592964
