question_id,image_id,anwser.similar,image.path
8092,190,1,img/bm/test/1/149.jpg
8092,82,1,img/bm/train/1/127.jpg
8092,51,1,img/bm/train/0/79.jpg
8079,177,2,img/bm/test/0/96.jpg
8079,13,2,img/bm/train/0/18.jpg
8079,90,2,img/bm/train/1/137.jpg
8072,170,2,img/bm/test/0/49.jpg
8072,55,2,img/bm/train/0/83.jpg
8072,90,2,img/bm/train/1/137.jpg
8090,188,2,img/bm/test/1/147.jpg
8090,95,2,img/bm/train/1/153.jpg
8090,52,2,img/bm/train/0/80.jpg
8067,165,2,img/bm/test/0/44.jpg
8067,44,2,img/bm/train/0/71.jpg
8067,90,2,img/bm/train/1/137.jpg
8081,179,2,img/bm/test/0/98.jpg
8081,44,2,img/bm/train/0/71.jpg
8081,90,2,img/bm/train/1/137.jpg
8091,189,2,img/bm/test/1/148.jpg
8091,92,2,img/bm/train/1/139.jpg
8091,51,2,img/bm/train/0/79.jpg
8101,199,2,img/bm/test/1/198.jpg
8101,92,2,img/bm/train/1/139.jpg
8101,55,2,img/bm/train/0/83.jpg
8078,176,1,img/bm/test/0/95.jpg
8078,13,1,img/bm/train/0/18.jpg
8078,90,1,img/bm/train/1/137.jpg
8089,187,1,img/bm/test/1/146.jpg
8089,94,1,img/bm/train/1/152.jpg
8089,51,1,img/bm/train/0/79.jpg
8088,186,1,img/bm/test/1/145.jpg
8088,68,1,img/bm/train/1/107.jpg
8088,52,1,img/bm/train/0/80.jpg
8074,172,2,img/bm/test/0/91.jpg
8074,13,2,img/bm/train/0/18.jpg
8074,90,2,img/bm/train/1/137.jpg
8093,191,1,img/bm/test/1/190.jpg
8093,90,1,img/bm/train/1/137.jpg
8093,55,1,img/bm/train/0/83.jpg
8095,193,1,img/bm/test/1/192.jpg
8095,90,1,img/bm/train/1/137.jpg
8095,55,1,img/bm/train/0/83.jpg
8076,174,1,img/bm/test/0/93.jpg
8076,44,1,img/bm/train/0/71.jpg
8076,90,1,img/bm/train/1/137.jpg
8097,195,1,img/bm/test/1/194.jpg
8097,92,1,img/bm/train/1/139.jpg
8097,55,1,img/bm/train/0/83.jpg
8102,200,2,img/bm/test/1/199.jpg
8102,92,2,img/bm/train/1/139.jpg
8102,55,2,img/bm/train/0/83.jpg
8100,198,2,img/bm/test/1/197.jpg
8100,82,2,img/bm/train/1/127.jpg
8100,51,2,img/bm/train/0/79.jpg
8068,166,2,img/bm/test/0/45.jpg
8068,44,2,img/bm/train/0/71.jpg
8068,92,2,img/bm/train/1/139.jpg
8064,162,1,img/bm/test/0/41.jpg
8064,44,1,img/bm/train/0/71.jpg
8064,90,1,img/bm/train/1/137.jpg
8094,192,2,img/bm/test/1/191.jpg
8094,78,2,img/bm/train/1/120.jpg
8094,51,2,img/bm/train/0/79.jpg
8065,163,1,img/bm/test/0/42.jpg
8065,55,1,img/bm/train/0/83.jpg
8065,90,1,img/bm/train/1/137.jpg
8085,183,2,img/bm/test/1/142.jpg
8085,83,2,img/bm/train/1/128.jpg
8085,51,2,img/bm/train/0/79.jpg
8080,178,2,img/bm/test/0/97.jpg
8080,55,2,img/bm/train/0/83.jpg
8080,90,2,img/bm/train/1/137.jpg
8077,175,2,img/bm/test/0/94.jpg
8077,31,2,img/bm/train/0/54.jpg
8077,90,2,img/bm/train/1/137.jpg
8070,168,2,img/bm/test/0/47.jpg
8070,55,2,img/bm/train/0/83.jpg
8070,92,2,img/bm/train/1/139.jpg
8075,173,2,img/bm/test/0/92.jpg
8075,44,2,img/bm/train/0/71.jpg
8075,90,2,img/bm/train/1/137.jpg
8083,181,2,img/bm/test/1/140.jpg
8083,107,2,img/bm/train/1/172.jpg
8083,51,2,img/bm/train/0/79.jpg
8099,197,2,img/bm/test/1/196.jpg
8099,82,2,img/bm/train/1/127.jpg
8099,51,2,img/bm/train/0/79.jpg
8069,167,1,img/bm/test/0/46.jpg
8069,55,1,img/bm/train/0/83.jpg
8069,61,1,img/bm/train/1/100.jpg
8086,184,1,img/bm/test/1/143.jpg
8086,92,1,img/bm/train/1/139.jpg
8086,55,1,img/bm/train/0/83.jpg
8098,196,2,img/bm/test/1/195.jpg
8098,92,2,img/bm/train/1/139.jpg
8098,55,2,img/bm/train/0/83.jpg
8096,194,2,img/bm/test/1/193.jpg
8096,82,2,img/bm/train/1/127.jpg
8096,51,2,img/bm/train/0/79.jpg
8073,171,1,img/bm/test/0/90.jpg
8073,44,1,img/bm/train/0/71.jpg
8073,90,1,img/bm/train/1/137.jpg
8082,180,2,img/bm/test/0/99.jpg
8082,44,2,img/bm/train/0/71.jpg
8082,90,2,img/bm/train/1/137.jpg
8084,182,2,img/bm/test/1/141.jpg
8084,90,2,img/bm/train/1/137.jpg
8084,55,2,img/bm/train/0/83.jpg
8063,161,1,img/bm/test/0/40.jpg
8063,9,1,img/bm/train/0/12.jpg
8063,90,1,img/bm/train/1/137.jpg
8071,169,1,img/bm/test/0/48.jpg
8071,31,1,img/bm/train/0/54.jpg
8071,92,1,img/bm/train/1/139.jpg
8066,164,1,img/bm/test/0/43.jpg
8066,55,1,img/bm/train/0/83.jpg
8066,61,1,img/bm/train/1/100.jpg
8087,185,1,img/bm/test/1/144.jpg
8087,92,1,img/bm/train/1/139.jpg
8087,55,1,img/bm/train/0/83.jpg
8211,189,2,img/bm/test/1/148.jpg
8211,92,2,img/bm/train/1/139.jpg
8211,28,2,img/bm/train/0/51.jpg
8222,200,1,img/bm/test/1/199.jpg
8222,92,1,img/bm/train/1/139.jpg
8222,28,1,img/bm/train/0/51.jpg
8187,165,1,img/bm/test/0/44.jpg
8187,44,1,img/bm/train/0/71.jpg
8187,108,1,img/bm/train/1/173.jpg
8198,176,2,img/bm/test/0/95.jpg
8198,13,2,img/bm/train/0/18.jpg
8198,108,2,img/bm/train/1/173.jpg
8209,187,2,img/bm/test/1/146.jpg
8209,94,2,img/bm/train/1/152.jpg
8209,28,2,img/bm/train/0/51.jpg
8203,181,2,img/bm/test/1/140.jpg
8203,107,2,img/bm/train/1/172.jpg
8203,28,2,img/bm/train/0/51.jpg
8214,192,1,img/bm/test/1/191.jpg
8214,78,1,img/bm/train/1/120.jpg
8214,28,1,img/bm/train/0/51.jpg
8190,168,2,img/bm/test/0/47.jpg
8190,55,2,img/bm/train/0/83.jpg
8190,99,2,img/bm/train/1/161.jpg
8199,177,2,img/bm/test/0/96.jpg
8199,13,2,img/bm/train/0/18.jpg
8199,108,2,img/bm/train/1/173.jpg
8194,172,2,img/bm/test/0/91.jpg
8194,13,2,img/bm/train/0/18.jpg
8194,108,2,img/bm/train/1/173.jpg
8202,180,2,img/bm/test/0/99.jpg
8202,44,2,img/bm/train/0/71.jpg
8202,108,2,img/bm/train/1/173.jpg
8216,194,2,img/bm/test/1/193.jpg
8216,82,2,img/bm/train/1/127.jpg
8216,28,2,img/bm/train/0/51.jpg
8195,173,2,img/bm/test/0/92.jpg
8195,44,2,img/bm/train/0/71.jpg
8195,108,2,img/bm/train/1/173.jpg
8201,179,1,img/bm/test/0/98.jpg
8201,44,1,img/bm/train/0/71.jpg
8201,108,1,img/bm/train/1/173.jpg
8221,199,2,img/bm/test/1/198.jpg
8221,92,2,img/bm/train/1/139.jpg
8221,28,2,img/bm/train/0/51.jpg
8196,174,1,img/bm/test/0/93.jpg
8196,44,1,img/bm/train/0/71.jpg
8196,108,1,img/bm/train/1/173.jpg
8193,171,2,img/bm/test/0/90.jpg
8193,44,2,img/bm/train/0/71.jpg
8193,108,2,img/bm/train/1/173.jpg
8205,183,1,img/bm/test/1/142.jpg
8205,83,1,img/bm/train/1/128.jpg
8205,28,1,img/bm/train/0/51.jpg
8215,193,2,img/bm/test/1/192.jpg
8215,90,2,img/bm/train/1/137.jpg
8215,28,2,img/bm/train/0/51.jpg
8208,186,2,img/bm/test/1/145.jpg
8208,68,2,img/bm/train/1/107.jpg
8208,28,2,img/bm/train/0/51.jpg
8200,178,1,img/bm/test/0/97.jpg
8200,55,1,img/bm/train/0/83.jpg
8200,101,1,img/bm/train/1/166.jpg
8219,197,2,img/bm/test/1/196.jpg
8219,82,2,img/bm/train/1/127.jpg
8219,28,2,img/bm/train/0/51.jpg
8212,190,2,img/bm/test/1/149.jpg
8212,82,2,img/bm/train/1/127.jpg
8212,28,2,img/bm/train/0/51.jpg
8197,175,2,img/bm/test/0/94.jpg
8197,31,2,img/bm/train/0/54.jpg
8197,108,2,img/bm/train/1/173.jpg
8185,163,2,img/bm/test/0/42.jpg
8185,55,2,img/bm/train/0/83.jpg
8185,108,2,img/bm/train/1/173.jpg
8207,185,1,img/bm/test/1/144.jpg
8207,92,1,img/bm/train/1/139.jpg
8207,5,1,img/bm/train/0/7.jpg
8210,188,2,img/bm/test/1/147.jpg
8210,95,2,img/bm/train/1/153.jpg
8210,28,2,img/bm/train/0/51.jpg
8189,167,2,img/bm/test/0/46.jpg
8189,55,2,img/bm/train/0/83.jpg
8189,108,2,img/bm/train/1/173.jpg
8218,196,1,img/bm/test/1/195.jpg
8218,92,1,img/bm/train/1/139.jpg
8218,28,1,img/bm/train/0/51.jpg
8217,195,1,img/bm/test/1/194.jpg
8217,92,1,img/bm/train/1/139.jpg
8217,28,1,img/bm/train/0/51.jpg
8204,182,1,img/bm/test/1/141.jpg
8204,90,1,img/bm/train/1/137.jpg
8204,28,1,img/bm/train/0/51.jpg
8220,198,2,img/bm/test/1/197.jpg
8220,82,2,img/bm/train/1/127.jpg
8220,28,2,img/bm/train/0/51.jpg
8183,161,2,img/bm/test/0/40.jpg
8183,9,2,img/bm/train/0/12.jpg
8183,108,2,img/bm/train/1/173.jpg
8186,164,2,img/bm/test/0/43.jpg
8186,55,2,img/bm/train/0/83.jpg
8186,108,2,img/bm/train/1/173.jpg
8213,191,2,img/bm/test/1/190.jpg
8213,90,2,img/bm/train/1/137.jpg
8213,5,2,img/bm/train/0/7.jpg
8192,170,1,img/bm/test/0/49.jpg
8192,55,1,img/bm/train/0/83.jpg
8192,108,1,img/bm/train/1/173.jpg
8191,169,2,img/bm/test/0/48.jpg
8191,31,2,img/bm/train/0/54.jpg
8191,108,2,img/bm/train/1/173.jpg
8206,184,2,img/bm/test/1/143.jpg
8206,92,2,img/bm/train/1/139.jpg
8206,28,2,img/bm/train/0/51.jpg
8184,162,2,img/bm/test/0/41.jpg
8184,44,2,img/bm/train/0/71.jpg
8184,108,2,img/bm/train/1/173.jpg
8188,166,2,img/bm/test/0/45.jpg
8188,44,2,img/bm/train/0/71.jpg
8188,101,2,img/bm/train/1/166.jpg
8097,195,2,img/bm/test/1/194.jpg
8097,92,2,img/bm/train/1/139.jpg
8097,55,2,img/bm/train/0/83.jpg
8066,164,2,img/bm/test/0/43.jpg
8066,55,2,img/bm/train/0/83.jpg
8066,61,2,img/bm/train/1/100.jpg
8065,163,1,img/bm/test/0/42.jpg
8065,55,1,img/bm/train/0/83.jpg
8065,90,1,img/bm/train/1/137.jpg
8075,173,1,img/bm/test/0/92.jpg
8075,44,1,img/bm/train/0/71.jpg
8075,90,1,img/bm/train/1/137.jpg
8095,193,1,img/bm/test/1/192.jpg
8095,90,1,img/bm/train/1/137.jpg
8095,55,1,img/bm/train/0/83.jpg
8073,171,1,img/bm/test/0/90.jpg
8073,44,1,img/bm/train/0/71.jpg
8073,90,1,img/bm/train/1/137.jpg
8069,167,1,img/bm/test/0/46.jpg
8069,55,1,img/bm/train/0/83.jpg
8069,61,1,img/bm/train/1/100.jpg
8068,166,1,img/bm/test/0/45.jpg
8068,44,1,img/bm/train/0/71.jpg
8068,92,1,img/bm/train/1/139.jpg
8068,166,1,img/bm/test/0/45.jpg
8068,44,1,img/bm/train/0/71.jpg
8068,92,1,img/bm/train/1/139.jpg
8090,188,1,img/bm/test/1/147.jpg
8090,95,1,img/bm/train/1/153.jpg
8090,52,1,img/bm/train/0/80.jpg
8079,177,2,img/bm/test/0/96.jpg
8079,13,2,img/bm/train/0/18.jpg
8079,90,2,img/bm/train/1/137.jpg
8077,175,1,img/bm/test/0/94.jpg
8077,31,1,img/bm/train/0/54.jpg
8077,90,1,img/bm/train/1/137.jpg
8100,198,1,img/bm/test/1/197.jpg
8100,82,1,img/bm/train/1/127.jpg
8100,51,1,img/bm/train/0/79.jpg
8088,186,1,img/bm/test/1/145.jpg
8088,68,1,img/bm/train/1/107.jpg
8088,52,1,img/bm/train/0/80.jpg
8081,179,2,img/bm/test/0/98.jpg
8081,44,2,img/bm/train/0/71.jpg
8081,90,2,img/bm/train/1/137.jpg
8067,165,1,img/bm/test/0/44.jpg
8067,44,1,img/bm/train/0/71.jpg
8067,90,1,img/bm/train/1/137.jpg
8076,174,2,img/bm/test/0/93.jpg
8076,44,2,img/bm/train/0/71.jpg
8076,90,2,img/bm/train/1/137.jpg
8098,196,2,img/bm/test/1/195.jpg
8098,92,2,img/bm/train/1/139.jpg
8098,55,2,img/bm/train/0/83.jpg
8094,192,2,img/bm/test/1/191.jpg
8094,78,2,img/bm/train/1/120.jpg
8094,51,2,img/bm/train/0/79.jpg
8072,170,2,img/bm/test/0/49.jpg
8072,55,2,img/bm/train/0/83.jpg
8072,90,2,img/bm/train/1/137.jpg
8074,172,1,img/bm/test/0/91.jpg
8074,13,1,img/bm/train/0/18.jpg
8074,90,1,img/bm/train/1/137.jpg
8078,176,2,img/bm/test/0/95.jpg
8078,13,2,img/bm/train/0/18.jpg
8078,90,2,img/bm/train/1/137.jpg
8078,176,2,img/bm/test/0/95.jpg
8078,13,2,img/bm/train/0/18.jpg
8078,90,2,img/bm/train/1/137.jpg
8082,180,2,img/bm/test/0/99.jpg
8082,44,2,img/bm/train/0/71.jpg
8082,90,2,img/bm/train/1/137.jpg
8101,199,1,img/bm/test/1/198.jpg
8101,92,1,img/bm/train/1/139.jpg
8101,55,1,img/bm/train/0/83.jpg
8064,162,2,img/bm/test/0/41.jpg
8064,44,2,img/bm/train/0/71.jpg
8064,90,2,img/bm/train/1/137.jpg
8086,184,1,img/bm/test/1/143.jpg
8086,92,1,img/bm/train/1/139.jpg
8086,55,1,img/bm/train/0/83.jpg
8092,190,1,img/bm/test/1/149.jpg
8092,82,1,img/bm/train/1/127.jpg
8092,51,1,img/bm/train/0/79.jpg
8102,200,1,img/bm/test/1/199.jpg
8102,92,1,img/bm/train/1/139.jpg
8102,55,1,img/bm/train/0/83.jpg
8085,183,2,img/bm/test/1/142.jpg
8085,83,2,img/bm/train/1/128.jpg
8085,51,2,img/bm/train/0/79.jpg
8084,182,2,img/bm/test/1/141.jpg
8084,90,2,img/bm/train/1/137.jpg
8084,55,2,img/bm/train/0/83.jpg
8063,161,1,img/bm/test/0/40.jpg
8063,9,1,img/bm/train/0/12.jpg
8063,90,1,img/bm/train/1/137.jpg
8096,194,1,img/bm/test/1/193.jpg
8096,82,1,img/bm/train/1/127.jpg
8096,51,1,img/bm/train/0/79.jpg
8080,178,2,img/bm/test/0/97.jpg
8080,55,2,img/bm/train/0/83.jpg
8080,90,2,img/bm/train/1/137.jpg
8093,191,2,img/bm/test/1/190.jpg
8093,90,2,img/bm/train/1/137.jpg
8093,55,2,img/bm/train/0/83.jpg
8093,191,2,img/bm/test/1/190.jpg
8093,90,2,img/bm/train/1/137.jpg
8093,55,2,img/bm/train/0/83.jpg
8083,181,2,img/bm/test/1/140.jpg
8083,107,2,img/bm/train/1/172.jpg
8083,51,2,img/bm/train/0/79.jpg
8087,185,2,img/bm/test/1/144.jpg
8087,92,2,img/bm/train/1/139.jpg
8087,55,2,img/bm/train/0/83.jpg
8089,187,1,img/bm/test/1/146.jpg
8089,94,1,img/bm/train/1/152.jpg
8089,51,1,img/bm/train/0/79.jpg
8071,169,2,img/bm/test/0/48.jpg
8071,31,2,img/bm/train/0/54.jpg
8071,92,2,img/bm/train/1/139.jpg
8099,197,2,img/bm/test/1/196.jpg
8099,82,2,img/bm/train/1/127.jpg
8099,51,2,img/bm/train/0/79.jpg
8091,189,2,img/bm/test/1/148.jpg
8091,92,2,img/bm/train/1/139.jpg
8091,51,2,img/bm/train/0/79.jpg
8070,168,1,img/bm/test/0/47.jpg
8070,55,1,img/bm/train/0/83.jpg
8070,92,1,img/bm/train/1/139.jpg
8219,197,1,img/bm/test/1/196.jpg
8219,82,1,img/bm/train/1/127.jpg
8219,28,1,img/bm/train/0/51.jpg
8221,199,2,img/bm/test/1/198.jpg
8221,92,2,img/bm/train/1/139.jpg
8221,28,2,img/bm/train/0/51.jpg
8222,200,2,img/bm/test/1/199.jpg
