name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.8,1,"[1, 1, 1, 1]",True,50,0.8,align=1_filtered,wv_3d_linear0_aligns,0.7149999737739563,0.9900000095367432,0.58875,0.6679166666666667,0.5895833333333333,0.69,0.8565492630004883,1.0,1.0,0.7149999737739563,1.0
MTL0.8,1,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_filtered,wv_3d_linear0_aligns,0.8924999833106995,1.0,0.8925000000000001,0.91,0.8895833333333334,0.9320833333333334,0.9779558777809144,1.0,1.0,0.8924999833106995,0.9
MTL0.5,1,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_filtered,wv_3d_linear0_aligns,0.8999999761581421,1.0,0.8958333333333334,0.9095833333333332,0.8850000000000001,0.9304166666666666,0.9794133305549622,1.0,1.0,0.8999999761581421,0.9
TN,1,"[1, 1, 1, 1]",True,50,0.0,align=1_filtered,wv_3d_linear0_aligns,0.762499988079071,0.9375,0.5808333333333333,0.5912499999999999,0.5804166666666667,0.6458333333333334,0.8452710509300232,0.9325000047683716,1.0,0.7475000023841858,1.0
MTL0.5,1,"[1, 1, 1, 1]",True,50,0.5,align=1_filtered,wv_3d_linear0_aligns,0.6899999976158142,0.9825000166893004,0.59375,0.6462499999999999,0.5766666666666667,0.7091666666666666,0.8506133556365967,1.0,1.0,0.6899999976158142,1.0
MTL0.2,1,"[1, 1, 1, 1]",True,50,0.2,align=1_filtered,wv_3d_linear0_aligns,0.7099999785423279,0.9850000143051147,0.6008333333333334,0.635,0.5958333333333333,0.71875,0.8510090708732605,1.0,1.0,0.7099999785423279,1.0
TN,1,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_filtered,wv_3d_linear0_aligns,0.925000011920929,0.8924999833106995,0.8858333333333333,0.9420833333333332,0.8925,0.9479166666666666,0.9834213852882384,0.8924999833106995,0.9975,0.862500011920929,0.9
MTL0.2,1,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_filtered,wv_3d_linear0_aligns,0.8475000262260437,1.0,0.8954166666666666,0.92375,0.8958333333333334,0.9479166666666666,0.9744943976402284,1.0,1.0,0.8475000262260437,0.9
MTL0.8,1,"[1, 10000, 1, 1]",True,50,0.8,align=0.95_filtered,wv_3d_linear0_aligns,0.925000011920929,0.9975000023841858,0.8666666666666667,0.8887499999999999,0.8566666666666668,0.91125,0.9798547625541688,0.9975000023841858,1.0,0.925000011920929,0.95
TN,1,"[1, 10000, 1, 1]",True,50,0.0,align=0.95_filtered,wv_3d_linear0_aligns,0.887499988079071,0.8974999785423279,0.8425000000000001,0.9345833333333332,0.8304166666666667,0.94125,0.9769509434700012,0.8974999785423279,0.9975,0.8075000047683716,0.95
