name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
TN,2,"[32, 32, 1, 1]",True,512,0.0,align=0.97_filtered,wv_syn_bm_aligns,0.8525000214576721,0.512499988079071,0.6270833333333333,0.9458333333333332,0.5433333333333333,0.9470833333333334,0.9698322415351868,0.512499988079071,0.9475,0.6349999904632568,0.97
MTL0.8,2,"[32, 32, 1, 1]",True,512,0.8,align=0.97_filtered,wv_syn_bm_aligns,0.8849999904632568,0.959999978542328,0.8125,0.875,0.7595833333333334,0.9191666666666668,0.9513621926307678,0.959999978542328,0.97,0.8849999904632568,0.97
MTL0.5,2,"[32, 32, 1, 1]",True,512,0.5,align=0.97_filtered,wv_syn_bm_aligns,0.8700000047683716,0.9549999833106996,0.8195833333333334,0.9016666666666668,0.7512500000000001,0.9370833333333334,0.9595198035240172,0.9549999833106996,0.9725,0.8600000143051147,0.97
MTL0.5,2,"[1, 1, 1, 1]",True,512,0.5,align=0.95_filtered,wv_syn_bm_aligns,0.6200000047683716,0.9649999737739564,0.6699999999999999,0.8366666666666666,0.6375000000000001,0.8179166666666667,0.8690915107727051,0.9674999713897704,0.97,0.6225000023841858,0.95
MTL0.8,2,"[1, 1, 1, 1]",True,512,0.8,align=0.95_filtered,wv_syn_bm_aligns,0.6100000143051147,0.9549999833106996,0.6904166666666667,0.8595833333333333,0.6541666666666667,0.82875,0.8509854078292847,0.9549999833106996,0.965,0.612500011920929,0.95
MTL0.2,2,"[1, 1, 1, 1]",True,512,0.2,align=0.95_filtered,wv_syn_bm_aligns,0.6449999809265137,0.9474999904632568,0.7079166666666667,0.8333333333333334,0.68,0.8120833333333333,0.866527795791626,0.949999988079071,0.96,0.6424999833106995,0.95
TN,2,"[256, 0, 1, 1]",True,512,0.0,align=0.89_filtered,wv_syn_bm_aligns,0.75,0.48249998688697815,0.7504166666666667,0.95875,0.6974999999999999,0.9820833333333332,0.9785913825035096,0.48249998688697815,0.955,0.5674999952316284,0.89
TN,2,"[1, 1, 1, 1]",True,512,0.0,align=0.95_filtered,wv_syn_bm_aligns,0.6650000214576721,0.4025000035762787,0.6845833333333333,0.82,0.6504166666666666,0.8275,0.8630027174949646,0.4000000059604645,0.96,0.5425000190734863,0.95
MTL0.2,2,"[32, 32, 1, 1]",True,512,0.2,align=0.97_filtered,wv_syn_bm_aligns,0.875,0.9725000262260436,0.8329166666666666,0.8841666666666667,0.7820833333333334,0.91625,0.966292142868042,0.9725000262260436,0.9675,0.875,0.97
MTL0.8,2,"[256, 0, 1, 1]",True,512,0.8,align=0.89_filtered,wv_syn_bm_aligns,0.875,0.9674999713897704,0.8570833333333333,0.8654166666666666,0.8058333333333333,0.8925000000000001,0.9742476344108582,0.9674999713897704,0.9675,0.875,0.89
MTL0.5,2,"[256, 0, 1, 1]",True,512,0.5,align=0.89_filtered,wv_syn_bm_aligns,0.824999988079071,0.962499976158142,0.8333333333333334,0.8995833333333333,0.7820833333333334,0.9354166666666668,0.9666460156440736,0.962499976158142,0.9675,0.824999988079071,0.89
MTL0.2,2,"[256, 0, 1, 1]",True,512,0.2,align=0.89_filtered,wv_syn_bm_aligns,0.8125,0.9574999809265136,0.8458333333333333,0.8937500000000002,0.7941666666666668,0.9379166666666668,0.972230851650238,0.9574999809265136,0.965,0.8100000023841858,0.89
MTL0.8,2,"[1, 0, 1, 1]",True,512,0.8,align=0.84_filtered,wv_syn_bm_aligns,0.6850000023841858,0.959999978542328,0.6891666666666666,0.7254166666666667,0.64875,0.7029166666666665,0.8493887782096863,0.9700000286102296,0.9725,0.6825000047683716,0.84
TN,2,"[1, 0, 1, 1]",True,512,0.0,align=0.84_filtered,wv_syn_bm_aligns,0.5600000023841858,0.4749999940395355,0.6570833333333334,0.8208333333333333,0.615,0.8154166666666667,0.8366748094558716,0.48249998688697815,0.9525,0.4300000071525574,0.84
MTL0.5,2,"[1, 0, 1, 1]",True,512,0.5,align=0.84_filtered,wv_syn_bm_aligns,0.6600000262260437,0.9399999976158142,0.7029166666666667,0.7566666666666667,0.6695833333333333,0.7233333333333333,0.8441727757453918,0.9474999904632568,0.965,0.6675000190734863,0.84
MTL0.5,2,"[0, 1, 1, 1]",True,512,0.5,align=0.69_filtered,wv_syn_bm_aligns,0.6274999976158142,0.9474999904632568,0.7000000000000001,0.7625000000000001,0.6566666666666666,0.75375,0.8237243294715881,0.9725000262260436,0.965,0.6299999952316284,0.69
MTL0.2,2,"[0, 1, 1, 1]",True,512,0.2,align=0.69_filtered,wv_syn_bm_aligns,0.6600000262260437,0.9449999928474426,0.7220833333333333,0.7908333333333334,0.6750000000000002,0.7608333333333334,0.8166004419326782,0.962499976158142,0.965,0.6499999761581421,0.69
TN,2,"[0, 1, 1, 1]",True,512,0.0,align=0.69_filtered,wv_syn_bm_aligns,0.6650000214576721,0.47999998927116394,0.6929166666666666,0.765,0.65125,0.7508333333333334,0.8217362761497498,0.48249998688697815,0.9625,0.4950000047683716,0.69
MTL0.2,2,"[1, 0, 1, 1]",True,512,0.2,align=0.84_filtered,wv_syn_bm_aligns,0.637499988079071,0.9524999856948853,0.7008333333333333,0.8020833333333334,0.6604166666666665,0.7241666666666667,0.8420538306236267,0.9725000262260436,0.97,0.637499988079071,0.84
MTL0.8,2,"[0, 1, 1, 1]",True,512,0.8,align=0.69_filtered,wv_syn_bm_aligns,0.5975000262260437,0.9350000023841858,0.7091666666666666,0.805,0.6691666666666668,0.7600000000000001,0.8247184157371521,0.9574999809265136,0.955,0.5975000262260437,0.69
TN,1,"[32, 32, 1, 1]",True,512,0.0,align=0.97_filtered,wv_syn_bm_aligns,0.8450000286102295,0.4699999988079071,0.61,0.9104166666666668,0.5383333333333334,0.9654166666666668,0.9666000008583068,0.4699999988079071,0.9575,0.6700000166893005,0.97
MTL0.8,1,"[32, 32, 1, 1]",True,512,0.8,align=0.97_filtered,wv_syn_bm_aligns,0.8849999904632568,0.9674999713897704,0.8145833333333333,0.8250000000000001,0.75625,0.8904166666666667,0.9601354598999025,0.9674999713897704,0.9675,0.8849999904632568,0.97
MTL0.5,1,"[32, 32, 1, 1]",True,512,0.5,align=0.97_filtered,wv_syn_bm_aligns,0.8525000214576721,0.9474999904632568,0.8279166666666665,0.8875000000000001,0.7675000000000001,0.93375,0.9569032192230223,0.9474999904632568,0.9725,0.8475000262260437,0.97
MTL0.2,1,"[32, 32, 1, 1]",True,512,0.2,align=0.97_filtered,wv_syn_bm_aligns,0.875,0.949999988079071,0.8145833333333332,0.8954166666666667,0.7479166666666667,0.92625,0.9605972170829772,0.949999988079071,0.96,0.8725000023841858,0.97
MTL0.2,1,"[1, 1, 1, 1]",True,512,0.2,align=0.95_filtered,wv_syn_bm_aligns,0.6474999785423279,0.962499976158142,0.7029166666666667,0.8225000000000001,0.66375,0.8129166666666667,0.8655664324760437,0.9700000286102296,0.96,0.6474999785423279,0.95
TN,1,"[256, 0, 1, 1]",True,512,0.0,align=0.89_filtered,wv_syn_bm_aligns,0.7225000262260437,0.5899999737739563,0.8079166666666667,0.9725,0.7475,0.9566666666666668,0.97874653339386,0.5899999737739563,0.955,0.5425000190734863,0.89
MTL0.8,1,"[256, 0, 1, 1]",True,512,0.8,align=0.89_filtered,wv_syn_bm_aligns,0.8450000286102295,0.9300000071525574,0.8120833333333333,0.8254166666666668,0.7562500000000001,0.88375,0.969903826713562,0.9300000071525574,0.97,0.8349999785423279,0.89
MTL0.5,1,"[256, 0, 1, 1]",True,512,0.5,align=0.89_filtered,wv_syn_bm_aligns,0.8224999904632568,0.959999978542328,0.855,0.895,0.8016666666666666,0.9308333333333332,0.9750232696533204,0.959999978542328,0.9625,0.824999988079071,0.89
MTL0.5,1,"[1, 1, 1, 1]",True,512,0.5,align=0.95_filtered,wv_syn_bm_aligns,0.6875,0.9574999809265136,0.7079166666666666,0.8283333333333333,0.6775000000000001,0.7945833333333333,0.8495433330535889,0.962499976158142,0.9625,0.6875,0.95
MTL0.8,1,"[1, 1, 1, 1]",True,512,0.8,align=0.95_filtered,wv_syn_bm_aligns,0.6424999833106995,0.9549999833106996,0.70375,0.8304166666666667,0.6666666666666666,0.8141666666666666,0.8489024043083191,0.9549999833106996,0.96,0.637499988079071,0.95
TN,1,"[1, 1, 1, 1]",True,512,0.0,align=0.95_filtered,wv_syn_bm_aligns,0.675000011920929,0.550000011920929,0.6320833333333333,0.8483333333333333,0.5933333333333333,0.8391666666666667,0.8594776391983032,0.550000011920929,0.96,0.612500011920929,0.95
TN,1,"[1, 0, 1, 1]",True,512,0.0,align=0.84_filtered,wv_syn_bm_aligns,0.6274999976158142,0.8999999761581421,0.6904166666666667,0.8441666666666666,0.66375,0.7645833333333334,0.8373268246650696,0.912500023841858,0.9575,0.625,0.84
MTL0.2,1,"[256, 0, 1, 1]",True,512,0.2,align=0.89_filtered,wv_syn_bm_aligns,0.7875000238418579,0.959999978542328,0.8554166666666667,0.9129166666666668,0.81625,0.94125,0.9757989645004272,0.959999978542328,0.965,0.7900000214576721,0.89
MTL0.8,1,"[1, 0, 1, 1]",True,512,0.8,align=0.84_filtered,wv_syn_bm_aligns,0.6274999976158142,0.9549999833106996,0.6929166666666666,0.8054166666666666,0.6545833333333334,0.7579166666666667,0.8466178178787231,0.9674999713897704,0.9675,0.6274999976158142,0.84
MTL0.5,1,"[1, 0, 1, 1]",True,512,0.5,align=0.84_filtered,wv_syn_bm_aligns,0.6075000166893005,0.9574999809265136,0.6833333333333332,0.8341666666666666,0.6479166666666667,0.7595833333333334,0.8414018154144287,0.962499976158142,0.97,0.6075000166893005,0.84
TN,1,"[0, 1, 1, 1]",True,512,0.0,align=0.69_filtered,wv_syn_bm_aligns,0.6725000143051147,0.5224999785423279,0.6333333333333333,0.8483333333333333,0.5695833333333332,0.80375,0.8200795650482178,0.5174999833106995,0.9625,0.5924999713897705,0.69
MTL0.2,1,"[1, 0, 1, 1]",True,512,0.2,align=0.84_filtered,wv_syn_bm_aligns,0.6600000262260437,0.962499976158142,0.71625,0.8020833333333334,0.6825000000000001,0.7391666666666666,0.842542827129364,0.9700000286102296,0.965,0.6650000214576721,0.84
MTL0.8,1,"[0, 1, 1, 1]",True,512,0.8,align=0.69_filtered,wv_syn_bm_aligns,0.5799999833106995,0.962499976158142,0.7279166666666667,0.8475,0.6870833333333333,0.7958333333333334,0.8180915117263794,0.962499976158142,0.96,0.5849999785423279,0.69
MTL0.5,1,"[0, 1, 1, 1]",True,512,0.5,align=0.69_filtered,wv_syn_bm_aligns,0.637499988079071,0.962499976158142,0.7366666666666667,0.8158333333333333,0.695,0.7720833333333333,0.8192511796951294,0.9700000286102296,0.9725,0.637499988079071,0.69
MTL0.2,1,"[0, 1, 1, 1]",True,512,0.2,align=0.69_filtered,wv_syn_bm_aligns,0.6449999809265137,0.9649999737739564,0.7208333333333332,0.7995833333333334,0.6845833333333333,0.7295833333333333,0.8152750730514526,0.9725000262260436,0.96,0.6474999785423279,0.69
TN,0,"[32, 32, 1, 1]",True,512,0.0,align=0.97_filtered,wv_syn_bm_aligns,0.8700000047683716,0.5550000071525574,0.6479166666666667,0.9379166666666668,0.5766666666666667,0.9566666666666668,0.965830385684967,0.5550000071525574,0.9625,0.6800000071525574,0.97
MTL0.8,0,"[32, 32, 1, 1]",True,512,0.8,align=0.97_filtered,wv_syn_bm_aligns,0.8899999856948853,0.959999978542328,0.80125,0.8554166666666667,0.71875,0.90875,0.9585962891578674,0.959999978542328,0.965,0.887499988079071,0.97
MTL0.5,0,"[32, 32, 1, 1]",True,512,0.5,align=0.97_filtered,wv_syn_bm_aligns,0.8675000071525574,0.962499976158142,0.8145833333333333,0.88625,0.76125,0.915,0.9582884311676024,0.962499976158142,0.9675,0.8725000023841858,0.97
MTL0.2,0,"[32, 32, 1, 1]",True,512,0.2,align=0.97_filtered,wv_syn_bm_aligns,0.8774999976158142,0.9649999737739564,0.8337499999999999,0.9025,0.7829166666666666,0.94375,0.9687548279762268,0.9649999737739564,0.9625,0.8774999976158142,0.97
