name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.8,1,"[1, 1, 1, 1]",True,50,0.8,align=1_filtered,wv_3d_square_aligns,1.0,0.9975000023841858,0.9075,0.9525,0.8383333333333334,0.9579166666666666,0.9699718952178956,0.9975000023841858,0.9975,1.0,1.0
MTL0.5,1,"[1, 1, 1, 1]",True,50,0.5,align=1_filtered,wv_3d_square_aligns,0.9975000023841858,0.9950000047683716,0.89875,0.9541666666666666,0.8270833333333334,0.96375,0.96176278591156,0.9950000047683716,0.995,0.9975000023841858,1.0
TN,1,"[1, 1, 1, 1]",True,50,0.0,align=1_filtered,wv_3d_square_aligns,1.0,0.699999988079071,0.7287500000000001,0.9754166666666668,0.6104166666666666,0.9716666666666668,0.968027651309967,0.699999988079071,0.995,0.75,1.0
MTL0.2,1,"[1, 1, 1, 1]",True,50,0.2,align=1_filtered,wv_3d_square_aligns,1.0,0.9950000047683716,0.8966666666666666,0.95625,0.8300000000000001,0.9758333333333334,0.9675955772399902,0.9950000047683716,0.995,1.0,1.0
MTL0.8,1,"[1, 256, 256, 256]",True,50,0.8,align=0.92_filtered,wv_3d_square_aligns,0.912500023841858,0.9950000047683716,0.9120833333333334,0.9483333333333333,0.8649999999999999,0.9729166666666668,0.9670496582984924,0.9950000047683716,0.995,0.912500023841858,0.92
MTL0.5,1,"[1, 256, 256, 256]",True,50,0.5,align=0.92_filtered,wv_3d_square_aligns,0.9375,0.9975000023841858,0.9145833333333332,0.9308333333333332,0.8779166666666667,0.9758333333333334,0.9752872586250304,0.9975000023841858,0.9975,0.9375,0.92
MTL0.2,1,"[1, 256, 256, 256]",True,50,0.2,align=0.92_filtered,wv_3d_square_aligns,0.9275000095367432,0.9975000023841858,0.9145833333333334,0.9595833333333332,0.8683333333333333,0.9804166666666668,0.9735530018806458,0.9975000023841858,0.995,0.9275000095367432,0.92
TN,1,"[1, 256, 256, 256]",True,50,0.0,align=0.92_filtered,wv_3d_square_aligns,0.9424999952316284,0.48249998688697815,0.7870833333333334,0.9795833333333334,0.6908333333333334,0.97875,0.98048996925354,0.48249998688697815,0.995,0.4650000035762787,0.92
TN,1,"[256, 1, 256, 256]",True,50,0.0,align=0.925_filtered,wv_3d_square_aligns,0.9424999952316284,0.35749998688697815,0.72375,0.9933333333333332,0.5704166666666666,0.9758333333333332,0.9814053773880004,0.35749998688697815,0.995,0.33500000834465027,0.925
TN,0,"[1, 1, 1, 1]",True,50,0.0,align=1_filtered,wv_3d_square_aligns,1.0,0.6399999856948853,0.7208333333333333,0.9758333333333334,0.6058333333333333,0.9825,0.968027651309967,0.6399999856948853,1.0,0.6575000286102295,1.0
MTL0.5,0,"[1, 1, 1, 1]",True,50,0.5,align=1_filtered,wv_3d_square_aligns,1.0,0.9975000023841858,0.8937499999999999,0.9520833333333334,0.8279166666666667,0.9791666666666666,0.964571177959442,0.9975000023841858,1.0,1.0,1.0
MTL0.8,0,"[1, 1, 1, 1]",True,50,0.8,align=1_filtered,wv_3d_square_aligns,1.0,0.9950000047683716,0.8849999999999999,0.9604166666666668,0.82375,0.9604166666666668,0.965219259262085,0.9950000047683716,0.995,1.0,1.0
MTL0.2,0,"[1, 1, 1, 1]",True,50,0.2,align=1_filtered,wv_3d_square_aligns,1.0,0.9950000047683716,0.9004166666666666,0.9558333333333334,0.8445833333333334,0.9779166666666668,0.965219259262085,0.9950000047683716,0.9975,1.0,1.0
TN,0,"[1, 256, 256, 256]",True,50,0.0,align=0.92_filtered,wv_3d_square_aligns,0.9375,0.4724999964237213,0.7645833333333334,0.9741666666666668,0.6774999999999999,0.99625,0.976371169090271,0.4724999964237213,0.9975,0.4600000083446502,0.92
MTL0.8,0,"[1, 256, 256, 256]",True,50,0.8,align=0.92_filtered,wv_3d_square_aligns,0.9549999833106996,0.9975000023841858,0.9191666666666668,0.935,0.8737499999999999,0.9566666666666666,0.9690006971359252,0.9975000023841858,0.9975,0.9549999833106996,0.92
MTL0.5,0,"[1, 256, 256, 256]",True,50,0.5,align=0.92_filtered,wv_3d_square_aligns,0.925000011920929,0.9975000023841858,0.9154166666666668,0.955,0.8845833333333334,0.9758333333333332,0.97420334815979,0.9975000023841858,0.9975,0.925000011920929,0.92
MTL0.2,0,"[1, 256, 256, 256]",True,50,0.2,align=0.92_filtered,wv_3d_square_aligns,0.9200000166893004,0.9975000023841858,0.9004166666666666,0.9491666666666668,0.8495833333333334,0.9758333333333334,0.9705181121826172,0.9975000023841858,0.9975,0.9200000166893004,0.92
TN,0,"[256, 1, 256, 256]",True,50,0.0,align=0.925_filtered,wv_3d_square_aligns,0.925000011920929,0.4925000071525574,0.7695833333333333,0.9883333333333332,0.6516666666666667,0.98125,0.9766486287117004,0.4925000071525574,0.9975,0.5049999952316284,0.925
MTL0.8,1,"[256, 1, 256, 256]",True,50,0.8,align=0.925_filtered,wv_3d_square_aligns,0.9674999713897704,0.9950000047683716,0.8995833333333333,0.9358333333333334,0.835,0.91875,0.9731891751289368,0.9950000047683716,0.995,0.9674999713897704,0.925
MTL0.5,1,"[256, 1, 256, 256]",True,50,0.5,align=0.925_filtered,wv_3d_square_aligns,0.9424999952316284,0.9950000047683716,0.90625,0.9754166666666668,0.8379166666666666,0.9308333333333332,0.9736216068267822,0.9950000047683716,0.995,0.9424999952316284,0.925
MTL0.2,1,"[256, 1, 256, 256]",True,50,0.2,align=0.925_filtered,wv_3d_square_aligns,0.9674999713897704,0.9950000047683716,0.8979166666666667,0.9791666666666666,0.8458333333333332,0.9154166666666668,0.9779459238052368,0.9950000047683716,0.995,0.9674999713897704,0.925
MTL0.8,0,"[256, 1, 256, 256]",True,50,0.8,align=0.925_filtered,wv_3d_square_aligns,0.9200000166893004,0.9950000047683716,0.8841666666666667,0.98,0.7970833333333333,0.95125,0.9727567434310912,0.9950000047683716,0.995,0.9200000166893004,0.925
MTL0.5,0,"[256, 1, 256, 256]",True,50,0.5,align=0.925_filtered,wv_3d_square_aligns,0.9350000023841858,0.9975000023841858,0.8983333333333333,0.9804166666666668,0.8387500000000001,0.9416666666666668,0.978162169456482,0.9975000023841858,1.0,0.9350000023841858,0.925
TN,1,"[1, 0, 1, 1]",True,50,0.0,align=0.8_filtered,wv_3d_square_aligns,0.9100000262260436,0.7975000143051147,0.8783333333333333,0.99125,0.8337499999999999,0.9833333333333334,0.9794372320175172,0.7975000143051147,0.995,0.7400000095367432,0.8
MTL0.2,0,"[256, 1, 256, 256]",True,50,0.2,align=0.925_filtered,wv_3d_square_aligns,0.9200000166893004,0.9975000023841858,0.8983333333333334,0.9875,0.8379166666666666,0.9333333333333332,0.9738377928733826,0.9975000023841858,0.995,0.9200000166893004,0.925
MTL0.8,1,"[1, 0, 1, 1]",True,50,0.8,align=0.8_filtered,wv_3d_square_aligns,0.9100000262260436,0.9975000023841858,0.9220833333333333,0.985,0.8833333333333333,0.955,0.9779220819473268,0.9975000023841858,0.9975,0.9100000262260436,0.8
TN,0,"[1, 0, 1, 1]",True,50,0.0,align=0.8_filtered,wv_3d_square_aligns,0.9175000190734864,0.3449999988079071,0.7429166666666668,0.9925,0.6470833333333333,0.9825,0.9785714745521544,0.3449999988079071,0.995,0.33500000834465027,0.8
MTL0.5,1,"[0, 0, 1, 1]",True,50,0.5,align=0.5_filtered,wv_3d_square_aligns,0.6775000095367432,0.9975000023841858,0.93875,0.9183333333333332,0.9025,0.9229166666666666,0.9680995345115662,0.9975000023841858,0.9975,0.6775000095367432,0.5
MTL0.8,1,"[0, 0, 1, 1]",True,50,0.8,align=0.5_filtered,wv_3d_square_aligns,0.8100000023841858,0.9975000023841858,0.9366666666666666,0.8954166666666667,0.9166666666666666,0.8829166666666666,0.9703620076179504,0.9975000023841858,0.9975,0.8100000023841858,0.5
MTL0.2,1,"[0, 1, 1, 1]",True,50,0.2,align=0.83_filtered,wv_3d_square_aligns,0.9524999856948853,0.9975000023841858,0.9295833333333332,0.91875,0.8916666666666666,0.96875,0.9798283576965332,0.9975000023841858,0.9975,0.949999988079071,0.83
MTL0.5,1,"[1, 0, 1, 1]",True,50,0.5,align=0.8_filtered,wv_3d_square_aligns,0.9225000143051147,0.9950000047683716,0.9179166666666668,0.9816666666666668,0.87875,0.95375,0.9755411744117736,0.9950000047683716,0.995,0.9225000143051147,0.8
MTL0.2,1,"[1, 0, 1, 1]",True,50,0.2,align=0.8_filtered,wv_3d_square_aligns,0.9100000262260436,0.9950000047683716,0.9208333333333334,0.9891666666666667,0.8770833333333333,0.94875,0.974458873271942,0.9950000047683716,0.995,0.9100000262260436,0.8
MTL0.8,1,"[0, 1, 1, 1]",True,50,0.8,align=0.83_filtered,wv_3d_square_aligns,0.875,0.9950000047683716,0.92,0.9545833333333332,0.8791666666666668,0.9795833333333334,0.9742489457130432,0.9950000047683716,0.9975,0.875,0.83
MTL0.5,1,"[0, 1, 1, 1]",True,50,0.5,align=0.83_filtered,wv_3d_square_aligns,0.9300000071525574,0.9975000023841858,0.93,0.9325,0.8875000000000001,0.9604166666666668,0.9783262014389038,0.9975000023841858,0.9975,0.9300000071525574,0.83
