name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
TN,2,"[1, 1, 1, 1]",False,50,0.0,align=1,wv_3d_square_aligns,1.0,0.5824999809265137,0.6970833333333334,0.9875000000000002,0.5941666666666667,0.9895833333333334,0.9661666750907898,0.5824999809265137,1.0,0.7574999928474426,1.0
MTL0.2,2,"[1, 1, 1, 1]",False,50,0.2,align=1,wv_3d_square_aligns,1.0,0.9975000023841858,0.8962499999999999,0.9804166666666668,0.8479166666666668,0.9879166666666668,0.9608333110809326,0.9975000023841858,1.0,0.9975000023841858,1.0
MTL0.8,2,"[1, 1, 1, 1]",False,50,0.8,align=1,wv_3d_square_aligns,1.0,0.9975000023841858,0.91,0.9770833333333332,0.8533333333333334,0.9858333333333332,0.9566666483879088,0.9975000023841858,0.9975,1.0,1.0
MTL0.5,2,"[1, 1, 1, 1]",False,50,0.5,align=1,wv_3d_square_aligns,1.0,0.9950000047683716,0.90625,0.9770833333333332,0.8483333333333333,0.98625,0.959999978542328,0.9950000047683716,0.9975,1.0,1.0
TN,1,"[1, 1, 1, 1]",False,50,0.0,align=1,wv_3d_square_aligns,1.0,0.5199999809265137,0.6529166666666666,0.9883333333333332,0.5066666666666667,0.9920833333333332,0.9666666388511658,0.5199999809265137,1.0,0.6825000047683716,1.0
MTL0.5,2,"[1, 256, 256, 256]",False,50,0.5,align=0.92,wv_3d_square_aligns,0.8924999833106995,0.9950000047683716,0.9254166666666668,0.97625,0.8949999999999999,0.9875000000000002,0.9708333015441896,0.9950000047683716,0.9975,0.8899999856948853,0.92
MTL0.8,2,"[1, 256, 256, 256]",False,50,0.8,align=0.92,wv_3d_square_aligns,0.8999999761581421,0.9975000023841858,0.9216666666666667,0.965,0.8816666666666667,0.98625,0.9634999632835388,0.9975000023841858,0.995,0.9024999737739564,0.92
TN,2,"[1, 256, 256, 256]",False,50,0.0,align=0.92,wv_3d_square_aligns,0.8525000214576721,0.5400000214576721,0.7404166666666666,0.9841666666666667,0.6616666666666666,0.9916666666666668,0.9728333353996276,0.5400000214576721,0.8575,0.6924999952316284,0.92
MTL0.5,1,"[1, 1, 1, 1]",False,50,0.5,align=1,wv_3d_square_aligns,1.0,0.9975000023841858,0.89875,0.9775,0.8379166666666666,0.9858333333333332,0.965833306312561,0.9975000023841858,0.9975,1.0,1.0
MTL0.8,1,"[1, 1, 1, 1]",False,50,0.8,align=1,wv_3d_square_aligns,1.0,0.9950000047683716,0.9020833333333332,0.9791666666666666,0.8250000000000001,0.9820833333333332,0.962666630744934,0.9950000047683716,0.9975,1.0,1.0
MTL0.2,1,"[1, 1, 1, 1]",False,50,0.2,align=1,wv_3d_square_aligns,1.0,0.9975000023841858,0.9029166666666668,0.98,0.8387500000000001,0.9833333333333334,0.968999981880188,0.9975000023841858,1.0,1.0,1.0
TN,0,"[1, 1, 1, 1]",False,50,0.0,align=1,wv_3d_square_aligns,1.0,0.5049999952316284,0.6579166666666666,0.9895833333333334,0.5229166666666667,0.995,0.9673333168029784,0.5049999952316284,1.0,0.8050000071525574,1.0
MTL0.8,1,"[1, 256, 256, 256]",False,50,0.8,align=0.92,wv_3d_square_aligns,0.8799999952316284,0.9950000047683716,0.9333333333333336,0.9741666666666666,0.905,0.9925,0.9714999794960022,0.9950000047683716,0.9975,0.8799999952316284,0.92
MTL0.5,1,"[1, 256, 256, 256]",False,50,0.5,align=0.92,wv_3d_square_aligns,0.8824999928474426,0.9975000023841858,0.9254166666666668,0.9758333333333332,0.8945833333333333,0.9904166666666666,0.971833348274231,0.9975000023841858,0.9875,0.8899999856948853,0.92
TN,1,"[1, 256, 256, 256]",False,50,0.0,align=0.92,wv_3d_square_aligns,0.8525000214576721,0.4724999964237213,0.8408333333333333,0.9879166666666668,0.7854166666666668,0.9891666666666667,0.975333333015442,0.4724999964237213,0.8275,0.7149999737739563,0.92
MTL0.8,0,"[1, 1, 1, 1]",False,50,0.8,align=1,wv_3d_square_aligns,1.0,0.9975000023841858,0.9075,0.9754166666666668,0.8554166666666666,0.9833333333333334,0.9591666460037231,0.9975000023841858,1.0,1.0,1.0
MTL0.5,0,"[1, 1, 1, 1]",False,50,0.5,align=1,wv_3d_square_aligns,1.0,0.9950000047683716,0.90625,0.98,0.8504166666666668,0.9883333333333332,0.9589999914169312,0.9950000047683716,1.0,1.0,1.0
MTL0.2,0,"[1, 1, 1, 1]",False,50,0.2,align=1,wv_3d_square_aligns,1.0,0.9925000071525574,0.91875,0.9758333333333332,0.8629166666666666,0.9879166666666666,0.959833323955536,0.9925000071525574,1.0,1.0,1.0
MTL0.8,0,"[1, 256, 256, 256]",False,50,0.8,align=0.92,wv_3d_square_aligns,0.8849999904632568,0.9950000047683716,0.9275,0.97125,0.9016666666666668,0.9908333333333332,0.9638333320617676,0.9950000047683716,0.995,0.8849999904632568,0.92
TN,0,"[1, 256, 256, 256]",False,50,0.0,align=0.92,wv_3d_square_aligns,0.8399999737739563,0.5950000286102295,0.80375,0.98,0.7362500000000001,0.9983333333333334,0.9674999713897704,0.5950000286102295,0.8275,0.7649999856948853,0.92
MTL0.5,0,"[1, 256, 256, 256]",False,50,0.5,align=0.92,wv_3d_square_aligns,0.8525000214576721,0.9975000023841858,0.9125,0.97125,0.8766666666666666,0.9904166666666666,0.9645000100135804,0.9975000023841858,0.995,0.8525000214576721,0.92
MTL0.5,2,"[256, 1, 256, 256]",False,50,0.5,align=0.925,wv_3d_square_aligns,0.862500011920929,0.9950000047683716,0.9295833333333332,0.9966666666666666,0.88125,0.9708333333333332,0.972000002861023,0.9950000047683716,0.995,0.862500011920929,0.925
MTL0.8,2,"[256, 1, 256, 256]",False,50,0.8,align=0.925,wv_3d_square_aligns,0.9024999737739564,0.9950000047683716,0.91625,0.9920833333333334,0.8745833333333334,0.9591666666666668,0.9701666831970216,0.9950000047683716,0.995,0.9024999737739564,0.925
MTL0.2,2,"[1, 256, 256, 256]",False,50,0.2,align=0.92,wv_3d_square_aligns,0.8799999952316284,0.9975000023841858,0.9245833333333332,0.9695833333333334,0.8962499999999999,0.9916666666666668,0.9670000076293944,0.9975000023841858,0.9925,0.8849999904632568,0.92
TN,2,"[256, 1, 256, 256]",False,50,0.0,align=0.925,wv_3d_square_aligns,0.8675000071525574,0.5400000214576721,0.7670833333333333,0.995,0.7016666666666667,0.9904166666666666,0.9773333072662354,0.5400000214576721,0.8,0.6274999976158142,0.925
MTL0.2,2,"[256, 1, 256, 256]",False,50,0.2,align=0.925,wv_3d_square_aligns,0.8650000095367432,0.9975000023841858,0.9158333333333334,0.9979166666666668,0.8720833333333333,0.9754166666666668,0.9761666655540466,0.9975000023841858,0.995,0.8650000095367432,0.925
MTL0.5,2,"[0, 0, 1, 1]",False,50,0.5,align=0.5,wv_3d_square_aligns,0.5625,0.9950000047683716,0.9333333333333332,0.9445833333333334,0.91,0.94625,0.9664999842643738,0.9950000047683716,0.995,0.5625,0.5
MTL0.5,2,"[1, 0, 1, 1]",False,50,0.5,align=0.8,wv_3d_square_aligns,0.7875000238418579,0.9950000047683716,0.94375,0.9958333333333336,0.9033333333333332,0.96875,0.9741666316986084,0.9950000047683716,0.995,0.7875000238418579,0.8
