name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
MTL0.8,1,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.8,wv_3d_square_noisy,0.7975000143051147,0.6899999976158142,0.54625,0.50625,0.43875,0.42416666666666664,0.5113333463668823,0.9950000047683716,0.995,0.7975000143051147,0.925,0.8
TN,1,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.8,wv_3d_square_noisy,0.6949999928474426,0.6499999761581421,0.38291666666666674,0.69125,0.26625,0.6245833333333334,0.4950000047683716,0.6200000047683716,0.985,0.6499999761581421,0.925,0.8
MTL0.5,1,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.8,wv_3d_square_noisy,0.7124999761581421,0.6800000071525574,0.47,0.4770833333333333,0.32625,0.4075,0.5065000057220459,0.9925000071525574,0.9975,0.7099999785423279,0.925,0.8
MTL0.8,1,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.7,wv_3d_square_noisy,0.6974999904632568,0.5950000286102295,0.4579166666666666,0.5358333333333333,0.305,0.4608333333333334,0.5024999976158142,0.9975000023841858,0.9975,0.699999988079071,0.925,0.7
TN,1,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.7,wv_3d_square_noisy,0.7174999713897705,0.6725000143051147,0.3658333333333334,0.6433333333333334,0.20958333333333337,0.6062500000000001,0.4943333268165589,0.4600000083446502,0.99,0.699999988079071,0.925,0.7
MTL0.8,0,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.8,wv_3d_square_noisy,0.800000011920929,0.7275000214576721,0.5304166666666666,0.48666666666666664,0.3766666666666667,0.43125,0.5028333067893982,0.9975000023841858,0.9975,0.800000011920929,0.925,0.8
TN,0,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.8,wv_3d_square_noisy,0.7574999928474426,0.6175000071525574,0.37375,0.6658333333333334,0.2354166666666667,0.64,0.5051666498184204,0.4600000083446502,0.9725,0.6800000071525574,0.925,0.8
MTL0.2,1,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.8,wv_3d_square_noisy,0.8075000047683716,0.6800000071525574,0.5241666666666666,0.50625,0.3875,0.45708333333333334,0.512499988079071,0.9950000047683716,1.0,0.8075000047683716,0.925,0.8
MTL0.5,0,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.8,wv_3d_square_noisy,0.7200000286102295,0.5950000286102295,0.42,0.47666666666666674,0.285,0.4483333333333334,0.4964999854564667,0.9950000047683716,0.995,0.7200000286102295,0.925,0.8
MTL0.8,0,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.7,wv_3d_square_noisy,0.7350000143051147,0.6974999904632568,0.49416666666666664,0.6262500000000001,0.3633333333333333,0.55375,0.4933333396911621,0.9950000047683716,0.995,0.7350000143051147,0.925,0.7
