name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_1nn_acc,rNINO_ds_acc,align,num,test_clf_acc
TN,1,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.5,wv_3d_square_num_filtered,0.9275000095367432,0.6449999809265137,0.7920833333333333,0.995,0.7283333333333334,0.9766666666666668,0.9669243693351746,0.995,0.6299999952316284,0.925,0.5,0
MTL0.8,1,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.5,wv_3d_square_num_filtered,0.9700000286102296,0.9950000047683716,0.9004166666666666,0.9666666666666668,0.8329166666666667,0.9266666666666666,0.9609106779098512,0.995,0.9700000286102296,0.925,0.5,0
MTL0.2,1,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.5,wv_3d_square_num_filtered,0.9549999833106996,0.9950000047683716,0.9041666666666668,0.9775,0.84125,0.9358333333333334,0.9725086092948914,0.9975,0.9549999833106996,0.925,0.5,0
MTL0.5,1,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.5,wv_3d_square_num_filtered,0.9449999928474426,0.9950000047683716,0.9008333333333334,0.9770833333333334,0.82875,0.9379166666666668,0.9660652875900269,0.995,0.9449999928474426,0.925,0.5,0
TN,0,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.5,wv_3d_square_num_filtered,0.9275000095367432,0.5874999761581421,0.8275,0.9883333333333332,0.7195833333333335,0.9779166666666668,0.9686425924301147,0.995,0.6175000071525574,0.925,0.5,0
MTL0.8,0,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.5,wv_3d_square_num_filtered,0.9049999713897704,0.9975000023841858,0.8999999999999999,0.96,0.8391666666666667,0.95,0.9596219658851624,0.9975,0.9049999713897704,0.925,0.5,0
TN,1,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.25,wv_3d_square_num_filtered,0.8849999904632568,0.6675000190734863,0.7512500000000001,0.9945833333333334,0.6725,0.96625,0.9553264379501344,0.9925,0.5924999713897705,0.925,0.25,0
MTL0.2,0,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.5,wv_3d_square_num_filtered,0.9375,0.9950000047683716,0.9045833333333334,0.96875,0.8562499999999998,0.9433333333333334,0.9712199568748474,0.9925,0.9375,0.925,0.5,0
MTL0.5,0,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.5,wv_3d_square_num_filtered,0.9325000047683716,0.9975000023841858,0.9045833333333334,0.9766666666666668,0.8525,0.9433333333333334,0.9750859141349792,0.995,0.9325000047683716,0.925,0.5,0
MTL0.5,1,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.25,wv_3d_square_num_filtered,0.912500023841858,0.9975000023841858,0.8745833333333334,0.9729166666666668,0.7949999999999999,0.93625,0.9475945234298706,0.9975,0.912500023841858,0.925,0.25,0
