wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d_noisy,align=0.925_p=0.2,TN,0,"[256, 1, 256, 256]",512,0,0.46,0.7615,0.9425,0.7755,0.7755,0.785,0.8025,1.0,0.82,0.8275,1.0,0.85,0.8575,1.0
wv_3d_noisy,align=0.925_p=0.4,TN,0,"[256, 1, 256, 256]",512,0,0.46,0.583,0.9675,0.5705,0.5705,0.76,0.7625,1.0,0.805,0.805,1.0,0.8125,0.815,1.0
wv_3d_noisy,align=0.925_p=0.3,TN,0,"[256, 1, 256, 256]",512,0,0.46,0.66216666,0.9875,0.68975,0.68975,0.7925,0.795,1.0,0.835,0.8425,1.0,0.8475,0.85,1.0
wv_3d_noisy,align=0.925_p=0.1,TN,0,"[256, 1, 256, 256]",512,0,0.46,0.8526667,0.955,0.8487499999999999,0.8487499999999999,0.8225,0.825,1.0,0.8875,0.8975,1.0,0.8925,0.9,1.0
wv_3d_noisy,align=0.925_p=0.5,TN,0,"[256, 1, 256, 256]",512,0,0.46,0.51266664,0.9925,0.4787499999999999,0.4787499999999999,0.7975,0.8025,0.93,0.8525,0.855,0.9875,0.8725,0.8725,0.9925
wv_3d_noisy,align=0.925_p=0.6,TN,0,"[256, 1, 256, 256]",512,0,0.46,0.5035,0.98,0.3295,0.3295,0.66,0.6575,0.7275,0.7975,0.8,0.835,0.8625,0.8625,0.9
wv_3d_noisy,align=0.925_p=0.7,TN,0,"[256, 1, 256, 256]",512,0,0.46,0.49766666,0.975,0.313,0.313,0.6775,0.67,0.5925,0.805,0.8075,0.7925,0.8575,0.86,0.8475
wv_3d_noisy,align=0.925_p=0.8,TN,0,"[256, 1, 256, 256]",512,0,0.46,0.5146667,0.9575,0.4050000000000001,0.4050000000000001,0.77,0.7725,0.72,0.85,0.855,0.88,0.895,0.895,0.9325
wv_3d_noisy,align=0.8_p=0.2,TN,0,"[1, 0, 1, 1]",512,0,0.46,0.74733335,0.96,0.8085000000000001,0.8085000000000001,0.7575,0.7525,1.0,0.75,0.7525,1.0,0.75,0.755,1.0
wv_3d_noisy,align=0.8_p=0.3,TN,0,"[1, 0, 1, 1]",512,0,0.46,0.6766667,0.99,0.7652499999999999,0.7652499999999999,0.81,0.815,1.0,0.8025,0.8075,1.0,0.8075,0.81,1.0
wv_3d_noisy,align=0.8_p=0.4,TN,0,"[1, 0, 1, 1]",512,0,0.46,0.5743333,0.9675,0.63175,0.63175,0.795,0.8,1.0,0.7925,0.7925,1.0,0.7925,0.7975,1.0
wv_3d_noisy,align=0.8_p=0.1,TN,0,"[1, 0, 1, 1]",512,0,0.46,0.8653333,0.97,0.8504999999999999,0.8504999999999999,0.8025,0.795,1.0,0.77,0.7725,1.0,0.75,0.7525,1.0
wv_3d_noisy,align=0.8_p=0.6,TN,0,"[1, 0, 1, 1]",512,0,0.46,0.50616664,0.975,0.3325,0.3325,0.715,0.7075,0.6975,0.8,0.8,0.8125,0.835,0.835,0.8475
wv_3d_noisy,align=0.8_p=0.5,TN,0,"[1, 0, 1, 1]",512,0,0.46,0.50366664,0.995,0.413,0.413,0.8225,0.825,0.875,0.8975,0.8975,0.96,0.895,0.8975,0.97
wv_3d_noisy,align=0.8_p=0.8,TN,0,"[1, 0, 1, 1]",512,0,0.46,0.5058333,0.9675,0.38275,0.38275,0.6775,0.68,0.6175,0.8175,0.82,0.845,0.8675,0.8675,0.88
wv_3d_noisy,align=0.8_p=0.7,TN,0,"[1, 0, 1, 1]",512,0,0.46,0.5003333,0.93,0.25425000000000003,0.25425000000000003,0.67,0.6825,0.6325,0.795,0.795,0.815,0.8375,0.84,0.87
