wandb_group,seed,weights,name,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc,align,filtered,embed_dim,lamda,wandb_project,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc
align=0.89,0,"[0, 1, 1, 1]",RESN,0.825,0.825,0.905,0.89,,,,,,,,,,,
align=0.89,1,"[0, 1, 1, 1]",RESN,0.8,0.8,0.8425,0.89,,,,,,,,,,,
align=0.89,2,"[0, 1, 1, 1]",RESN,0.8175,0.8175,0.8775,0.89,,,,,,,,,,,
align=0.99,0,"[1, 0, 1, 1]",RESN,0.88,0.88,0.9125,0.99,,,,,,,,,,,
align=0.99,1,"[1, 0, 1, 1]",RESN,0.87,0.87,0.8625,0.99,,,,,,,,,,,
align=0.99,2,"[1, 0, 1, 1]",RESN,0.9,0.9,0.8925,0.99,,,,,,,,,,,
align=0.94,0,"[100, 100000000, 1, 1]",RESN,0.9075,0.9075,0.995,0.94,,,,,,,,,,,
align=0.94,1,"[100, 100000000, 1, 1]",RESN,0.8975,0.8975,0.985,0.94,,,,,,,,,,,
align=0.94,2,"[100, 100000000, 1, 1]",RESN,0.915,0.915,0.9925,0.94,,,,,,,,,,,
align=1,0,"[1, 1, 1, 1]",RESN,0.885,0.885,0.94,1.0,,,,,,,,,,,
align=1,1,"[1, 1, 1, 1]",RESN,0.875,0.875,0.8675,1.0,,,,,,,,,,,
align=1,2,"[1, 1, 1, 1]",RESN,0.9075,0.9075,0.905,1.0,,,,,,,,,,,
align=0.97,0,"[100, 10000000, 1, 1]",RESN,0.91,0.91,0.995,0.97,,,,,,,,,,,
align=0.97,1,"[100, 10000000, 1, 1]",RESN,0.8975,0.8975,0.985,0.97,,,,,,,,,,,
align=0.97,2,"[100, 10000000, 1, 1]",RESN,0.915,0.915,0.9925,0.97,,,,,,,,,,,
