wandb_group,seed,weights,name,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc,align,filtered,embed_dim,lamda,wandb_project,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc
align=0.84,0,"[1, 0, 1, 1]",RESN,0.5325,0.535,0.7225,0.84,,,,,,,,,,,
align=0.84,1,"[1, 0, 1, 1]",RESN,0.4425,0.445,0.675,0.84,,,,,,,,,,,
align=0.84,2,"[1, 0, 1, 1]",RESN,0.505,0.5,0.7075,0.84,,,,,,,,,,,
align=0.94,0,"[32, 128, 1, 1]",RESN,0.815,0.815,0.9375,0.94,,,,,,,,,,,
align=0.94,1,"[32, 128, 1, 1]",RESN,0.7425,0.745,0.9025,0.94,,,,,,,,,,,
align=0.94,2,"[32, 128, 1, 1]",RESN,0.7325,0.73,0.89,0.94,,,,,,,,,,,
align=0.82,0,"[0, 1, 1, 1]",RESN,0.59,0.595,0.6975,0.82,,,,,,,,,,,
align=0.82,1,"[0, 1, 1, 1]",RESN,0.485,0.4875,0.605,0.82,,,,,,,,,,,
align=0.82,2,"[0, 1, 1, 1]",RESN,0.5275,0.525,0.6775,0.82,,,,,,,,,,,
align=0.77,0,"[0, 32, 1, 1]",RESN,0.8025,0.805,0.88,0.77,,,,,,,,,,,
align=0.77,1,"[0, 32, 1, 1]",RESN,0.7075,0.7075,0.78,0.77,,,,,,,,,,,
align=0.77,2,"[0, 32, 1, 1]",RESN,0.7075,0.705,0.7675,0.77,,,,,,,,,,,
align=0.92,0,"[1, 1, 1, 1]",RESN,0.5975,0.6,0.78,0.92,,,,,,,,,,,
align=0.92,1,"[1, 1, 1, 1]",RESN,0.48,0.4825,0.7125,0.92,,,,,,,,,,,
align=0.92,2,"[1, 1, 1, 1]",RESN,0.555,0.55,0.74,0.92,,,,,,,,,,,
