name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.2,2,"[1, 0, 0, 0]",True,512,0.2,align=0.85_filtered,wv_linear_sm_aligns,0.7250000238418579,0.9674999713897704,0.8883333333333333,0.8870833333333333,0.8575,0.86,0.9778446555137634,0.9674999713897704,0.9475,0.7225000262260437,0.85
MTL0.8,2,"[1, 0, 0, 0]",True,512,0.8,align=0.85_filtered,wv_linear_sm_aligns,0.7774999737739563,0.9524999856948853,0.8429166666666666,0.7799999999999999,0.7829166666666666,0.7379166666666667,0.9655361175537108,0.9524999856948853,0.945,0.7774999737739563,0.85
MTL0.5,2,"[1, 0, 0, 0]",True,512,0.5,align=0.85_filtered,wv_linear_sm_aligns,0.737500011920929,0.9474999904632568,0.8804166666666667,0.8695833333333334,0.8333333333333334,0.8416666666666667,0.979485809803009,0.9474999904632568,0.94,0.7425000071525574,0.85
MTL0.5,2,"[0, 1, 0, 0]",True,512,0.5,align=0.76_filtered,wv_linear_sm_aligns,0.7300000190734863,0.9325000047683716,0.8762500000000001,0.905,0.8337500000000001,0.85125,0.97138774394989,0.9325000047683716,0.9375,0.7325000166893005,0.76
MTL0.2,2,"[0, 1, 0, 0]",True,512,0.2,align=0.76_filtered,wv_linear_sm_aligns,0.7200000286102295,0.9474999904632568,0.8816666666666667,0.92875,0.83625,0.8908333333333333,0.9722461104393004,0.9474999904632568,0.95,0.7250000238418579,0.76
MTL0.8,2,"[0, 1, 0, 0]",True,512,0.8,align=0.76_filtered,wv_linear_sm_aligns,0.7400000095367432,0.9449999928474426,0.83625,0.8720833333333333,0.7654166666666667,0.8033333333333332,0.9616595506668092,0.9449999928474426,0.935,0.737500011920929,0.76
TN,2,"[1, 0, 0, 0]",True,512,0.0,align=0.85_filtered,wv_linear_sm_aligns,0.7674999833106995,0.45249998569488525,0.815,0.9475,0.7541666666666668,0.9295833333333334,0.9819474816322328,0.45249998569488525,0.945,0.6200000047683716,0.85
TN,2,"[0, 1, 0, 0]",True,512,0.0,align=0.76_filtered,wv_linear_sm_aligns,0.7250000238418579,0.3149999976158142,0.8716666666666667,0.9604166666666668,0.7908333333333334,0.9525,0.97854083776474,0.3149999976158142,0.93,0.5350000262260437,0.76
MTL0.2,1,"[1, 0, 0, 0]",True,512,0.2,align=0.85_filtered,wv_linear_sm_aligns,0.7300000190734863,0.9424999952316284,0.8850000000000001,0.89,0.8454166666666666,0.8633333333333333,0.983315110206604,0.9424999952316284,0.9425,0.7300000190734863,0.85
MTL0.8,1,"[1, 0, 0, 0]",True,512,0.8,align=0.85_filtered,wv_linear_sm_aligns,0.7225000262260437,0.9325000047683716,0.8579166666666667,0.82375,0.7979166666666666,0.7675000000000001,0.9674507975578308,0.9325000047683716,0.95,0.7225000262260437,0.85
