wandb_group,seed,weights,name,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc,align,filtered,embed_dim,lamda,wandb_project,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc
align=0.84,0,"[1, 0, 1, 1]",RESN,0.5825,0.5825,0.6175,0.84,,,,,,,,,,,
align=0.84,1,"[1, 0, 1, 1]",RESN,0.6525,0.64,0.74,0.84,,,,,,,,,,,
align=0.84,2,"[1, 0, 1, 1]",RESN,0.6125,0.6125,0.6075,0.84,,,,,,,,,,,
align=0.94,0,"[32, 128, 1, 1]",RESN,0.6875,0.6875,0.855,0.94,,,,,,,,,,,
align=0.94,1,"[32, 128, 1, 1]",RESN,0.7925,0.78,0.8675,0.94,,,,,,,,,,,
align=0.94,2,"[32, 128, 1, 1]",RESN,0.845,0.85,0.7325,0.94,,,,,,,,,,,
align=0.77,0,"[0, 1, 1, 1]",RESN,0.5775,0.5775,0.645,0.77,,,,,,,,,,,
align=0.77,1,"[0, 1, 1, 1]",RESN,0.6825,0.6625,0.6825,0.77,,,,,,,,,,,
align=0.77,2,"[0, 1, 1, 1]",RESN,0.6475,0.6425,0.6075,0.77,,,,,,,,,,,
align=0.92,0,"[1, 1, 1, 1]",RESN,0.6025,0.6025,0.66,0.92,,,,,,,,,,,
align=0.92,1,"[1, 1, 1, 1]",RESN,0.7,0.6825,0.7675,0.92,,,,,,,,,,,
align=0.92,2,"[1, 1, 1, 1]",RESN,0.67,0.6675,0.6375,0.92,,,,,,,,,,,
