name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_1nn_acc,rNINO_ds_acc,align,num,test_clf_acc
MTL0.8,2,"[1, 0, 1, 1]",True,512,0.8,align=0.84_p=0.5_filtered,wv_squarelin_num,0.8949999809265137,0.977500021457672,0.9158333333333332,0.9308333333333332,0.89875,0.9408333333333334,0.9701914191246032,0.98,0.8949999809265137,0.84,0.5,0
MTL0.5,2,"[1, 0, 1, 1]",True,512,0.5,align=0.84_p=0.5_filtered,wv_squarelin_num,0.887499988079071,0.977500021457672,0.9179166666666668,0.9575,0.90625,0.9608333333333334,0.9698776006698608,0.9825,0.8849999904632568,0.84,0.5,0
TN,2,"[1, 0, 1, 1]",True,512,0.0,align=0.84_p=0.5_filtered,wv_squarelin_num,0.8224999904632568,0.5149999856948853,0.8354166666666667,0.9858333333333332,0.7995833333333334,0.9920833333333332,0.9742704629898072,0.935,0.6424999833106995,0.84,0.5,0
MTL0.8,1,"[1, 0, 1, 1]",True,512,0.8,align=0.84_p=0.5_filtered,wv_squarelin_num,0.8999999761581421,0.975000023841858,0.8816666666666667,0.91625,0.8724999999999999,0.9366666666666666,0.9654847979545592,0.9825,0.8949999809265137,0.84,0.5,0
TN,1,"[1, 0, 1, 1]",True,512,0.0,align=0.84_p=0.5_filtered,wv_squarelin_num,0.7925000190734863,0.4625000059604645,0.82375,0.98875,0.77875,0.9920833333333332,0.9717602729797364,0.9275,0.6200000047683716,0.84,0.5,0
MTL0.5,1,"[1, 0, 1, 1]",True,512,0.5,align=0.84_p=0.5_filtered,wv_squarelin_num,0.8824999928474426,0.9800000190734864,0.9229166666666666,0.9616666666666666,0.9058333333333332,0.9675,0.9698776006698608,0.98,0.8824999928474426,0.84,0.5,0
MTL0.2,2,"[1, 0, 1, 1]",True,512,0.2,align=0.84_p=0.5_filtered,wv_squarelin_num,0.8199999928474426,0.9800000190734864,0.9191666666666668,0.9608333333333332,0.8995833333333333,0.9741666666666668,0.9620332717895508,0.9675,0.8274999856948853,0.84,0.5,0
MTL0.5,0,"[1, 0, 1, 1]",True,512,0.5,align=0.84_p=0.5_filtered,wv_squarelin_num,0.8849999904632568,0.9850000143051147,0.9295833333333334,0.9670833333333334,0.915,0.9595833333333332,0.9686225056648254,0.9775,0.8799999952316284,0.84,0.5,0
MTL0.8,0,"[1, 0, 1, 1]",True,512,0.8,align=0.84_p=0.5_filtered,wv_squarelin_num,0.875,0.959999978542328,0.9108333333333332,0.9575,0.8850000000000001,0.9558333333333332,0.965798556804657,0.975,0.8725000023841858,0.84,0.5,0
TN,0,"[1, 0, 1, 1]",True,512,0.0,align=0.84_p=0.5_filtered,wv_squarelin_num,0.8100000023841858,0.3174999952316284,0.7754166666666666,0.9891666666666667,0.7329166666666667,0.9916666666666668,0.972074031829834,0.9275,0.5224999785423279,0.84,0.5,0
MTL0.2,1,"[1, 0, 1, 1]",True,512,0.2,align=0.84_p=0.5_filtered,wv_squarelin_num,0.8675000071525574,0.9825000166893004,0.9291666666666668,0.9741666666666666,0.9266666666666666,0.9758333333333334,0.9780357480049132,0.985,0.8650000095367432,0.84,0.5,0
MTL0.5,2,"[1, 0, 1, 1]",True,512,0.5,align=0.84_p=0.25_filtered,wv_squarelin_num,0.915000021457672,0.987500011920929,0.8979166666666667,0.94875,0.8883333333333333,0.9554166666666668,0.956631064414978,0.9875,0.915000021457672,0.84,0.25,0
MTL0.8,2,"[1, 0, 1, 1]",True,512,0.8,align=0.84_p=0.25_filtered,wv_squarelin_num,0.8974999785423279,0.987500011920929,0.8820833333333334,0.9345833333333332,0.8629166666666667,0.9495833333333332,0.9490886330604552,0.9875,0.8949999809265137,0.84,0.25,0
